cluster	au	bp	meandist	lowdist	size	valid	d	mean_wss	bss_tot
101	0.976206257441462	0.864748868407707	0.409466449810082	TRUE	3500000	FALSE	0.99	13.4	0.04
13	0.96030106763529	0.577451843226682	0.246212102735137	TRUE	4e+06	TRUE	0.07	1.04	0.04
157	0.992749732728486	0.616539288417244	0.604049951326394	FALSE	4500000	FALSE	0.39	30.2	0.03
171	0.97017221647929	0.139109571211709	0.50010315705611	TRUE	4500000	FALSE	0.33	9.55	0.04
192	0.958699786999702	0.901255195484467	0.413956755221568	TRUE	6e+06	FALSE	1.22	6.35	0.04
205	0.982496922079566	0.934929046591548	0.505395743206465	TRUE	1.2e+07	TRUE	0.07	17.87	0.04
217	0.953850094403593	0.103400267363602	0.493347099756358	TRUE	4500000	FALSE	0.08	31.2	0.03
24	0.979175385393071	0.953823351350027	0.278427445627631	TRUE	5e+06	TRUE	0.05	2.24	0.04
253	0.991225100774046	0.00220396620543419	0.525779058403354	TRUE	10500000	FALSE	0.56	34.81	0.04
261	0.989009059828515	0.18252388794752	0.694038543546353	FALSE	8500000	TRUE	0.21	13.15	0.04
272	0.992153446988201	0.00436954107720176	0.624901705030098	FALSE	12500000	FALSE	0.61	45.75	0.04
279	0.979783207653656	0.00848234950722959	0.546216065287788	TRUE	6e+06	FALSE	0.18	21.09	0.04
282	0.98034204571707	0.269067455088832	0.719476979018893	FALSE	5e+06	FALSE	0.41	34.63	0.04
290	0.982445440087754	0.00502005068425999	0.554470369845669	TRUE	6500000	FALSE	0.23	26.03	0.03
291	0.974450991849305	0.00627133936459089	0.565890724569638	FALSE	7e+06	FALSE	0.15	27.31	0.03
298	0.972455727557053	0.00504071412504061	0.574204823215077	FALSE	7500000	FALSE	0.08	25.16	0.04
333	0.967440428069085	0.0854923658944744	0.74579235277835	FALSE	9500000	FALSE	0.25	13.55	0.04
334	0.999249389742963	0.00174299608590723	0.724173595137986	FALSE	4500000	FALSE	0.34	16.57	0.04
39	0.962455018194724	0.595088992722972	0.368185359009417	TRUE	3e+06	TRUE	0.08	4.44	0.04
422	0.959617382093323	0.0451075525312285	0.801109743578845	FALSE	6500000	FALSE	0.22	37.89	0.04
43	0.965312510590321	0.721729897534011	0.384581384515244	TRUE	4e+06	TRUE	0.18	2.69	0.04
435	0.984328578529773	0.011873354580485	0.671320721141189	FALSE	5500000	FALSE	0.57	36.15	0.03
48	0.984815994333477	0.988679888494187	0.404304827342017	TRUE	3500000	TRUE	0.22	3.62	0.04
79	0.970087170051731	0.751983896250122	0.401076781375047	TRUE	2500000	FALSE	0.53	18.24	0.03
81	1	1	0.424074629804418	TRUE	5500000	TRUE	0.16	3.68	0.04
