inv1	inv2	continent	country	exclusive
X1	X2	TRUE	TRUE	FALSE
X1	X3	FALSE	TRUE	FALSE
X1	X4	TRUE	TRUE	FALSE
X1	X5	TRUE	TRUE	FALSE
X1	X6	TRUE	TRUE	FALSE
X1	X7	TRUE	TRUE	FALSE
X1	X10	TRUE	TRUE	FALSE
X1	X11	TRUE	TRUE	FALSE
X1	X12	FALSE	TRUE	FALSE
X1	X13	TRUE	TRUE	FALSE
X1	X14	TRUE	TRUE	FALSE
X1	X15	TRUE	TRUE	FALSE
X1	X16	TRUE	TRUE	FALSE
X2	X1	TRUE	TRUE	FALSE
X2	X3	FALSE	FALSE	TRUE
X2	X4	TRUE	TRUE	FALSE
X2	X5	TRUE	TRUE	FALSE
X2	X6	TRUE	TRUE	FALSE
X2	X7	FALSE	TRUE	TRUE
X2	X10	TRUE	TRUE	FALSE
X2	X11	TRUE	TRUE	FALSE
X2	X12	FALSE	TRUE	TRUE
X2	X13	FALSE	FALSE	FALSE
X2	X14	FALSE	TRUE	FALSE
X2	X15	FALSE	TRUE	FALSE
X2	X16	TRUE	TRUE	FALSE
X3	X1	FALSE	TRUE	FALSE
X3	X2	FALSE	FALSE	TRUE
X3	X4	FALSE	TRUE	FALSE
X3	X5	FALSE	TRUE	TRUE
X3	X6	FALSE	TRUE	FALSE
X3	X7	FALSE	TRUE	FALSE
X3	X10	FALSE	TRUE	FALSE
X3	X11	FALSE	TRUE	FALSE
X3	X12	FALSE	FALSE	FALSE
X3	X13	FALSE	FALSE	FALSE
X3	X14	FALSE	FALSE	FALSE
X3	X15	FALSE	FALSE	FALSE
X3	X16	FALSE	FALSE	FALSE
X4	X1	TRUE	TRUE	FALSE
X4	X2	TRUE	TRUE	FALSE
X4	X3	FALSE	TRUE	FALSE
X4	X5	TRUE	TRUE	FALSE
X4	X6	TRUE	TRUE	FALSE
X4	X7	FALSE	TRUE	FALSE
X4	X10	TRUE	TRUE	FALSE
X4	X11	TRUE	TRUE	FALSE
X4	X12	FALSE	FALSE	FALSE
X4	X13	FALSE	FALSE	FALSE
X4	X14	FALSE	FALSE	TRUE
X4	X15	FALSE	FALSE	FALSE
X4	X16	TRUE	TRUE	FALSE
X5	X1	TRUE	TRUE	FALSE
X5	X2	TRUE	TRUE	FALSE
X5	X3	FALSE	TRUE	TRUE
X5	X4	TRUE	TRUE	FALSE
X5	X6	TRUE	TRUE	FALSE
X5	X7	TRUE	TRUE	FALSE
X5	X10	TRUE	TRUE	FALSE
X5	X11	TRUE	TRUE	FALSE
X5	X12	TRUE	TRUE	FALSE
X5	X13	TRUE	TRUE	FALSE
X5	X14	TRUE	TRUE	FALSE
X5	X15	TRUE	TRUE	TRUE
X5	X16	TRUE	TRUE	FALSE
X6	X1	TRUE	TRUE	FALSE
X6	X2	TRUE	TRUE	FALSE
X6	X3	FALSE	TRUE	FALSE
X6	X4	TRUE	TRUE	FALSE
X6	X5	TRUE	TRUE	FALSE
X6	X7	TRUE	TRUE	FALSE
X6	X10	TRUE	TRUE	FALSE
X6	X11	TRUE	TRUE	FALSE
X6	X12	FALSE	TRUE	TRUE
X6	X13	TRUE	TRUE	FALSE
X6	X14	TRUE	TRUE	FALSE
X6	X15	TRUE	TRUE	FALSE
