2_Kenya_670/654/395	2_Philippines_40	2_SaudiArabia_98	2_Philippines_18	2_Ghana_212	2_Brazil_64	2_SaudiArabia_17/7	2_USA_313	2_Brazil_140/92	2_Kenya_287	2_Kenya_271
2_Kenya_670/654/395	NA	0.0832214698977629	0.083208191065105	0.0832214698977629	0.0834145860789714	0.0810147364638407	0.0836495838378231	0.0827215834144417	0.079226297104327	0.195334859182494	0.102503825372593
2_Philippines_40	0.0832214698977629	NA	0.891579664630898	0.901719850189492	0.869478468785883	0.886217016569006	0.894040810356183	0.876056521371684	0.856063256212536	0.0764062300328698	0.0201336368896084
2_SaudiArabia_98	0.083208191065105	0.891579664630898	NA	0.891579664630898	0.867878105400608	0.874223432201271	0.887938205373652	0.860661360836058	0.844145792751412	0.0762333450840415	0.0203142652480965
2_Philippines_18	0.0832214698977629	0.901719850189492	0.891579664630898	NA	0.869478468785883	0.886217016569006	0.894040810356183	0.876056521371684	0.856063256212536	0.0764062300328698	0.0201336368896084
2_Ghana_212	0.0834145860789714	0.869478468785883	0.867878105400608	0.869478468785883	NA	0.848994042421803	0.867093932947899	0.836137970186614	0.81995366216162	0.076183353687262	0.0203484691465204
2_Brazil_64	0.0810147364638407	0.886217016569006	0.874223432201271	0.886217016569006	0.848994042421803	NA	0.879733171348415	0.894425880089929	0.884818546922542	0.0745554344208833	0.0191070044545695
2_SaudiArabia_17/7	0.0836495838378231	0.894040810356183	0.887938205373652	0.894040810356183	0.867093932947899	0.879733171348415	NA	0.868343048962983	0.849113923428844	0.0769622397474923	0.020381265800256
2_USA_313	0.0827215834144417	0.876056521371684	0.860661360836058	0.876056521371684	0.836137970186614	0.894425880089929	0.868343048962983	NA	0.861628310915106	0.0772862923577142	0.0199484589397664
2_Brazil_140/92	0.079226297104327	0.856063256212536	0.844145792751412	0.856063256212536	0.81995366216162	0.884818546922542	0.849113923428844	0.861628310915106	NA	0.0717951004205126	0.0190361988168408
2_Kenya_287	0.195334859182494	0.0764062300328698	0.0762333450840415	0.0764062300328698	0.076183353687262	0.0745554344208833	0.0769622397474923	0.0772862923577142	0.0717951004205126	NA	0.100586113961089
2_Kenya_271	0.102503825372593	0.0201336368896084	0.0203142652480965	0.0201336368896084	0.0203484691465204	0.0191070044545695	0.020381265800256	0.0199484589397664	0.0190361988168408	0.100586113961089	NA
