inv1	inv2	occurpops	p	cor
X1	X2	FALSE	0.0947841542583803	0.0523137933787898
X2	X1	TRUE	0.494660016870271	-0.0569622262446791
X1	X3	FALSE	0.773506640172716	-0.0090175385336729
X3	X1	TRUE	0.014702166339914	-0.373958697080543
X1	X4	FALSE	0.196607819366058	-0.0404446391143691
X4	X1	TRUE	1.07315997150378e-15	-0.513004344465751
X1	X5	FALSE	3.45448067408999e-41	-0.403171437077612
X5	X1	TRUE	0.025661864494968	0.111845155198056
X1	X6	FALSE	8.51514222093832e-19	0.272151505572801
X6	X1	TRUE	0.0195424587844632	0.112054432628833
X1	X7	FALSE	0.16763737918985	0.0432159178797505
X7	X1	TRUE	0.242936917489151	-0.0741202328113639
X1	X10	FALSE	3.30807264600601e-10	-0.194999132536628
X10	X1	TRUE	0.398571304061664	0.0419031204325776
X1	X11	FALSE	0.617651255053285	0.0156405387657162
X11	X1	TRUE	4.7628457590026e-07	-0.242470589939121
X1	X12	FALSE	0.00162013190157392	-0.0985332218867649
X12	X1	TRUE	0.27267444865657	-0.11821220034976
X1	X13	FALSE	5.08177807721527e-18	0.266183502612499
X13	X1	TRUE	0.00132841141937433	0.361633212088321
X1	X14	FALSE	4.89767939944833e-23	0.302418889409846
X14	X1	TRUE	1.2041789373666e-09	0.405724575241892
X1	X15	FALSE	0.133042580727906	-0.0470446138533146
X15	X1	TRUE	0.000602231378871154	-0.335580262517536
X1	X16	FALSE	1.73723802489091e-17	0.261987724718557
X16	X1	TRUE	1.47886334962128e-07	0.388799747446774
X2	X3	FALSE	0.754241967250843	0.00980898364586827
X2	X4	FALSE	0.243349425575315	-0.0365440846280728
X4	X2	TRUE	0.201712201569006	-0.258815853326287
X2	X5	FALSE	6.78257962932005e-05	-0.124344263368084
X5	X2	TRUE	0.721134481433659	0.0248957359673473
X2	X6	FALSE	0.181520913789985	0.0418469524694382
X6	X2	TRUE	0.633067122008333	0.0398378271486078
X2	X7	FALSE	0.0386191056793583	-0.0647382335280665
X7	X2	TRUE	0.00428353713605416	-0.259006496579022
X2	X10	FALSE	0.0151333470646131	-0.0760061879197946
X10	X2	TRUE	0.59652522959292	-0.0394988600287384
