cluster	au	bp	meandist	lowdist	size	valid	d	mean_wss	mean_bss	angle
120	0.998813205920271	0.00234675417809366	0.393611228448493	TRUE	3500000	FALSE	1.94	1.04	5.454	0
125	0.953538135585006	0.173939912539358	0.493074193224437	TRUE	3500000	FALSE	1.12	1.61	5.318	0
127	0.971356503577232	0.142663241312507	0.528232129936256	TRUE	6e+06	FALSE	0.84	2.18	15.885	0
136	0.993646771770837	0.207518747465354	0.537515633368577	TRUE	6500000	FALSE	0.99	2.35	17.276	0
144	0.964709309264839	0.857515815106464	0.403415022267217	TRUE	2500000	FALSE	1.08	0.84	7.823	0
161	0.957052500449624	0.109851045280787	0.582241607311204	TRUE	5500000	FALSE	0.51	2.03	16.772	0
162	0.963571948258707	0.269604672659767	0.484433662681918	TRUE	3e+06	FALSE	1.13	0.81	8.374	0
163	0.986135438245118	0.601707909818646	0.492200342445876	TRUE	2500000	FALSE	0.86	1.29	4.67	0
167	0.970821825045032	0.145874921054812	0.466495082438614	TRUE	3e+06	FALSE	1.99	0.66	8.017	0
17	0.970960536168223	0.766606865536535	0.285421831204016	TRUE	4e+06	FALSE	0.01	0.6	23.02	0
171	0.988804844637308	0.0870514316488208	0.518066914952166	TRUE	4500000	FALSE	0.69	1.5	8.123	0
186	0.979730588586611	0.102773763037965	0.456671064241737	TRUE	4e+06	FALSE	1.36	2.76	7.194	0
200	0.983581088705288	0.0459633171634644	0.547597971219085	TRUE	4500000	FALSE	1.17	0.93	10.238	0
206	0.977488473476534	0.175246840618846	0.494302774278728	TRUE	2500000	FALSE	0.66	1.17	3.496	0
215	0.983761832999875	0.0923304696510694	0.537283043041772	TRUE	4500000	FALSE	1.28	1.34	13.085	0
236	0.980196228459937	0.182605335388747	0.55335918612891	TRUE	2500000	FALSE	0.13	1.05	4.127	0
239	0.993385160465138	0.0526524053457591	0.551128891723963	TRUE	5e+06	FALSE	1.25	1.42	13.849	0
249	0.970900841814522	0.0246325004067422	0.556371381874349	TRUE	7e+06	FALSE	0.1	2.6	21.491	0
251	0.953356500975207	0.110964954964739	0.595668438998453	FALSE	3e+06	FALSE	0.62	1.45	4.96	0
264	0.954080316038691	0.00560622750640471	0.477258557964366	TRUE	10500000	FALSE	1.86	2.12	12.184	0
270	0.995668878510608	0.185995844993942	0.639401629130013	FALSE	10500000	FALSE	0.92	2.62	37.824	0
276	0.985928972166828	0.0125207615948785	0.494753485463342	TRUE	12500000	FALSE	1.75	2.5	14.182	0
283	0.985206881185314	0.213442960561596	0.535240613059045	TRUE	5e+06	FALSE	1.92	1.47	14.375	0
287	0.981094869960253	0.030229025081365	0.572198299002731	TRUE	6e+06	FALSE	1.19	2.08	7.933	0
302	0.973814109421825	0.0402696884849728	0.528110372405336	TRUE	3500000	FALSE	0.48	0.63	9.831	0
309	0.967509449708422	0.304951127097525	0.53580527820103	TRUE	3e+06	FALSE	0.03	0.82	4.873	0
31	1	1	0.309750812299033	TRUE	5500000	FALSE	0.57	0.73	29.651	0
315	0.977750918002858	0.169093820029872	0.509745756385881	TRUE	3e+06	FALSE	0.46	0.74	6.103	0
319	0.980956808794467	0.00964284394182936	0.650753453442785	FALSE	15500000	TRUE	0.17	1.73	18.786	-15
325	0.969218509068982	0.389415301035523	0.510354608322981	TRUE	2500000	FALSE	0.78	1.04	3.909	0
333	0.983497443025466	0.00211750698339961	0.654747549343495	FALSE	1.6e+07	TRUE	0.17	1.75	19.083	-15
340	0.957811818446611	0.378284952918114	0.474593402705917	TRUE	3500000	FALSE	1.27	1.31	6.561	0
341	0.969835293330807	0.0887391119696554	0.665455047640929	FALSE	5e+06	FALSE	0.03	2.27	8.03	0
346	0.993175732229714	0.0603926554166261	0.700834980930652	FALSE	6e+06	FALSE	0.13	2.72	9.301	0
350	0.969437812892127	0.00266635708097904	0.66003445139331	FALSE	16500000	TRUE	0.17	1.78	19.472	-15
359	0.959281574033969	0.174816761851624	0.565347044118014	TRUE	3e+06	FALSE	1.58	1.17	5.52	0
366	0.960806314621177	0.013703480422747	0.518587067229713	TRUE	3500000	FALSE	0.6	0.43	13.995	0
367	0.994584848746176	0.00871098329107151	0.623712859079739	FALSE	9500000	FALSE	1.85	2.25	21.565	0
369	0.997819672758305	0.516321267609966	0.530559622453562	TRUE	1.5e+07	TRUE	0.09	0.39	11.231	-25
374	0.97009089799772	0.00867038474023257	0.576647237082811	TRUE	6500000	FALSE	0.88	2.15	8.377	0
376	0.994090432329205	0.168779187569257	0.568974100133243	TRUE	6500000	FALSE	1.65	1.77	16.892	0
378	0.983673058806074	0.253501719488013	0.57940049393054	TRUE	4e+06	FALSE	0.26	2.04	8.139	0
383	0.99973878688301	0.00286323348304176	0.644582006930472	FALSE	1.2e+07	FALSE	1.86	4.1	16.837	0
388	0.993148524808696	0.244364836665261	0.749278599234618	FALSE	13500000	FALSE	1.51	5.57	19.848	0
406	0.951190412513237	0.0466568137453562	0.625780790267047	FALSE	8e+06	FALSE	0.8	3.34	12.418	0
410	0.982093485540164	0.0334046514952474	0.646142589863636	FALSE	9e+06	FALSE	0.72	3.77	13.959	0
