cluster	au	bp	meandist	lowdist	size	valid	d	mean_wss	mean_bss	angle
117	0.972307866484715	0.0204705945502951	0.393439824962483	TRUE	1.8e+07	TRUE	0.16	1.22	45.58	-45
118	0.984034396175648	0.0512216656906556	0.394476653604337	TRUE	18500000	TRUE	0.16	1.23	46.794	-45
120	0.998434571926595	0.117159490242851	0.397430251997165	TRUE	1.9e+07	TRUE	0.16	1.24	47.825	-45
129	0.992092547515703	0.425432097120592	0.405862691921705	TRUE	1.7e+07	TRUE	0.17	1.01	41.947	0
139	0.979095703849298	0.928878203476928	0.444663672520979	TRUE	9e+06	TRUE	0.02	1.03	31.079	10
15	1	1	0.165836242071478	TRUE	3500000	FALSE	0.52	0.64	8.255	0
152	0.960526669431549	0.399755954719686	0.278524277972961	TRUE	4500000	TRUE	0.04	0.26	10.986	40
156	0.997433227897296	0.833375852151732	0.51804209573914	TRUE	6e+06	FALSE	1.64	0.26	60.448	0
161	0.965716038019955	0.0660974830450749	0.401910944176328	TRUE	19500000	TRUE	0.16	1.29	49.061	-45
172	0.970616091233393	0.00739867572514528	0.540447948259236	TRUE	12500000	TRUE	0.23	0.17	13.2	0
181	0.970720879440128	0.0238900557483475	0.442079991028629	TRUE	2.5e+07	TRUE	0.14	1.46	58.729	-45
191	0.973876299034157	0.207807502642732	0.565117498018905	TRUE	1.5e+07	TRUE	0.24	0.23	15.321	0
193	0.967942871503568	0.200401731537201	0.542984487946662	TRUE	9e+06	TRUE	0.13	0.33	13.362	0
194	0.997903909928305	0.703503907607649	0.511009089696388	TRUE	42500000	TRUE	0.11	1.23	100.809	-35
208	0.985719114386073	0.00979699438624345	0.721145099953483	TRUE	2500000	FALSE	0.78	2.2	5.081	0
217	0.974948353611077	0.145155405498134	0.55865660521296	TRUE	9500000	TRUE	0.13	0.41	14.046	0
223	0.997589083309494	0.0162794066225534	0.67775668337912	TRUE	3e+06	FALSE	0.45	0.9	9.924	0
226	0.998407439150947	0.555457540979088	0.570393567486672	TRUE	15500000	TRUE	0.24	0.23	15.663	0
238	0.999999954288465	0.00047438854005337	0.719808382701068	TRUE	4e+06	FALSE	1.88	1.4	10.053	0
255	0.999999999728163	0.000479063473360801	0.629513212156526	TRUE	2500000	FALSE	0.2	1.21	10.635	0
271	0.999920365046387	0.0170272661039043	0.689127416376146	TRUE	4e+06	FALSE	0.84	1.32	13.186	0
280	0.954366281079693	0.00912859582678568	0.609572929238133	TRUE	2500000	FALSE	1.6	0.56	4.538	0
29	0.987446542573749	0.641547099949822	0.239858880901275	TRUE	5500000	TRUE	0.05	0.42	12.776	0
291	0.957567204574619	0.0386284082663108	0.582541948899328	TRUE	1e+07	TRUE	0.12	0.47	14.465	0
30	0.987070250041232	0.0791724976440437	0.319705136371179	TRUE	3500000	TRUE	0.2	0.52	14.313	5
308	0.987113090321112	0.0305417002688442	0.610164115496452	TRUE	1.1e+07	TRUE	0.14	0.48	17.698	0
38	0.991077148049963	0.0797576527578361	0.330354871438174	TRUE	4e+06	TRUE	0.21	0.56	16.235	5
387	0.971649252875485	0.950494287659129	0.54186483220619	TRUE	6500000	FALSE	1.64	0.28	65.554	0
4	0.982108292653437	0.975986481110599	0.11536339495241	TRUE	2500000	FALSE	0.68	0.49	6.611	0
402	0.999584378240899	0.00390987940194837	0.749055830994627	TRUE	6e+06	FALSE	0.25	1.72	20.978	0
411	0.995451958277438	0.390950819313175	0.576297266954652	TRUE	1.6e+07	TRUE	0.23	0.39	16.022	5
46	0.974853210838406	0.499535366353534	0.24828037187664	TRUE	6500000	TRUE	0.04	0.65	14.807	0
49	0.993243027018575	0.826677488315567	0.262122713507232	TRUE	2500000	FALSE	1.73	2.68	17.177	0
50	0.95212301330436	0.0614891453274482	0.344744553718593	TRUE	4500000	TRUE	0.24	0.59	17.937	5
77	0.993023770799925	0.445924103683161	0.398258929462466	TRUE	7e+06	TRUE	0.03	1.05	23.609	-5
81	0.999998791571302	0.000707200262520834	0.357769853542411	TRUE	8500000	TRUE	0.18	1.13	22.436	-40
9	0.968862488626473	0.724490493419978	0.140336256781376	TRUE	3e+06	FALSE	0.53	0.56	7.439	0
