cluster	au	bp	meandist	lowdist	size	valid	d	mean_wss	bss_tot
117	0.972307866484715	0.0204705945502951	0.393439824962483	TRUE	1.8e+07	FALSE	0.44	100.54	0.01
118	0.984034396175648	0.0512216656906556	0.394476653604337	TRUE	18500000	FALSE	0.44	104.88	0.01
120	0.998434571926595	0.117159490242851	0.397430251997165	TRUE	1.9e+07	FALSE	0.44	107.1	0.01
129	0.992092547515703	0.425432097120592	0.405862691921705	TRUE	1.7e+07	FALSE	0.17	21.63	0.01
139	0.979095703849298	0.928878203476928	0.444663672520979	TRUE	9e+06	FALSE	0.26	40.59	0.01
15	1	1	0.165836242071478	TRUE	3500000	TRUE	0.16	3.66	0.01
152	0.960526669431549	0.399755954719686	0.278524277972961	TRUE	4500000	TRUE	0.14	4.54	0.01
156	0.997433227897296	0.833375852151732	0.51804209573914	TRUE	6e+06	TRUE	0.11	1.01	0.01
161	0.965716038019955	0.0660974830450749	0.401910944176328	TRUE	19500000	FALSE	0.45	110.49	0.01
172	0.970616091233393	0.00739867572514528	0.540447948259236	TRUE	12500000	TRUE	0.23	4.36	0.01
181	0.970720879440128	0.0238900557483475	0.442079991028629	TRUE	2.5e+07	FALSE	0.5	169.46	0.01
191	0.973876299034157	0.207807502642732	0.565117498018905	TRUE	1.5e+07	TRUE	0.24	5.83	0.01
193	0.967942871503568	0.200401731537201	0.542984487946662	TRUE	9e+06	TRUE	0.13	8.6	0.01
194	0.997903909928305	0.703503907607649	0.511009089696388	TRUE	42500000	FALSE	0.31	345.85	0.01
208	0.985719114386073	0.00979699438624345	0.721145099953483	TRUE	2500000	FALSE	0	9.29	0.01
217	0.974948353611077	0.145155405498134	0.55865660521296	TRUE	9500000	TRUE	0.13	10.65	0.01
223	0.997589083309494	0.0162794066225534	0.67775668337912	TRUE	3e+06	FALSE	0.04	12.04	0.01
226	0.998407439150947	0.555457540979088	0.570393567486672	TRUE	15500000	TRUE	0.24	5.75	0.01
238	0.999999954288465	0.00047438854005337	0.719808382701068	TRUE	4e+06	FALSE	0.55	4.83	0.01
255	0.999999999728163	0.000479063473360801	0.629513212156526	TRUE	2500000	FALSE	0.06	16.24	0.01
271	0.999920365046387	0.0170272661039043	0.689127416376146	TRUE	4e+06	FALSE	0.17	16.49	0.01
280	0.954366281079693	0.00912859582678568	0.609572929238133	TRUE	2500000	FALSE	0.33	8.13	0.01
29	0.987446542573749	0.641547099949822	0.239858880901275	TRUE	5500000	TRUE	0.05	8.94	0.01
291	0.957567204574619	0.0386284082663108	0.582541948899328	TRUE	1e+07	TRUE	0.12	12.28	0.01
30	0.987070250041232	0.0791724976440437	0.319705136371179	TRUE	3500000	FALSE	0.01	16.44	0.01
308	0.987113090321112	0.0305417002688442	0.610164115496452	TRUE	1.1e+07	FALSE	0.85	32.1	0.01
38	0.991077148049963	0.0797576527578361	0.330354871438174	TRUE	4e+06	FALSE	0	19.33	0.01
387	0.971649252875485	0.950494287659129	0.54186483220619	TRUE	6500000	TRUE	0.11	1.03	0.01
4	0.982108292653437	0.975986481110599	0.11536339495241	TRUE	2500000	TRUE	0.16	3.73	0.01
402	0.999584378240899	0.00390987940194837	0.749055830994627	TRUE	6e+06	FALSE	0.03	24.62	0.01
411	0.995451958277438	0.390950819313175	0.576297266954652	TRUE	1.6e+07	FALSE	0.26	6.7	0.01
46	0.974853210838406	0.499535366353534	0.24828037187664	TRUE	6500000	TRUE	0.04	13.82	0.01
49	0.993243027018575	0.826677488315567	0.262122713507232	TRUE	2500000	FALSE	0.65	27.08	0.01
50	0.95212301330436	0.0614891453274482	0.344744553718593	TRUE	4500000	FALSE	0.18	20.43	0.01
77	0.993023770799925	0.445924103683161	0.398258929462466	TRUE	7e+06	FALSE	0.25	29.29	0.01
81	0.999998791571302	0.000707200262520834	0.357769853542411	TRUE	8500000	FALSE	0.38	39.25	0.01
9	0.968862488626473	0.724490493419978	0.140336256781376	TRUE	3e+06	TRUE	0.16	3.69	0.01
