cluster	au	bp	meandist	lowdist	size	valid	d	mean_wss	mean_bss	prop_bss	angle	admixed	f3	f3se
103	0.986583159991847	0.155827789956627	0.508644027365752	TRUE	4500000	TRUE	0.04	0.17	3.073	0.959	-5	FALSE	0.00773747533488999	0.00118511601692916
111	0.989748842588264	0.0415803487141441	0.517483798483562	TRUE	3e+06	FALSE	1.55	1.17	4.113	0.757	0	NA	NA	NA
113	0.999886857786755	0.0319558613218759	0.538872705862787	TRUE	3500000	FALSE	1.95	1.94	3.487	0.749	0	NA	NA	NA
118	0.98150440830739	0.0524794828565969	0.716836550182837	TRUE	3500000	FALSE	0.86	2.58	6.425	0.702	0	NA	NA	NA
122	0.997895423770979	0.0188085902434791	0.64631383938152	TRUE	5e+06	TRUE	0.04	0.32	8.305	0.95	0	FALSE	0.00846123344724867	0.00129791223979797
125	0.998929219315711	0.013778265120076	0.500017673919135	TRUE	4500000	TRUE	0.05	0.39	6.745	0.953	25	FALSE	0.00519317480705684	0.00149241507587366
133	0.962763803804959	0.427274889058081	0.532161714932344	TRUE	3500000	FALSE	1.61	2.68	13.884	0.703	0	NA	NA	NA
154	0.980355734568569	0.253522883802366	0.602658932972205	TRUE	2500000	FALSE	1.07	1.69	7.524	0.764	0	NA	NA	NA
191	0.986236887729764	0.00548531508500183	0.693827786327872	TRUE	6500000	TRUE	0.07	0.39	9.933	0.951	-5	FALSE	0.0140786156114948	0.00123127098880264
194	0.983805224999641	0.00297827749702314	0.798016047328305	TRUE	6e+06	FALSE	0.92	2.69	11.255	0.722	0	NA	NA	NA
222	0.999999190419236	0.000751903674710679	0.724823509813605	TRUE	7500000	FALSE	1.12	2.76	12.062	0.785	0	NA	NA	NA
228	0.988842245039749	0.0199951614459791	0.658145455563803	TRUE	2500000	FALSE	1.76	0.81	4.663	0.77	0	NA	NA	NA
246	0.988671294136138	0.311108034283439	0.516661890426422	TRUE	2500000	TRUE	0.08	0.07	0.862	0.955	-35	FALSE	0.00756275858061201	0.000706287120256201
267	0.988317706844138	0.619925044514809	0.707789303819378	TRUE	5500000	FALSE	0.56	3.33	11.593	0.701	0	NA	NA	NA
294	0.99951405656383	0.000787337210906572	0.720491342876472	TRUE	4500000	FALSE	1.54	0.82	12.807	0.794	0	NA	NA	NA
37	0.993317420618141	0.565136883385125	0.444596535773379	TRUE	3500000	TRUE	0.05	0.16	2.864	0.958	-5	FALSE	0.00697608427937911	0.000961708124933153
485	0.992889959685209	0.00305081746007122	0.828071679743539	TRUE	56500000	TRUE	0.05	2.09	44.22	0.965	10	FALSE	0.0553609706947981	0.00162702015274654
49	0.974234573251338	0.246964461115364	0.413920061583775	TRUE	3e+06	TRUE	0.07	0.28	4.449	0.951	-25	FALSE	0.0108951842998414	0.00142045925531346
62	0.997479871299454	0.0706091735812631	0.473639245409584	TRUE	4e+06	TRUE	0.11	0.38	6.303	0.952	20	FALSE	0.00724039421157685	0.00135541979648556
64	0.998264678184713	0.999070047695656	0.323319620976078	TRUE	3500000	TRUE	0.03	0.13	8.064	0.987	0	FALSE	0.0271420006115354	0.00226811436004166
