cluster	au	bp	meandist	lowdist	size	valid	d	mean_wss	mean_bss	prop_bss	angle	admixed	f3	f3se
120	0.998813205920271	0.00234675417809366	0.393611228448493	TRUE	3500000	TRUE	0.03	0.15	3.77	0.968	-20	FALSE	0.00435573751252206	0.00162446015627877
125	0.953538135585006	0.173939912539358	0.493074193224437	TRUE	3500000	TRUE	0.16	0.3	3.388	0.952	30	TRUE	-0.0312697722383669	0.00626349682162717
127	0.971356503577232	0.142663241312507	0.528232129936256	TRUE	6e+06	TRUE	0.06	0.7	7.888	0.955	0	TRUE	-0.0716208529226461	0.00551876519223804
136	0.993646771770837	0.207518747465354	0.537515633368577	TRUE	6500000	TRUE	0.04	0.8	8.459	0.953	0	TRUE	-0.0642420750429909	0.00516991845343703
144	0.964709309264839	0.857515815106464	0.403415022267217	TRUE	2500000	TRUE	0.02	0.25	3.073	0.955	-10	TRUE	-0.0191201088070761	0.0053450331807379
161	0.957052500449624	0.109851045280787	0.582241607311204	TRUE	5500000	TRUE	0.12	0.39	6.613	0.952	-45	TRUE	-0.297622668842495	0.0225254723853792
162	0.963571948258707	0.269604672659767	0.484433662681918	TRUE	3e+06	TRUE	0.16	0.28	3.985	0.964	0	TRUE	-0.0611190111894293	0.0101224745737023
163	0.986135438245118	0.601707909818646	0.492200342445876	TRUE	2500000	FALSE	0.86	1.29	4.67	0.782	0	NA	NA	NA
167	0.970821825045032	0.145874921054812	0.466495082438614	TRUE	3e+06	TRUE	0.18	0.11	4.16	0.957	35	FALSE	0.000765288735654877	0.00310214216564345
17	0.970960536168223	0.766606865536535	0.285421831204016	TRUE	4e+06	TRUE	0.03	0.15	4.374	0.971	0	TRUE	-0.0352845174920272	0.00266191463030818
171	0.988804844637308	0.0870514316488208	0.518066914952166	TRUE	4500000	FALSE	0.69	1.5	8.123	0.845	0	NA	NA	NA
186	0.979730588586611	0.102773763037965	0.456671064241737	TRUE	4e+06	TRUE	0.16	0.41	6.468	0.968	5	TRUE	-0.116852349014784	0.0116039640362153
200	0.983581088705288	0.0459633171634644	0.547597971219085	TRUE	4500000	TRUE	0.15	0.18	5.805	0.952	30	FALSE	0.0201005190282471	0.0032261822576547
206	0.977488473476534	0.175246840618846	0.494302774278728	TRUE	2500000	FALSE	0.66	1.17	3.496	0.802	0	NA	NA	NA
215	0.983761832999875	0.0923304696510694	0.537283043041772	TRUE	4500000	TRUE	0.1	0.57	6.152	0.95	0	TRUE	-0.052393991148103	0.00860830672504312
236	0.980196228459937	0.182605335388747	0.55335918612891	TRUE	2500000	FALSE	0.13	1.05	4.127	0.797	0	NA	NA	NA
239	0.993385160465138	0.0526524053457591	0.551128891723963	TRUE	5e+06	TRUE	0.18	0.58	6.443	0.952	0	TRUE	-0.0505371622600011	0.00817146052409849
249	0.970900841814522	0.0246325004067422	0.556371381874349	TRUE	7e+06	TRUE	0.07	0.9	9.63	0.953	-5	TRUE	-0.0845355832648957	0.00848993327900335
251	0.953356500975207	0.110964954964739	0.595668438998453	FALSE	3e+06	FALSE	0.62	1.45	4.96	0.771	0	NA	NA	NA
264	0.954080316038691	0.00560622750640471	0.477258557964366	TRUE	10500000	TRUE	0.14	0.39	8.118	0.962	-20	FALSE	0.00867400039775898	0.00103947512091576
270	0.995668878510608	0.185995844993942	0.639401629130013	FALSE	10500000	FALSE	0.92	2.62	37.824	0.849	0	NA	NA	NA
276	0.985928972166828	0.0125207615948785	0.494753485463342	TRUE	12500000	TRUE	0.15	0.5	9.519	0.958	-20	FALSE	0.00912929180365868	0.000951037530536836
283	0.985206881185314	0.213442960561596	0.535240613059045	TRUE	5e+06	FALSE	1.92	1.47	14.375	0.848	0	NA	NA	NA
287	0.981094869960253	0.030229025081365	0.572198299002731	TRUE	6e+06	FALSE	1.19	2.08	7.933	0.831	0	NA	NA	NA
302	0.973814109421825	0.0402696884849728	0.528110372405336	TRUE	3500000	FALSE	0.48	0.63	9.831	0.852	0	NA	NA	NA
309	0.967509449708422	0.304951127097525	0.53580527820103	TRUE	3e+06	FALSE	0.03	0.82	4.873	0.829	0	NA	NA	NA
31	1	1	0.309750812299033	TRUE	5500000	TRUE	0.04	0.21	5.348	0.965	0	TRUE	-0.0345745419613273	0.00216975475115977
315	0.977750918002858	0.169093820029872	0.509745756385881	TRUE	3e+06	FALSE	0.46	0.74	6.103	0.824	0	NA	NA	NA
319	0.980956808794467	0.00964284394182936	0.650753453442785	FALSE	15500000	TRUE	0.17	1.73	18.786	0.951	-15	TRUE	-0.0632248942652157	0.00439461620117806
325	0.969218509068982	0.389415301035523	0.510354608322981	TRUE	2500000	FALSE	0.78	1.04	3.909	0.8	0	NA	NA	NA
333	0.983497443025466	0.00211750698339961	0.654747549343495	FALSE	1.6e+07	TRUE	0.17	1.75	19.083	0.951	-15	TRUE	-0.0598548310339863	0.00439970292863659
340	0.957811818446611	0.378284952918114	0.474593402705917	TRUE	3500000	TRUE	0.04	0.29	3.483	0.954	-15	TRUE	-0.0146081858688687	0.00403664744725138
341	0.969835293330807	0.0887391119696554	0.665455047640929	FALSE	5e+06	FALSE	0.03	2.27	8.03	0.781	0	NA	NA	NA
346	0.993175732229714	0.0603926554166261	0.700834980930652	FALSE	6e+06	FALSE	0.13	2.72	9.301	0.776	0	NA	NA	NA
350	0.969437812892127	0.00266635708097904	0.66003445139331	FALSE	16500000	TRUE	0.17	1.78	19.472	0.951	-15	TRUE	-0.0567145786353734	0.00435623399594603
359	0.959281574033969	0.174816761851624	0.565347044118014	TRUE	3e+06	FALSE	1.58	1.17	5.52	0.764	0	NA	NA	NA
366	0.960806314621177	0.013703480422747	0.518587067229713	TRUE	3500000	FALSE	0.6	0.43	13.995	0.867	0	NA	NA	NA
367	0.994584848746176	0.00871098329107151	0.623712859079739	FALSE	9500000	FALSE	1.85	2.25	21.565	0.845	0	NA	NA	NA
369	0.997819672758305	0.516321267609966	0.530559622453562	TRUE	1.5e+07	TRUE	0.09	0.39	11.231	0.972	-25	FALSE	0.00936979974531491	0.000887308972575233
374	0.97009089799772	0.00867038474023257	0.576647237082811	TRUE	6500000	FALSE	0.88	2.15	8.377	0.831	0	NA	NA	NA
376	0.994090432329205	0.168779187569257	0.568974100133243	TRUE	6500000	FALSE	1.65	1.77	16.892	0.845	0	NA	NA	NA
378	0.983673058806074	0.253501719488013	0.57940049393054	TRUE	4e+06	FALSE	0.26	2.04	8.139	0.811	0	NA	NA	NA
383	0.99973878688301	0.00286323348304176	0.644582006930472	FALSE	1.2e+07	FALSE	1.86	4.1	16.837	0.838	0	NA	NA	NA
388	0.993148524808696	0.244364836665261	0.749278599234618	FALSE	13500000	FALSE	1.51	5.57	19.848	0.783	0	NA	NA	NA
406	0.951190412513237	0.0466568137453562	0.625780790267047	FALSE	8e+06	FALSE	0.8	3.34	12.418	0.844	0	NA	NA	NA
410	0.982093485540164	0.0334046514952474	0.646142589863636	FALSE	9e+06	FALSE	0.72	3.77	13.959	0.841	0	NA	NA	NA
413	0.971080851863629	0.146433457096774	0.646305914451382	FALSE	1.1e+07	FALSE	0.35	2.67	38.751	0.849	0	NA	NA	NA
418	0.988795897608567	0.0262061700776123	0.601929766423567	FALSE	8e+06	TRUE	0.02	0.42	5.406	0.952	-40	TRUE	-0.0253806446385792	0.00238874281527545
419	0.976837521325689	0.0326754701788547	0.634512528499568	FALSE	11500000	FALSE	0.06	3.29	14.459	0.845	0	NA	NA	NA
427	0.976047559911133	0.0398599060839672	0.581795484543858	TRUE	2500000	FALSE	0.76	0.62	2.399	0.805	0	NA	NA	NA
429	0.994586954259298	0.0248640289250598	0.65445959376987	FALSE	9500000	FALSE	0.7	3.92	14.397	0.84	0	NA	NA	NA
433	0.964044947772518	0.0178755766476132	0.631619701959861	FALSE	1.2e+07	FALSE	0.08	3.36	14.711	0.844	0	NA	NA	NA
434	0.997211008250044	0.0251276748245458	0.629928853754024	FALSE	1.3e+07	FALSE	0.48	3.84	16.807	0.848	0	NA	NA	NA
436	0.999999436973603	0.999812781719984	0.337946982077449	TRUE	6e+06	TRUE	0.05	0.31	5.567	0.952	0	TRUE	-0.0316702084504807	0.00248458727270385
447	0.993866268596396	0.0196914378673032	0.649084884351218	FALSE	14500000	FALSE	0.6	4.04	19.377	0.856	0	NA	NA	NA
449	0.952062394068403	0.0664827877830999	0.62264200991211	FALSE	6e+06	FALSE	0.21	2.57	9.18	0.779	0	NA	NA	NA
451	0.999397481901101	0.00687799945452144	0.663977660213273	FALSE	10500000	FALSE	0.65	4.3	15.167	0.834	0	NA	NA	NA
452	0.986475371186336	0.0922609432809965	0.586059432200995	TRUE	3500000	FALSE	0.57	1.47	4.948	0.764	0	NA	NA	NA
456	0.992353528730257	0.0272870531461271	0.576538317423767	TRUE	5e+06	FALSE	0.62	1.17	9.104	0.83	0	NA	NA	NA
