cluster	au	bp	meandist	lowdist	size	valid	d	mean_wss	mean_bss	prop_bss	angle	admixed	f3	f3se
100	0.975390896389438	0.147816752820834	0.582371011323755	TRUE	3e+06	FALSE	1.42	1.4	24.51	0.893	0	NA	NA	NA
140	0.979438623322467	0.0918163272731306	0.685929186528885	TRUE	3500000	FALSE	0.24	6.57	28.17	0.811	0	NA	NA	NA
172	0.978682241140949	0.337192354246115	0.676383050716667	TRUE	6e+06	FALSE	1.98	18.07	82.895	0.829	0	NA	NA	NA
19	0.979564445550692	0.136516602162486	0.389134210721588	TRUE	6e+06	TRUE	0.09	0.19	19.792	0.991	-25	FALSE	0.00872969004570823	0.00117542825681087
221	0.977423734508804	0.00155987238444496	0.715493931044043	TRUE	6e+06	FALSE	1.22	3.24	95.777	0.847	0	NA	NA	NA
233	0.995066058378919	0.0036859381074041	0.671211461268394	TRUE	4e+06	FALSE	0.25	5.96	74.296	0.833	0	NA	NA	NA
25	0.98505649784783	0.184350886177999	0.400281752393304	TRUE	6500000	TRUE	0.1	0.23	21.131	0.989	-25	FALSE	0.00899937092902872	0.00119783557309128
270	0.984274444810514	0.0194483136725294	0.712108130348742	TRUE	4e+06	FALSE	0.88	6.3	41.138	0.846	0	NA	NA	NA
34	0.957947660503603	0.176271570752312	0.408711348254196	TRUE	7e+06	TRUE	0.09	0.23	22.391	0.99	-25	FALSE	0.00799664958612534	0.00129255907664291
345	0.980062585275324	0.0932149761863209	0.745151894703303	TRUE	3500000	FALSE	1.19	6.35	69.995	0.859	0	NA	NA	NA
370	0.996765429732335	0.00337832778067841	0.788536190340685	TRUE	5e+06	FALSE	1.38	9.58	59.25	0.746	0	NA	NA	NA
44	0.952721803836967	0.881216794485681	0.606397170396992	TRUE	3e+06	FALSE	1.94	9.85	72.411	0.802	0	NA	NA	NA
498	0.966852360419064	0.912580151983177	0.470353944652525	TRUE	9e+06	TRUE	0.01	0.29	27.159	0.99	-25	FALSE	0.00755130772876173	0.00113783493760208
56	0.992514143397681	0.86684572409449	0.509210313540635	TRUE	2500000	FALSE	1.72	4.17	62.442	0.83	0	NA	NA	NA
76	0.985106969702461	0.957874644684964	0.448823895110696	TRUE	8500000	TRUE	0.07	0.31	25.606	0.989	25	FALSE	0.00791848318688809	0.00115585695738925
