cluster	au	bp	meandist	lowdist	size	valid	d	mean_wss	mean_bss	prop_bss	angle	admixed	f3	f3se
106	0.957885512411787	0.215894857313675	0.596482203143254	TRUE	4500000	FALSE	1.37	6.61	24.078	0.785	0	NA	NA	NA
112	0.962321764341018	0.18484339452948	0.647155039486931	TRUE	2500000	FALSE	0.14	1.54	6.975	0.804	0	NA	NA	NA
126	0.969956287163104	0.388340064608572	0.793679666313897	TRUE	5e+06	FALSE	1.72	12.05	55.024	0.75	0	NA	NA	NA
159	0.997417573512027	0.00270440753229992	0.691920334357104	TRUE	5500000	FALSE	0.06	3.64	22.111	0.864	0	NA	NA	NA
182	0.993632261603725	0.00198535365453845	0.708987992509542	TRUE	8e+06	FALSE	0.27	9.79	37.89	0.797	0	NA	NA	NA
260	0.995905798482436	0.0262050703220846	0.683875736116278	TRUE	2500000	FALSE	0.18	2.7	12.817	0.757	0	NA	NA	NA
31	0.971508183549401	0.494270875588481	0.489527746446123	TRUE	2500000	TRUE	0.06	0.63	6.882	0.954	20	FALSE	0.0139841041553933	0.00164871610177193
466	0.975201693586957	0.208134692406979	0.827724209119631	TRUE	5500000	FALSE	1.69	13.07	55.968	0.749	0	NA	NA	NA
77	0.972022441060639	0.113500882484078	0.648727365772299	TRUE	2500000	FALSE	1.59	2.35	10.054	0.811	0	NA	NA	NA
99	0.967524803641247	0.0490436243137157	0.582912406392892	TRUE	2500000	FALSE	0.62	2.68	9.985	0.797	0	NA	NA	NA
