cluster	au	bp	meandist	lowdist	size	valid	d	mean_wss	mean_bss	prop_bss	angle	admixed	f3	f3se
115	0.971580029633322	0.796574317652852	0.362591522001103	TRUE	5500000	TRUE	0.02	1.34	49.728	0.951	-20	FALSE	0.0203500860482297	0.00442025353984723
126	0.963566915516272	0.744317770817343	0.325722813127726	TRUE	6e+06	TRUE	0.16	1.16	38.676	0.97	0	FALSE	0.0263894515485187	0.0035552222282188
154	0.991950309934976	0.526581890762798	0.651837778810599	FALSE	3500000	FALSE	0.64	18.36	70.648	0.789	0	NA	NA	NA
222	0.998062686799484	0.988527456993585	0.35937017188024	TRUE	3e+06	FALSE	0.55	6.16	40.991	0.864	0	NA	NA	NA
266	0.950697555000367	0.138408950497363	0.585607462721659	FALSE	3500000	FALSE	0.2	7.97	44.599	0.787	0	NA	NA	NA
34	0.973833644409661	0.896833510251381	0.294662672329204	TRUE	4500000	TRUE	0.07	0.91	29.704	0.969	0	FALSE	0.0265847070876409	0.00392229784157052
370	0.964143366489466	0.00220062928050649	0.459734996663045	TRUE	1e+07	FALSE	1.37	8.59	274.62	0.896	0	NA	NA	NA
412	0.957177123421305	0.0426690306105583	0.641044987257409	FALSE	6500000	FALSE	1.19	4.74	167.876	0.905	0	NA	NA	NA
424	0.999500035196144	0.00274682914876099	0.80717202211163	FALSE	7500000	FALSE	1.06	36.62	94.174	0.733	0	NA	NA	NA
465	0.976043388994323	0.0167442927948829	0.650159490172396	FALSE	7e+06	FALSE	1.14	4.76	179.192	0.91	0	NA	NA	NA
47	1	1	0.324711620910799	TRUE	2500000	TRUE	0.17	0.74	24.144	0.955	-20	FALSE	-0.00509158652845427	0.003201375285423
501	0.993747153635642	0.023756289897515	0.759860758849135	FALSE	2500000	FALSE	1.95	6.01	76.173	0.825	0	NA	NA	NA
52	0.955851128287794	0.00896520729271129	0.275618101898568	TRUE	6e+06	TRUE	0.16	0.81	54.364	0.978	-15	FALSE	0.0189696822222928	0.00299925362131841
604	0.999489084157106	0.00504874486218542	0.584786384642468	FALSE	2500000	FALSE	0.48	4.58	98.716	0.853	0	NA	NA	NA
625	0.999789795698927	0.00196459564355564	0.761783224904359	FALSE	3e+06	FALSE	1.71	8.54	88.239	0.793	0	NA	NA	NA
73	0.950078066360755	0.0142123415924048	0.288156068294471	TRUE	8500000	TRUE	0.11	1.14	78.147	0.978	-15	FALSE	0.0191355468815519	0.00227630907755221
76	0.964074277525277	0.00624114005123431	0.275961217946995	TRUE	8500000	TRUE	0.13	0.57	82.755	0.99	-35	FALSE	0.0202553711366301	0.00242397810819802
81	0.990655131829818	0.0131119414987649	0.290528748457365	TRUE	9e+06	TRUE	0.15	1.22	84.137	0.979	-10	FALSE	0.0194119056576732	0.00216725643627294
82	0.964983581749496	0.00357820617181407	0.278870924953043	TRUE	9e+06	TRUE	0.19	0.67	87.623	0.989	35	FALSE	0.29856184884803	0.00708041340010912
