cluster	size	valid	d	mean_wss	mean_bss	prop_bss	angle	admixed	f3	f3se	hzaa	hzbb	hzab	hzgood
118	5e+06	FALSE	1.46	0.05	2.379	0.973	0	NA	NA	NA	NA	NA	NA	NA
120	4500000	FALSE	0.02	0.71	5.001	0.894	0	NA	NA	NA	NA	NA	NA	NA
128	6e+06	FALSE	1.01	0.07	5.554	0.983	0	NA	NA	NA	NA	NA	NA	NA
131	4e+06	FALSE	0.08	0.52	2.93	0.883	0	NA	NA	NA	NA	NA	NA	NA
137	6500000	FALSE	1.01	0.08	6.015	0.982	0	NA	NA	NA	NA	NA	NA	NA
142	4e+06	FALSE	1.4	0.15	2.114	0.964	0	NA	NA	NA	NA	NA	NA	NA
143	8e+06	FALSE	1.66	0.03	3.911	0.99	0	NA	NA	NA	NA	NA	NA	NA
150	5500000	FALSE	0.04	0.8	5.632	0.892	0	NA	NA	NA	NA	NA	NA	NA
157	4500000	FALSE	0.13	0.58	3.076	0.879	0	NA	NA	NA	NA	NA	NA	NA
163	9500000	FALSE	1.42	0.06	4.614	0.983	0	NA	NA	NA	NA	NA	NA	NA
186	3500000	FALSE	0.07	0.23	1.894	0.93	0	NA	NA	NA	NA	NA	NA	NA
217	3500000	FALSE	1.36	0.13	2.03	0.969	0	NA	NA	NA	NA	NA	NA	NA
219	2500000	FALSE	0.28	0.23	2.14	0.912	0	NA	NA	NA	NA	NA	NA	NA
22	2500000	FALSE	1.68	0.02	1.604	0.982	0	NA	NA	NA	NA	NA	NA	NA
221	7e+06	FALSE	0.99	0.09	6.222	0.981	0	NA	NA	NA	NA	NA	NA	NA
226	4500000	FALSE	0.11	0.47	3.887	0.854	0	NA	NA	NA	NA	NA	NA	NA
231	5e+06	FALSE	0.1	0.46	4	0.859	0	NA	NA	NA	NA	NA	NA	NA
232	7500000	FALSE	0.98	0.1	6.3	0.98	0	NA	NA	NA	NA	NA	NA	NA
256	6500000	FALSE	0.03	1.05	3.535	0.871	0	NA	NA	NA	NA	NA	NA	NA
257	3e+06	FALSE	0.72	0.39	1.841	0.905	0	NA	NA	NA	NA	NA	NA	NA
307	6e+06	FALSE	0.06	0.81	5.872	0.893	0	NA	NA	NA	NA	NA	NA	NA
311	4e+06	FALSE	0.07	0.23	1.911	0.93	0	NA	NA	NA	NA	NA	NA	NA
331	5e+06	FALSE	0.03	0.92	2.962	0.859	0	NA	NA	NA	NA	NA	NA	NA
49	2500000	FALSE	0	0.41	3.427	0.907	0	NA	NA	NA	NA	NA	NA	NA
55	4e+06	FALSE	1.23	0.03	3.89	0.988	0	NA	NA	NA	NA	NA	NA	NA
58	5e+06	FALSE	0.16	0.31	8.586	0.94	0	NA	NA	NA	NA	NA	NA	NA
75	2500000	FALSE	1.61	0.06	1.595	0.98	0	NA	NA	NA	NA	NA	NA	NA
90	2500000	FALSE	0.97	0.06	1.329	0.942	0	NA	NA	NA	NA	NA	NA	NA
93	2500000	FALSE	0.04	0.1	0.861	0.908	0	NA	NA	NA	NA	NA	NA	NA
95	2500000	FALSE	0.66	0.06	0.399	0.928	0	NA	NA	NA	NA	NA	NA	NA
