cluster	size	valid	d	mean_wss	mean_bss	prop_bss	angle	admixed	f3	f3se	hzaa	hzbb	hzab	hzgood
103	1e+07	TRUE	0.1	1.57	41.488	0.967	-5	FALSE	0.0249	0.00181	0.311	0.181	0.2	FALSE
120	4e+06	FALSE	0.33	1.15	18.324	0.92	0	NA	NA	NA	NA	NA	NA	NA
124	15500000	TRUE	0.02	0.41	32.202	0.993	0	FALSE	0.0505	0.00146	0.113	0.114	0.115	TRUE
126	3500000	FALSE	1.31	0.69	5.032	0.923	0	NA	NA	NA	NA	NA	NA	NA
129	3500000	FALSE	0.1	0.37	12.714	0.955	0	NA	NA	NA	NA	NA	NA	NA
149	4500000	FALSE	0.45	0.35	16.918	0.943	0	NA	NA	NA	NA	NA	NA	NA
151	2500000	FALSE	1.08	0.04	9.951	0.99	0	NA	NA	NA	NA	NA	NA	NA
162	5e+06	FALSE	0.07	2.28	10.94	0.876	0	NA	NA	NA	NA	NA	NA	NA
174	4e+06	FALSE	0.08	0.43	15.152	0.957	0	NA	NA	NA	NA	NA	NA	NA
181	5500000	FALSE	0.15	1.64	15.808	0.911	0	NA	NA	NA	NA	NA	NA	NA
201	11500000	TRUE	0.1	1.62	42.335	0.966	-5	FALSE	0.0253	0.00189	0.302	0.177	0.196	FALSE
204	3e+06	FALSE	0.36	0.59	6.065	0.879	0	NA	NA	NA	NA	NA	NA	NA
212	3500000	FALSE	1	0.87	5.18	0.898	0	NA	NA	NA	NA	NA	NA	NA
214	7e+06	FALSE	0.3	1.48	21.11	0.916	0	NA	NA	NA	NA	NA	NA	NA
219	5e+06	FALSE	0.46	0.41	17.856	0.936	0	NA	NA	NA	NA	NA	NA	NA
241	12500000	TRUE	0.08	1.66	47.25	0.969	0	FALSE	0.0265	0.0025	0.303	0.181	0.2	FALSE
255	4500000	FALSE	0.16	0.56	17.267	0.947	0	NA	NA	NA	NA	NA	NA	NA
264	5500000	FALSE	0.18	0.89	19.256	0.926	0	NA	NA	NA	NA	NA	NA	NA
266	6500000	TRUE	0.05	0.45	27.49	0.962	35	FALSE	0.119	0.0106	0.111	0.0935	0.164	TRUE
306	7e+06	TRUE	0.05	0.47	30.01	0.964	35	FALSE	0.117	0.00993	0.113	0.103	0.167	TRUE
316	7e+06	FALSE	0.24	2.6	14.04	0.884	0	NA	NA	NA	NA	NA	NA	NA
32	2500000	FALSE	0.02	0.3	11.017	0.975	0	NA	NA	NA	NA	NA	NA	NA
34	5500000	FALSE	0.05	0.8	21.901	0.968	0	NA	NA	NA	NA	NA	NA	NA
416	13500000	TRUE	0.09	1.77	48.216	0.968	0	FALSE	0.0257	0.00234	0.292	0.178	0.196	FALSE
5	2500000	FALSE	0.03	0.22	9.418	0.979	0	NA	NA	NA	NA	NA	NA	NA
50	3e+06	FALSE	0.64	1.08	6.459	0.888	0	NA	NA	NA	NA	NA	NA	NA
65	3500000	FALSE	0.37	1.36	9.174	0.877	0	NA	NA	NA	NA	NA	NA	NA
72	4500000	FALSE	0.06	2.07	10.558	0.878	0	NA	NA	NA	NA	NA	NA	NA
82	3500000	FALSE	0.36	1.15	16.849	0.914	0	NA	NA	NA	NA	NA	NA	NA
