cluster	size	valid	d	mean_wss	mean_bss	prop_bss	angle	admixed	f3	f3se	hzaa	hzbb	hzab	hzgood
103	4e+06	FALSE	0.1	1.36	30.153	0.968	0	NA	NA	NA	NA	NA	NA	NA
111	5e+06	FALSE	1.17	0.17	21.964	0.992	0	NA	NA	NA	NA	NA	NA	NA
126	5500000	FALSE	1.18	0.22	21.423	0.99	0	NA	NA	NA	NA	NA	NA	NA
143	8500000	FALSE	1.3	0.39	31.927	0.988	0	NA	NA	NA	NA	NA	NA	NA
145	5500000	FALSE	0.3	1.68	38.767	0.968	0	NA	NA	NA	NA	NA	NA	NA
147	15500000	TRUE	0.03	0.94	41.394	0.988	0	FALSE	0.0181	0.000796	0.122	0.118	0.118	FALSE
156	9e+06	FALSE	1.32	0.4	33.072	0.988	0	NA	NA	NA	NA	NA	NA	NA
171	3e+06	FALSE	0.65	0.18	25.521	0.981	0	NA	NA	NA	NA	NA	NA	NA
187	1.3e+07	FALSE	1.43	0.8	40.748	0.986	0	NA	NA	NA	NA	NA	NA	NA
195	13500000	FALSE	1.44	0.8	41.698	0.986	0	NA	NA	NA	NA	NA	NA	NA
198	1.4e+07	FALSE	1.39	0.81	44.357	0.985	0	NA	NA	NA	NA	NA	NA	NA
239	6500000	FALSE	0.31	2.56	41.986	0.955	0	NA	NA	NA	NA	NA	NA	NA
28	6e+06	TRUE	0.02	2.05	49.666	0.962	-5	FALSE	0.0727	0.00429	0.237	0.166	0.156	FALSE
33	7e+06	TRUE	0.02	2.09	50.99	0.963	-5	FALSE	0.0706	0.00404	0.232	0.163	0.154	FALSE
38	5500000	TRUE	0.08	0.12	29.436	0.996	0	FALSE	0.0341	0.00202	0.114	0.124	0.111	FALSE
457	21500000	FALSE	0.34	4.71	130.413	0.967	0	NA	NA	NA	NA	NA	NA	NA
64	9e+06	TRUE	0.09	1.81	65.942	0.971	-5	FALSE	0.0595	0.00366	0.231	0.156	0.168	FALSE
65	6500000	TRUE	0.08	0.17	34.02	0.996	0	FALSE	0.0328	0.00182	0.113	0.123	0.112	FALSE
82	4500000	FALSE	1.21	0.14	20.139	0.992	0	NA	NA	NA	NA	NA	NA	NA
84	9500000	TRUE	0.09	1.79	67.106	0.972	-5	FALSE	0.0598	0.00354	0.23	0.156	0.168	FALSE
86	3e+06	FALSE	0.16	0.09	24.418	0.996	0	NA	NA	NA	NA	NA	NA	NA
87	3e+06	FALSE	0.12	0.75	10.585	0.935	0	NA	NA	NA	NA	NA	NA	NA
89	5e+06	TRUE	0.01	0.14	37.027	0.995	0	FALSE	0.19	0.0138	0.121	0.121	0.167	TRUE
