cluster	size	valid	d	mean_wss	mean_bss	prop_bss	angle	admixed	f3	f3se	hzaa	hzbb	hzab	hzgood
107	16500000	TRUE	0.04	0.71	63.03	0.994	30	FALSE	0.0313	0.00383	0.223	0.115	0.0776	FALSE
113	1.7e+07	TRUE	0.07	0.71	64.164	0.995	-30	FALSE	0.0299	0.0038	0.221	0.114	0.0785	FALSE
119	5e+06	FALSE	0.99	0.63	5.977	0.933	0	NA	NA	NA	NA	NA	NA	NA
12	6e+06	FALSE	1.44	0.08	26.804	0.999	0	NA	NA	NA	NA	NA	NA	NA
130	2500000	FALSE	0.35	2.09	9.811	0.902	0	NA	NA	NA	NA	NA	NA	NA
228	17500000	TRUE	0.01	0.19	56.665	0.998	-45	FALSE	0.0489	0.00292	0.215	0.0788	0.112	FALSE
237	4500000	FALSE	0.21	2.21	12.768	0.918	0	NA	NA	NA	NA	NA	NA	NA
25	3500000	FALSE	1.57	0.19	27.766	0.994	0	NA	NA	NA	NA	NA	NA	NA
26	8500000	TRUE	0.03	0.29	37.265	0.996	20	FALSE	0.05	0.00477	0.243	0.149	0.0854	FALSE
49	9500000	TRUE	0.03	0.31	39.24	0.996	20	FALSE	0.0495	0.00445	0.241	0.148	0.0852	FALSE
71	4500000	FALSE	1.55	0.24	31.766	0.994	0	NA	NA	NA	NA	NA	NA	NA
77	6e+06	FALSE	1.53	0.22	34.612	0.994	0	NA	NA	NA	NA	NA	NA	NA
90	3e+06	FALSE	1.06	0.65	5.805	0.93	0	NA	NA	NA	NA	NA	NA	NA
