cluster	size	valid	d	mean_wss	mean_bss	prop_bss	angle	admixed	f3	f3se	hzaa	hzbb	hzab	hzgood
101	3e+06	FALSE	1.08	0.78	29.993	0.981	0	NA	NA	NA	NA	NA	NA	NA
104	2500000	FALSE	0.01	5.73	20.71	0.888	0	NA	NA	NA	NA	NA	NA	NA
127	6e+06	TRUE	0	0.66	26.972	0.982	-25	FALSE	0.228	0.0281	0.0577	0.108	0.136	TRUE
13	2500000	FALSE	0.04	0.71	10.696	0.965	0	NA	NA	NA	NA	NA	NA	NA
15	2500000	TRUE	0.09	1.02	47.567	0.984	0	TRUE	-0.428	0.0246	0.0897	0.053	0.188	TRUE
204	3e+06	FALSE	0.06	4.89	37.774	0.928	0	NA	NA	NA	NA	NA	NA	NA
251	7e+06	FALSE	0.3	12.09	66.476	0.91	0	NA	NA	NA	NA	NA	NA	NA
275	7500000	FALSE	0.01	14.11	66.062	0.905	0	NA	NA	NA	NA	NA	NA	NA
34	3500000	TRUE	0.04	0.2	66.038	0.997	0	FALSE	0.168	0.0134	0.0658	0.0471	0.194	TRUE
43	2500000	FALSE	0.09	3.43	24.078	0.93	0	NA	NA	NA	NA	NA	NA	NA
79	2500000	FALSE	0.16	3.44	38.08	0.939	0	NA	NA	NA	NA	NA	NA	NA
94	3e+06	FALSE	0.18	2.11	17.235	0.941	0	NA	NA	NA	NA	NA	NA	NA
97	4500000	FALSE	0.38	10.37	45.032	0.889	0	NA	NA	NA	NA	NA	NA	NA
