cluster	size	valid	d	mean_wss	mean_bss	prop_bss	angle	admixed	f3	f3se	hzaa	hzbb	hzab	hzgood
100	7500000	FALSE	0.23	3.95	23.723	0.885	0	NA	NA	NA	NA	NA	NA	NA
109	10500000	TRUE	0.1	1.1	53.143	0.985	-15	FALSE	0.102	0.0111	0.129	0.051	0.124	FALSE
113	9500000	FALSE	0.06	6.26	25.132	0.878	0	NA	NA	NA	NA	NA	NA	NA
121	13500000	TRUE	0.08	1.93	57.273	0.975	-30	FALSE	0.0703	0.00941	0.12	0.0551	0.12	FALSE
126	1.4e+07	TRUE	0.09	2.38	58.075	0.97	-30	FALSE	0.0662	0.00916	0.118	0.0557	0.117	FALSE
149	5e+06	FALSE	0.63	0.64	39.225	0.982	0	NA	NA	NA	NA	NA	NA	NA
23	2500000	FALSE	0.01	1.28	10.432	0.944	0	NA	NA	NA	NA	NA	NA	NA
24	2500000	FALSE	1.36	0.21	22.214	0.99	0	NA	NA	NA	NA	NA	NA	NA
28	3e+06	FALSE	0.01	1.68	11.099	0.932	0	NA	NA	NA	NA	NA	NA	NA
46	4e+06	FALSE	0.83	0.5	33.206	0.983	0	NA	NA	NA	NA	NA	NA	NA
48	4500000	FALSE	0.1	1.39	17.401	0.962	0	NA	NA	NA	NA	NA	NA	NA
5	3e+06	TRUE	0.08	0.07	27.551	0.998	0	FALSE	0.23	0.0261	0.178	0.0746	0.152	FALSE
50	4500000	TRUE	0.07	1.16	33.876	0.96	20	FALSE	0.417	0.0252	0.104	0.0991	0.0822	FALSE
55	5e+06	FALSE	0.01	1.91	17.816	0.952	0	NA	NA	NA	NA	NA	NA	NA
9	4500000	TRUE	0.07	0.09	38.734	0.998	5	FALSE	0.223	0.0187	0.186	0.0846	0.159	FALSE
