cluster	size	valid	d	mean_wss	mean_bss	prop_bss	angle	admixed	f3	f3se	hzaa	hzbb	hzab	hzgood
117	1.8e+07	FALSE	0.44	5.9	60.74	0.952	0	NA	NA	NA	NA	NA	NA	NA
118	18500000	FALSE	0.44	6.15	62.327	0.951	0	NA	NA	NA	NA	NA	NA	NA
120	1.9e+07	FALSE	0.44	6.28	63.631	0.951	0	NA	NA	NA	NA	NA	NA	NA
129	1.7e+07	TRUE	0.07	0.38	40.287	0.993	-15	TRUE	-0.00697	0.000578	0.11	0.115	0.113	FALSE
139	9e+06	TRUE	0.02	1.03	31.079	0.963	10	FALSE	0.00606	0.00201	0.145	0.316	0.154	FALSE
15	3500000	FALSE	0.16	0.14	6.661	0.978	0	NA	NA	NA	NA	NA	NA	NA
152	4500000	FALSE	0.14	0.18	9.946	0.981	0	NA	NA	NA	NA	NA	NA	NA
156	6e+06	FALSE	0.11	0.03	8.95	0.993	0	NA	NA	NA	NA	NA	NA	NA
161	19500000	FALSE	0.45	6.48	65.293	0.951	0	NA	NA	NA	NA	NA	NA	NA
172	12500000	FALSE	0.23	0.17	13.2	0.987	0	NA	NA	NA	NA	NA	NA	NA
181	2.5e+07	FALSE	0.5	9.67	77.941	0.937	0	NA	NA	NA	NA	NA	NA	NA
191	1.5e+07	FALSE	0.24	0.23	15.321	0.985	0	NA	NA	NA	NA	NA	NA	NA
193	9e+06	FALSE	0.13	0.33	13.362	0.974	0	NA	NA	NA	NA	NA	NA	NA
194	42500000	TRUE	0.07	0.37	93.767	0.997	-40	TRUE	-0.0108	0.000441	0.102	0.105	0.104	FALSE
208	2500000	FALSE	0	0.41	3.952	0.92	0	NA	NA	NA	NA	NA	NA	NA
217	9500000	FALSE	0.13	0.41	14.046	0.97	0	NA	NA	NA	NA	NA	NA	NA
223	3e+06	FALSE	0.04	0.35	6.435	0.891	0	NA	NA	NA	NA	NA	NA	NA
226	15500000	FALSE	0.24	0.23	15.663	0.985	0	NA	NA	NA	NA	NA	NA	NA
238	4e+06	FALSE	0.55	0.17	6.471	0.966	0	NA	NA	NA	NA	NA	NA	NA
255	2500000	FALSE	0.06	0.57	4.237	0.848	0	NA	NA	NA	NA	NA	NA	NA
271	4e+06	FALSE	0.17	0.49	9.509	0.903	0	NA	NA	NA	NA	NA	NA	NA
280	2500000	FALSE	0.33	0.38	2.668	0.904	0	NA	NA	NA	NA	NA	NA	NA
29	5500000	FALSE	0.05	0.42	12.776	0.976	0	NA	NA	NA	NA	NA	NA	NA
291	1e+07	FALSE	0.12	0.47	14.465	0.966	0	NA	NA	NA	NA	NA	NA	NA
30	3500000	FALSE	0.01	0.61	12.835	0.948	0	NA	NA	NA	NA	NA	NA	NA
308	1.1e+07	FALSE	0.14	0.48	17.698	0.972	0	NA	NA	NA	NA	NA	NA	NA
38	4e+06	FALSE	0	0.72	14.496	0.946	0	NA	NA	NA	NA	NA	NA	NA
387	6500000	FALSE	0.11	0.03	9.734	0.993	0	NA	NA	NA	NA	NA	NA	NA
4	2500000	FALSE	0.16	0.14	5.239	0.971	0	NA	NA	NA	NA	NA	NA	NA
402	6e+06	FALSE	0.03	0.74	11.544	0.887	0	NA	NA	NA	NA	NA	NA	NA
411	1.6e+07	FALSE	0.26	0.27	16.209	0.984	0	NA	NA	NA	NA	NA	NA	NA
46	6500000	FALSE	0.04	0.65	14.807	0.968	0	NA	NA	NA	NA	NA	NA	NA
49	2500000	FALSE	0.65	1.54	10.138	0.924	0	NA	NA	NA	NA	NA	NA	NA
50	4500000	FALSE	0.18	0.79	15.335	0.948	0	NA	NA	NA	NA	NA	NA	NA
77	7e+06	TRUE	0.08	0.28	25.123	0.984	20	FALSE	0.0108	0.00194	0.139	0.343	0.166	FALSE
81	8500000	FALSE	0.38	2.3	27.628	0.959	0	NA	NA	NA	NA	NA	NA	NA
9	3e+06	FALSE	0.16	0.14	5.981	0.975	0	NA	NA	NA	NA	NA	NA	NA
