cluster	size	valid	d	mean_wss	mean_bss	prop_bss	angle	admixed	f3	f3se	hzaa	hzbb	hzab	hzgood
109	2500000	FALSE	0.14	0.19	4.552	0.949	0	NA	NA	NA	NA	NA	NA	NA
115	4e+06	FALSE	0.09	1.34	6.152	0.89	0	NA	NA	NA	NA	NA	NA	NA
120	3500000	FALSE	0.29	1.78	6.36	0.871	0	NA	NA	NA	NA	NA	NA	NA
129	3e+06	FALSE	0.11	0.51	8.646	0.921	0	NA	NA	NA	NA	NA	NA	NA
137	3500000	FALSE	0.22	0.59	7.349	0.904	0	NA	NA	NA	NA	NA	NA	NA
193	1.9e+07	FALSE	0.26	4.3	27.33	0.894	0	NA	NA	NA	NA	NA	NA	NA
201	4e+06	FALSE	0.03	0.86	8.36	0.915	0	NA	NA	NA	NA	NA	NA	NA
202	9e+06	FALSE	0.01	1.93	12.529	0.868	0	NA	NA	NA	NA	NA	NA	NA
211	3e+06	FALSE	0.1	0.57	3.934	0.913	0	NA	NA	NA	NA	NA	NA	NA
214	3500000	FALSE	0.11	0.56	9.711	0.924	0	NA	NA	NA	NA	NA	NA	NA
224	34500000	FALSE	0.25	8.08	47.728	0.877	0	NA	NA	NA	NA	NA	NA	NA
225	3500000	FALSE	0.03	0.77	8.601	0.891	0	NA	NA	NA	NA	NA	NA	NA
227	3.5e+07	FALSE	0.25	8.15	47.985	0.877	0	NA	NA	NA	NA	NA	NA	NA
236	3.6e+07	FALSE	0.28	8.54	47.303	0.876	0	NA	NA	NA	NA	NA	NA	NA
267	4e+06	FALSE	0.04	0.95	4.899	0.901	0	NA	NA	NA	NA	NA	NA	NA
277	3500000	FALSE	0.04	0.89	4.229	0.89	0	NA	NA	NA	NA	NA	NA	NA
293	4e+06	FALSE	0.31	2	7.057	0.864	0	NA	NA	NA	NA	NA	NA	NA
313	6e+06	FALSE	0.03	0.66	8.077	0.95	0	NA	NA	NA	NA	NA	NA	NA
321	4500000	FALSE	0.33	2.08	7.378	0.86	0	NA	NA	NA	NA	NA	NA	NA
328	4500000	FALSE	0.05	0.99	5.395	0.906	0	NA	NA	NA	NA	NA	NA	NA
334	6e+06	FALSE	0.51	1.85	5.798	0.86	0	NA	NA	NA	NA	NA	NA	NA
336	6500000	FALSE	0.38	2.41	8.084	0.859	0	NA	NA	NA	NA	NA	NA	NA
349	4e+06	FALSE	0.11	0.66	10.396	0.916	0	NA	NA	NA	NA	NA	NA	NA
351	38500000	FALSE	0.24	8.86	49.092	0.873	0	NA	NA	NA	NA	NA	NA	NA
367	10500000	FALSE	0	2.97	11.42	0.868	0	NA	NA	NA	NA	NA	NA	NA
384	9e+06	FALSE	0.02	1.9	10.101	0.9	0	NA	NA	NA	NA	NA	NA	NA
394	8500000	FALSE	0.15	1.71	10.171	0.904	0	NA	NA	NA	NA	NA	NA	NA
397	4.2e+07	FALSE	0.28	9.33	51.549	0.876	0	NA	NA	NA	NA	NA	NA	NA
41	3500000	FALSE	0.15	1.09	4.919	0.877	0	NA	NA	NA	NA	NA	NA	NA
411	8e+06	FALSE	0.21	2.51	7.5	0.859	0	NA	NA	NA	NA	NA	NA	NA
417	3e+06	FALSE	0.02	0.99	4.795	0.894	0	NA	NA	NA	NA	NA	NA	NA
428	1.4e+07	FALSE	0	3.66	13.223	0.851	0	NA	NA	NA	NA	NA	NA	NA
430	5500000	FALSE	0.53	0.77	8.88	0.894	0	NA	NA	NA	NA	NA	NA	NA
445	4e+06	FALSE	0.03	1.05	5.203	0.895	0	NA	NA	NA	NA	NA	NA	NA
563	1.1e+07	FALSE	0.17	3.15	12.802	0.867	0	NA	NA	NA	NA	NA	NA	NA
60	3500000	FALSE	0.07	1.44	6.584	0.898	0	NA	NA	NA	NA	NA	NA	NA
99	1.5e+07	FALSE	0.23	2.84	22.608	0.912	0	NA	NA	NA	NA	NA	NA	NA
