cluster	size	valid	d	mean_wss	mean_bss	prop_bss	angle	admixed	f3	f3se	hzaa	hzbb	hzab	hzgood
115	5500000	TRUE	0.02	1.34	49.728	0.951	-20	FALSE	0.0204	0.00442	0.0964	0.0969	0.0962	FALSE
126	6e+06	TRUE	0.04	1.03	38.775	0.973	-5	FALSE	0.0264	0.00356	0.104	0.106	0.105	FALSE
154	3500000	FALSE	0.24	3.31	36.631	0.95	0	NA	NA	NA	NA	NA	NA	NA
222	3e+06	FALSE	0.45	2.27	23.539	0.908	0	NA	NA	NA	NA	NA	NA	NA
266	3500000	FALSE	1.28	0.8	28.146	0.966	0	NA	NA	NA	NA	NA	NA	NA
34	4500000	TRUE	0.07	0.91	29.704	0.969	0	FALSE	0.0266	0.00392	0.104	0.107	0.105	FALSE
370	1e+07	FALSE	1.71	0.51	70.802	0.994	0	NA	NA	NA	NA	NA	NA	NA
412	6500000	FALSE	1.54	1.2	49.087	0.971	0	NA	NA	NA	NA	NA	NA	NA
424	7500000	FALSE	0.33	8.77	59.321	0.908	0	NA	NA	NA	NA	NA	NA	NA
465	7e+06	FALSE	1.51	1.26	52.051	0.971	0	NA	NA	NA	NA	NA	NA	NA
47	2500000	FALSE	0.52	1.34	23.771	0.921	0	NA	NA	NA	NA	NA	NA	NA
501	2500000	FALSE	0.12	2.69	37.718	0.941	0	NA	NA	NA	NA	NA	NA	NA
52	6e+06	TRUE	0.03	0.86	53.958	0.976	-20	FALSE	0.019	0.003	0.0957	0.0921	0.0935	FALSE
604	2500000	FALSE	0.24	3.56	19.812	0.921	0	NA	NA	NA	NA	NA	NA	NA
625	3e+06	FALSE	0.09	4.87	44.411	0.912	0	NA	NA	NA	NA	NA	NA	NA
73	8500000	TRUE	0.08	1.19	77.609	0.977	-20	FALSE	0.0191	0.00228	0.0949	0.0918	0.093	FALSE
76	8500000	TRUE	0.1	0.69	80.81	0.987	40	FALSE	0.298	0.00733	0.0952	0.0959	0.0992	TRUE
81	9e+06	TRUE	0.04	1.28	83.69	0.977	-15	FALSE	0.0194	0.00217	0.0946	0.092	0.0932	FALSE
82	9e+06	TRUE	0.02	0.65	85.766	0.989	-40	FALSE	0.0206	0.00238	0.0963	0.0998	0.0954	FALSE
