cluster	size	valid	d	mean_wss	mean_bss	prop_bss	angle	admixed	f3	f3se	hzaa	hzbb	hzab	hzgood
111	9e+06	FALSE	1.77	0.12	18.133	0.995	0	NA	NA	NA	NA	NA	NA	NA
123	4e+06	FALSE	0.21	0.62	16.199	0.951	0	NA	NA	NA	NA	NA	NA	NA
126	2500000	FALSE	0.33	0.16	15.819	0.98	0	NA	NA	NA	NA	NA	NA	NA
151	5500000	FALSE	0.45	0.21	34.897	0.988	0	NA	NA	NA	NA	NA	NA	NA
155	2500000	FALSE	0.35	0.09	22.641	0.99	0	NA	NA	NA	NA	NA	NA	NA
174	8e+06	FALSE	0.33	0.57	48.156	0.977	0	NA	NA	NA	NA	NA	NA	NA
179	9e+06	FALSE	0.7	1.41	42.44	0.961	0	NA	NA	NA	NA	NA	NA	NA
192	1.1e+07	FALSE	0.21	9.56	82.303	0.938	0	NA	NA	NA	NA	NA	NA	NA
26	5e+06	FALSE	1.59	0.11	9.04	0.992	0	NA	NA	NA	NA	NA	NA	NA
265	9500000	FALSE	0.65	1.38	44.344	0.964	0	NA	NA	NA	NA	NA	NA	NA
288	1.2e+07	FALSE	0.19	11.25	84.087	0.932	0	NA	NA	NA	NA	NA	NA	NA
39	3e+06	FALSE	1.78	0.05	7.048	0.996	0	NA	NA	NA	NA	NA	NA	NA
548	9e+06	FALSE	0.58	3.46	32.233	0.924	0	NA	NA	NA	NA	NA	NA	NA
708	18500000	FALSE	0.2	5.11	72.797	0.921	0	NA	NA	NA	NA	NA	NA	NA
90	4500000	FALSE	0.66	0.4	27.616	0.977	0	NA	NA	NA	NA	NA	NA	NA
95	4e+06	FALSE	1.66	0.65	10.44	0.944	0	NA	NA	NA	NA	NA	NA	NA
