1_BurkinaFaso_1_3	1_Gabon_1_1	1_Ghana_1_1	1_Uganda_3_1	1_PuertoRico_3_1	1_BurkinaFaso_5_1	1_SaudiArabia_1_5	1_Vietnam_1_1	1_BurkinaFaso_3_3	1_Ghana_2_2	1_Gabon_2_4	1_Ghana_3_2	1_Uganda_1_3	1_Philippines_1_1	1_Gabon_3_2	1_Philippines_2_4	1_Senegal_2_1	1_Senegal_3_1	1_Uganda_2_2	1_Ghana_5_1	1_PuertoRico_1_1	1_USA_1_1	1_SaudiArabia_2_1	1_PuertoRico_2_1	1_Uganda_5_1	1_BurkinaFaso_2_7	1_Senegal_1_2	1_BurkinaFaso_6_3	1_BurkinaFaso_4_1	1_Ghana_4_2	1_Uganda_4_2
1_BurkinaFaso_1_3	NA	0.425	0.453	0.0481	0.0079	0.0203	0.0125	0.021	0.066	0.0122	0.0665	0.0675	0.0552	0.0167	0.00241	0.0167	0.00601	0.00433	0.00934	0.00432	0.00719	0.0131	0.00868	0.00915	NA	0.0273	0.00744	0.0529	0.0534	0.0547	0.0507
1_Gabon_1_1	0.425	NA	0.449	0.0502	0.00843	0.0202	0.0129	0.021	0.0684	0.0126	0.0691	0.0704	0.057	0.0173	0.00257	0.0173	0.00613	0.00474	0.00969	0.00464	0.00906	0.0117	0.00879	0.00971	NA	0.0299	0.0111	0.0466	0.0471	0.0477	0.0469
1_Ghana_1_1	0.453	0.449	NA	0.0512	0.00552	0.0198	0.013	0.0205	0.0653	0.013	0.0683	0.0678	0.0564	0.0142	0.0019	0.0142	0.00473	0.00403	0.00864	0.00339	0.00567	0.0116	0.00776	0.00874	NA	0.0228	0.00399	0.0493	0.0498	0.0513	0.0519
1_Uganda_3_1	0.0481	0.0502	0.0512	NA	0.0018	0.00379	0.000685	0.0039	0.00843	0.000109	0.00545	0.00928	0.00402	0.00405	0.00122	0.00405	0.00304	0.00124	0.00424	0.00168	0.00147	0.00355	0.00309	0.00228	NA	0.0106	0.0139	0.0132	0.0135	0.0123	0.0113
1_PuertoRico_3_1	0.0079	0.00843	0.00552	0.0018	NA	0.00521	0.00358	0.00507	0.0154	0.00314	0.00544	0.0104	0.0062	0.0294	0.00299	0.0294	0.00246	0.0037	0.0118	0.00684	0.0203	0.00556	0.00696	0.0047	NA	0.00729	0.00428	0.0051	0.00515	0.00492	0.0105
1_BurkinaFaso_5_1	0.0203	0.0202	0.0198	0.00379	0.00521	NA	0.419	0.871	0.466	0.502	0.348	0.463	0.427	0.0267	0.035	0.0267	0.0996	0.0401	0.0588	0.0497	0.0381	0.0174	0.00715	0.00348	NA	0.00936	0.000652	0.00747	0.00764	0.00794	0.017
1_SaudiArabia_1_5	0.0125	0.0129	0.013	0.000685	0.00358	0.419	NA	0.403	0.228	0.764	0.303	0.243	0.361	0.0158	0.0018	0.0158	0.0205	0.00236	0.0126	0.00501	0.00917	0.00193	0.00286	0.00397	NA	0.00228	0.00256	0.00208	0.00218	0.00235	0.00919
1_Vietnam_1_1	0.021	0.021	0.0205	0.0039	0.00507	0.871	0.403	NA	0.452	0.484	0.339	0.449	0.414	0.0277	0.0312	0.0277	0.094	0.0366	0.0557	0.0463	0.0375	0.0178	0.00773	0.0035	NA	0.00937	0.000599	0.00768	0.00785	0.00814	0.0173
1_BurkinaFaso_3_3	0.066	0.0684	0.0653	0.00843	0.0154	0.466	0.228	0.452	NA	0.284	0.67	0.833	0.624	0.055	0.0923	0.055	0.221	0.107	0.0918	0.122	0.1	0.012	0.0119	0.00634	NA	0.03	0.00693	0.0253	0.0257	0.0248	0.0277
1_Ghana_2_2	0.0122	0.0126	0.013	0.000109	0.00314	0.502	0.764	0.484	0.284	NA	0.378	0.301	0.439	0.0186	0.00117	0.0186	0.0271	0.00208	0.0159	0.00586	0.0108	0.00165	0.00289	0.00435	NA	0.00161	0.00267	0.00121	0.00132	0.00153	0.0114
