index	label	lat	long	popdens	maxtemp	mintemp	precipitation	precseason	tempseason
1	Bangkok	13.7563309	100.5017651	16639.771406704	34.9570165726215	20.7984204452274	1322.91612429168	126.099091650582	126.099091650582
2	Cebu_City	10.3156992	123.8854366	10357.8859642838	33.1133777358473	22.188221657287	1563.4993150265	70.4870435839728	70.4870435839728
3	HoChiMin	10.8230989	106.6296638	26975.469496571	33.84341740944	21.7637864341922	1891.55278076857	97.9252571755932	97.9252571755932
4	Jaffna	9.6614981	80.0255465	3695.98510221888	33.569500275601	22.6322750723603	1238.27138651583	165.481912401277	165.481912401277
5	Karachi	24.842502	67.029845	47112.0496232529	35.7242102443705	12.142040977317	132.338016000001	449.017125161477	449.017125161477
6	Pazar	40.266759	36.2325877	59.1829521796538	28.0967987530343	-2.10626976169297	433.013859757632	714.210877810744	714.210877810744
7	Sulawesi Forest	-3.6687994	119.9740534	44.8481895724859	29.9155715546155	20.500967452842	2385.63665167797	33.424899260316	33.424899260316
8	Sulawesi Urban	-5.1476651	119.4327314	13989.4254050918	32.6372069785073	22.5888344810776	2824.28566643047	49.0985243461961	49.0985243461961
9	Taiwan	23.69781	120.960515	3.76721009865817	19.3576051460126	4.10102897238226	2869.55141991664	332.824583919082	332.824583919082
10	Dominica_North	15.6081	-61.442865	37.0857785602021	29.9813669900054	20.1087355363588	1890.57762111999	106.499139983173	106.499139983173
11	Roseau	15.311378	-61.378875	1442.20915010726	30.8073573017424	20.7227671085506	1906.137249424	104.899693210032	104.899693210032
12	Playa	18.3336694	-66.6650391	39.2862667261507	31.3737801665143	15.6093687368926	1915.74288172608	135.706618590239	135.706618590239
13	Ponce	18.3336694	-66.6650391	39.2862667261507	31.3737801665143	15.6093687368926	1915.74288172608	135.706618590239	135.706618590239
14	St. Croix	17.7058446	-64.858516	354.710573874287	31.1179832923784	21.0713617712442	1096.58046834289	124.198436912953	124.198436912953
15	Trinidad	10.3757217	-61.2335592	19.2432503698608	30.5811000849917	21.2863409222861	2179.20556145778	58.4013125125598	58.4013125125598
16	Jeddah	21.2854067	39.2375507	1594.38331184417	40.2248998018665	17.9241352928665	80.8514560000004	363.343064987315	363.343064987315
