Debug019_aegypti_El_Dorado_Argentina_U_10	Debug019_aegypti_El_Dorado_Argentina_U_11	Debug019_aegypti_El_Dorado_Argentina_U_2	Debug019_aegypti_El_Dorado_Argentina_U_4	Debug019_aegypti_El_Dorado_Argentina_U_5	Debug031_aegypti_El_Dorado_US_U_24	Debug031_aegypti_El_Dorado_US_U_25	Debug031_aegypti_El_Dorado_US_U_26	Debug031_aegypti_El_Dorado_US_U_28	Debug031_aegypti_El_Dorado_US_U_29	Debug031_aegypti_El_Dorado_US_U_30	Debug031_aegypti_El_Dorado_US_U_31	Debug016_aegypti_Cali_Colombia_U_10	Debug016_aegypti_Cali_Colombia_U_11	Debug016_aegypti_Cali_Colombia_U_12	Debug016_aegypti_Cali_Colombia_U_5	Debug016_aegypti_Cali_Colombia_U_8	Debug016_aegypti_Cali_Colombia_U_9	Amacuzac_Mexico-_12	Amacuzac_Mexico-_15	Amacuzac_Mexico-_21	Amacuzac_Mexico-_2	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-10	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-11	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-16	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-17	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-18	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-20	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-24	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-3	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-4	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-5	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-6	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-7	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-8
17447	21162	16093	22429	22150	17227	25404	22030	14611	17484	20268	15103	11120	14105	11534	15422	20871	17281	33022	30564	36935	38587	25476	20618	23975	26080	20731	17174	19824	21512	29803	20625	13696	19125	16438
11304	11780	10359	15868	13660	15439	16724	13943	8345	11183	15137	10204	12318	9075	7815	13641	14768	11789	28447	26155	32557	30191	17505	13867	14539	15085	9562	11703	15968	18185	18313	14659	13054	11516	12796
8824	13195	10675	10997	11140	20059	16890	13547	11777	12745	14413	9020	10641	11636	10927	10927	13396	11799	29165	28612	35552	26994	16590	11860	12119	15986	11304	13707	18627	15740	17292	20185	11780	12494	12420
15481	21090	14352	17232	17343	17404	19406	22085	13731	14603	18655	9424	10209	11123	11728	10213	18120	13803	28992	30055	44422	34970	17869	13953	16684	23288	14880	14627	16365	18904	20931	19327	9382	13321	14997
7133	8555	7933	8473	11672	13003	11169	10246	6518	8168	11772	5214	4442	7964	7770	9178	13244	8356	20527	13648	17334	18426	12616	8629	11954	16349	6844	8937	10743	8377	10125	8889	5711	6522	7775
10537	10363	4391	12629	11279	8355	4726	5403	3450	4989	6815	3748	1400	2024	2428	7129	7075	1807	5559	15331	9826	15121	10134	8511	7025	10616	563	5428	748	432	8599	4067	5966	8194	2991
107515	130540	98436	114564	143789	168229	142915	146418	88416	106173	135067	86472	96964	121066	93982	92545	124551	94607	241740	167676	245886	217392	143069	144895	120488	165724	100053	104043	148691	127419	202706	145235	111971	134145	93746
736550	746245	651351	1024313	1065572	890315	900376	827940	644414	753751	803819	569074	863372	931250	773717	748905	1025082	855922	2007554	1171567	1993350	1679314	1078804	890938	771195	1223316	598185	659793	1074506	692571	1116527	1043537	598404	758334	807956
10343	18274	13226	17304	14213	18313	19869	17629	11681	14723	19231	10922	10825	12972	11984	11158	21535	15182	29234	23218	37748	34691	24332	20581	17663	24304	19029	14710	19728	21460	20551	16770	13908	18569	17873
11109	17333	16513	13908	18109	24190	19270	16536	11637	14333	21507	14686	12134	15144	12730	14658	18219	17584	35178	24867	44247	30444	22156	22442	20672	29581	17471	15198	18286	21760	22451	20858	15199	15406	15458
12256	12688	14899	18061	15662	19523	20081	16374	12253	12752	17268	16227	11519	12110	10159	10904	19187	16825	32019	27115	41695	31939	23512	16615	19359	22308	15372	13626	20322	21946	23522	19456	16854	16770	16819
9955	16794	12766	19303	15547	19628	18609	20794	12412	13075	18797	13472	11456	12258	10385	14226	16603	16681	34556	27461	43108	32175	20866	15618	15689	21547	16540	17095	18710	23129	15602	20021	13634	15313	14750
13199	19939	16676	20572	16579	23039	23297	19378	16334	14607	21473	16206	12468	16024	11369	15073	17642	15595	35559	23275	37431	37993	22565	15874	19410	25249	14189	13316	18669	20233	20134	20828	13433	14779	19923
12696	16047	12629	19836	17739	19934	17432	28173	18237	19155	24018	26158	9853	10513	11848	10654	14265	9510	24011	24289	44963	29045	22395	15935	16300	22500	16322	12048	16933	23278	22458	16906	14022	26008	15543
16591	27853	20185	24728	26504	27361	29070	26133	18872	21648	23639	17356	19586	16932	17577	18197	26816	20727	51549	44769	56475	40371	32577	29328	25593	38357	25243	24827	26521	29441	37213	26687	22076	22097	22579
17314	23950	23549	26668	24169	24409	30776	28136	24128	21197	24634	21040	18518	19822	15713	18043	26259	21441	46779	35782	56748	48451	38756	25200	27010	40142	21598	24922	29471	31521	36744	28910	25494	26405	23690
32310	34375	34368	36511	45005	46141	47495	40025	32480	31196	41546	25731	26262	30630	27051	30201	36809	33117	68499	65641	87414	77668	48487	36083	39504	55033	37555	34671	34477	49300	52245	42220	31394	33166	34189
30969	40187	36435	35256	42360	44039	55034	39631	27886	36367	35465	26646	22171	30126	23483	36356	36498	32205	61358	55859	91392	68071	55150	36619	37392	52487	35902	35956	41035	49976	55360	42067	32018	37138	33575
229576	327737	262481	287808	350390	434544	432723	392341	236016	277557	340664	192210	333706	334750	300049	227015	288319	294837	752730	576802	920698	773649	335524	486297	525284	527352	501104	418608	590501	616836	385443	292552	414599	224983	260625
1203741	1477839	975619	1322230	1577589	1347610	1352674	1319692	762855	847603	1028300	532188	1077524	1126850	981315	909645	1251658	1040241	2548499	1709897	2566205	2118032	1568935	1122467	1207127	1548513	1322699	1009397	1791325	1618495	1534486	1362917	959907	1101860	1111073
214106	195832	200635	210227	252478	311380	336692	258282	180092	215031	298314	182430	204058	202938	196554	199339	285254	219524	462814	337772	548906	474483	274992	230599	233312	324488	236180	193768	301209	287816	274764	295427	175415	221243	195718
956682	1020514	1070646	1273392	1035228	1595304	1550816	1060623	982968	1116265	1417865	914250	1032052	1053360	912030	1088641	1438132	1170316	2374633	1763461	2659913	2123933	1600349	1078655	1181836	1521303	1232383	1025058	1473596	1577113	1640403	1481676	992381	1198098	1156764
102177	126499	118898	152078	130212	159154	154064	123674	102431	120233	150326	99592	113808	104487	95403	113300	157031	114188	241630	202419	305910	252249	165184	133352	138933	192671	112892	118347	136033	154469	172383	148599	101009	136839	119848
314181	500305	312848	388202	434749	446177	410319	457233	311624	369574	402334	273324	448633	456923	391083	415428	584041	446941	1108682	803258	1122259	913057	607194	516087	518803	623280	555648	428696	759502	703207	695121	545288	464979	524102	394897
591590	774274	509156	631053	684234	705838	673290	767143	502823	546814	640287	412211	784170	799817	718925	567949	840716	664828	1855225	1060998	1612485	1341480	965370	678415	743366	1006959	1009773	639932	1413240	1217070	982617	823900	562995	665315	630140
91123	88049	108190	116196	141790	146480	155043	121376	95365	104159	143699	95970	105632	102594	99866	111187	156496	124345	313780	210895	292977	269970	175955	120845	182005	191366	135440	145144	155870	168072	179134	178335	118182	151886	129284
72259	54823	87587	86280	77507	113378	110356	94886	75552	82361	107191	67698	75960	79527	68627	79290	102475	79001	165745	137007	199676	178946	126721	92547	95477	125081	92507	77011	116024	118001	119220	106228	79538	86369	73676
24338	33446	26617	34456	35736	38894	37330	36214	24840	29720	31887	21369	20245	21796	16435	21558	30393	27374	46269	46509	69933	53484	40812	24641	31364	42040	31997	23416	25173	34631	39751	31174	24466	31534	22333
303479	363206	285134	341524	345284	420925	429277	387158	268112	303415	403620	268229	288959	288810	257220	289456	391586	320145	658029	545429	761031	646126	440930	319449	328044	477631	379354	277857	465391	448042	468964	386722	295590	339744	309250
27276	21229	16594	23253	28761	25261	29103	26058	16889	18213	24146	17693	17982	16798	14985	19295	28068	19234	47277	43307	47419	45778	35560	22035	25972	31743	26545	16804	31832	27750	29507	30037	19271	24994	16657
3095239	3642117	3368887	4038951	4065446	4839214	4899972	3898614	2899104	3343770	4009146	2519778	3549562	3514066	3149943	3025499	3995076	3241868	7801496	7212243	8325823	6660168	5114782	3282737	3713199	4640620	3698864	3056506	4953860	4625914	4367496	3984321	2990505	3826361	3162862
2092965	2615579	2098623	2558969	2687542	3010693	3103509	2845034	1940077	2232272	2778141	1715213	2230985	2261062	1978352	2043630	2834460	2188553	5188531	4580868	5571952	4616172	3107859	2410451	2445591	3204722	2356955	2075371	3147979	2946559	3327406	2966477	1996386	2383754	2205628
104121	127004	64715	99217	135235	146580	145173	147805	97033	105396	202173	106829	102202	101281	94643	109224	134665	95992	288471	215767	331285	206225	194501	113007	100144	147520	162814	79481	220742	220727	227629	121138	95887	132636	126905
