sample	hap	accession	pop	spp	region	contgroup	country
Amacuzac_Mexico-_12	H001	Amacuzac_Mexico-_12_0	Amacuzac	AAA	South America	Americas	Mexico
Amacuzac_Mexico-_12	H004	Amacuzac_Mexico-_12_1	Amacuzac	AAA	South America	Americas	Mexico
Amacuzac_Mexico-_15	H001	Amacuzac_Mexico-_15_0	Amacuzac	AAA	South America	Americas	Mexico
Amacuzac_Mexico-_15	H001	Amacuzac_Mexico-_15_1	Amacuzac	AAA	South America	Americas	Mexico
Amacuzac_Mexico-_2	H001	Amacuzac_Mexico-_2_0	Amacuzac	AAA	South America	Americas	Mexico
Amacuzac_Mexico-_2	H001	Amacuzac_Mexico-_2_1	Amacuzac	AAA	South America	Americas	Mexico
Amacuzac_Mexico-_21	H004	Amacuzac_Mexico-_21_0	Amacuzac	AAA	South America	Americas	Mexico
Amacuzac_Mexico-_21	H001	Amacuzac_Mexico-_21_1	Amacuzac	AAA	South America	Americas	Mexico
Cebu_City_Philippines-_1	H025	Cebu_City_Philippines-_1_1	CebuCity	AAA	Asia	Asia	Philippines
Cebu_City_Philippines-_1	H005	Cebu_City_Philippines-_1_0	CebuCity	AAA	Asia	Asia	Philippines
Cebu_City_Philippines-_10	H005	Cebu_City_Philippines-_10_1	CebuCity	AAA	Asia	Asia	Philippines
Cebu_City_Philippines-_10	H005	Cebu_City_Philippines-_10_0	CebuCity	AAA	Asia	Asia	Philippines
Cebu_City_Philippines-_11	H042	Cebu_City_Philippines-_11_0	CebuCity	AAA	Asia	Asia	Philippines
Cebu_City_Philippines-_11	H005	Cebu_City_Philippines-_11_1	CebuCity	AAA	Asia	Asia	Philippines
Cebu_City_Philippines-_12	H005	Cebu_City_Philippines-_12_1	CebuCity	AAA	Asia	Asia	Philippines
Cebu_City_Philippines-_12	H025	Cebu_City_Philippines-_12_0	CebuCity	AAA	Asia	Asia	Philippines
Cebu_City_Philippines-_13	H071	Cebu_City_Philippines-_13_1	CebuCity	AAA	Asia	Asia	Philippines
Cebu_City_Philippines-_13	H025	Cebu_City_Philippines-_13_0	CebuCity	AAA	Asia	Asia	Philippines
Cebu_City_Philippines-_14	H071	Cebu_City_Philippines-_14_0	CebuCity	AAA	Asia	Asia	Philippines
Cebu_City_Philippines-_14	H071	Cebu_City_Philippines-_14_1	CebuCity	AAA	Asia	Asia	Philippines
Cebu_City_Philippines-_16	H722	Cebu_City_Philippines-_16_1	CebuCity	AAA	Asia	Asia	Philippines
Cebu_City_Philippines-_16	H085	Cebu_City_Philippines-_16_0	CebuCity	AAA	Asia	Asia	Philippines
Cebu_City_Philippines-_17	H005	Cebu_City_Philippines-_17_1	CebuCity	AAA	Asia	Asia	Philippines
Cebu_City_Philippines-_17	H025	Cebu_City_Philippines-_17_0	CebuCity	AAA	Asia	Asia	Philippines
Cebu_City_Philippines-_18	H026	Cebu_City_Philippines-_18_0	CebuCity	AAA	Asia	Asia	Philippines
Cebu_City_Philippines-_18	H005	Cebu_City_Philippines-_18_1	CebuCity	AAA	Asia	Asia	Philippines
Cebu_City_Philippines-_19	H005	Cebu_City_Philippines-_19_1	CebuCity	AAA	Asia	Asia	Philippines
Cebu_City_Philippines-_19	H005	Cebu_City_Philippines-_19_0	CebuCity	AAA	Asia	Asia	Philippines
Cebu_City_Philippines-_22	H005	Cebu_City_Philippines-_22_1	CebuCity	AAA	Asia	Asia	Philippines
Cebu_City_Philippines-_22	H005	Cebu_City_Philippines-_22_0	CebuCity	AAA	Asia	Asia	Philippines
Cebu_City_Philippines-_23	H025	Cebu_City_Philippines-_23_1	CebuCity	AAA	Asia	Asia	Philippines
Cebu_City_Philippines-_23	H005	Cebu_City_Philippines-_23_0	CebuCity	AAA	Asia	Asia	Philippines
Cebu_City_Philippines-_24	H083	Cebu_City_Philippines-_24_1	CebuCity	AAA	Asia	Asia	Philippines
Cebu_City_Philippines-_24	H025	Cebu_City_Philippines-_24_0	CebuCity	AAA	Asia	Asia	Philippines
Cebu_City_Philippines-_3	H025	Cebu_City_Philippines-_3_1	CebuCity	AAA	Asia	Asia	Philippines
Cebu_City_Philippines-_3	H005	Cebu_City_Philippines-_3_0	CebuCity	AAA	Asia	Asia	Philippines
Cebu_City_Philippines-_4	H070	Cebu_City_Philippines-_4_0	CebuCity	AAA	Asia	Asia	Philippines
Cebu_City_Philippines-_4	H005	Cebu_City_Philippines-_4_1	CebuCity	AAA	Asia	Asia	Philippines
Cebu_City_Philippines-_5	H042	Cebu_City_Philippines-_5_0	CebuCity	AAA	Asia	Asia	Philippines
Cebu_City_Philippines-_5	H015	Cebu_City_Philippines-_5_1	CebuCity	AAA	Asia	Asia	Philippines
Cebu_City_Philippines-_7	H005	Cebu_City_Philippines-_7_0	CebuCity	AAA	Asia	Asia	Philippines
Cebu_City_Philippines-_7	H005	Cebu_City_Philippines-_7_1	CebuCity	AAA	Asia	Asia	Philippines
Cebu_City_Philippines-_8	H025	Cebu_City_Philippines-_8_0	CebuCity	AAA	Asia	Asia	Philippines
Cebu_City_Philippines-_8	H026	Cebu_City_Philippines-_8_1	CebuCity	AAA	Asia	Asia	Philippines
Cebu_City_Philippines-_9	H005	Cebu_City_Philippines-_9_1	CebuCity	AAA	Asia	Asia	Philippines
Cebu_City_Philippines-_9	H068	Cebu_City_Philippines-_9_0	CebuCity	AAA	Asia	Asia	Philippines
Debug_010_aegypti_Bangkok_Thailand_01	H015	Debug_010_aegypti_Bangkok_Thailand_01_1	Bangkok	AAA	Asia	Asia	Thailand
Debug_010_aegypti_Bangkok_Thailand_01	H015	Debug_010_aegypti_Bangkok_Thailand_01_0	Bangkok	AAA	Asia	Asia	Thailand
Debug_010_aegypti_Bangkok_Thailand_02	H006	Debug_010_aegypti_Bangkok_Thailand_02_0	Bangkok	AAA	Asia	Asia	Thailand
Debug_010_aegypti_Bangkok_Thailand_02	H006	Debug_010_aegypti_Bangkok_Thailand_02_1	Bangkok	AAA	Asia	Asia	Thailand
Debug_010_aegypti_Bangkok_Thailand_03	H005	Debug_010_aegypti_Bangkok_Thailand_03_0	Bangkok	AAA	Asia	Asia	Thailand
Debug_010_aegypti_Bangkok_Thailand_03	H006	Debug_010_aegypti_Bangkok_Thailand_03_1	Bangkok	AAA	Asia	Asia	Thailand
Debug_010_aegypti_Bangkok_Thailand_05	H006	Debug_010_aegypti_Bangkok_Thailand_05_1	Bangkok	AAA	Asia	Asia	Thailand
Debug_010_aegypti_Bangkok_Thailand_05	H006	Debug_010_aegypti_Bangkok_Thailand_05_0	Bangkok	AAA	Asia	Asia	Thailand
Debug_010_aegypti_Bangkok_Thailand_06	H072	Debug_010_aegypti_Bangkok_Thailand_06_0	Bangkok	AAA	Asia	Asia	Thailand
Debug_010_aegypti_Bangkok_Thailand_06	H045	Debug_010_aegypti_Bangkok_Thailand_06_1	Bangkok	AAA	Asia	Asia	Thailand
Debug_010_aegypti_Bangkok_Thailand_07	H006	Debug_010_aegypti_Bangkok_Thailand_07_0	Bangkok	AAA	Asia	Asia	Thailand
Debug_010_aegypti_Bangkok_Thailand_07	H006	Debug_010_aegypti_Bangkok_Thailand_07_1	Bangkok	AAA	Asia	Asia	Thailand
Debug_010_aegypti_Bangkok_Thailand_08	H005	Debug_010_aegypti_Bangkok_Thailand_08_1	Bangkok	AAA	Asia	Asia	Thailand
