country	contgroup	total
Brazil	Americas	217
USA	Americas	145
Senegal	Wafrica	101
Kenya	Eafrica	97
Philippines	Asia	53
	Gabon	42
Ghana	Wafrica	40
SaudiArabia	Asia	36
BurkinaFaso	Wafrica	36
	Kenya	35
PuertoRico	Americas	29
Uganda	Eafrica	26
Gabon	Wafrica	22
Trinidad	Americas	20
Vietnam	Asia	20
Nigeria	Wafrica	19
USVirgin	Americas	18
Thailand	Asia	18
Mexico	Americas	17
Dominica	Americas	15
Pakistan	Asia	14
Taiwan	Asia	14
Angola	Wafrica	13
Cameroon	Wafrica	13
Argentina	Americas	12
SriLanka	Asia	12
Turkey	Asia	12
Australia	Asia	11
SouthAfrica	Safrica	11
Tahiti	Asia	8
Colombia	Americas	6
Tahiti	Asia	1
