Estimate	Std. Error	z value	Pr(>|z|)	var	inv	vars	converged
2.9	4.9	0.590732610537665	0.554699594240806	(Intercept)	X1_Gabon_1	abslat + popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
-0.276	0.152	-1.82104543384801	0.0685999507728195	abslat	X1_Gabon_1	abslat + popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	-0.00897061505320303	0.992842580743501	popdens	X1_Gabon_1	abslat + popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0.144	0.241	0.59960845165684	0.548767213230223	maxtemp	X1_Gabon_1	abslat + popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
-0.331	0.215	-1.53585740015709	0.12457335811093	mintemp	X1_Gabon_1	abslat + popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	-0.446351915672388	0.655343060574941	precipitation	X1_Gabon_1	abslat + popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
-0.0035	0.022	-0.159363826172698	0.873382237175103	precseason	X1_Gabon_1	abslat + popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
-0.004	0.0088	-0.462595085559251	0.643654631914402	tempseason	X1_Gabon_1	abslat + popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
3.4	4.8	0.709591316581294	0.477957605939616	(Intercept)	X1_Gabon_1	abslat + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
-0.22	0.15	-1.41758144093457	0.156313001725803	abslat	X1_Gabon_1	abslat + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0.11	0.22	0.476962239239667	0.633389010808975	maxtemp	X1_Gabon_1	abslat + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
-0.35	0.21	-1.62748223973211	0.103634717605048	mintemp	X1_Gabon_1	abslat + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
-3e-04	0.0011	-0.304123983111996	0.761033435813795	precipitation	X1_Gabon_1	abslat + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
-0.009	0.021	-0.435462645229333	0.66322664749799	precseason	X1_Gabon_1	abslat + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
