Estimate	Std. Error	z value	Pr(>|z|)	var	inv	vars	converged
1.7	4.5	0.368736410707187	0.712324206405268	(Intercept)	X1_Gabon_1	popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	0.341403821843277	0.73279959834597	popdens	X1_Gabon_1	popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0.07	0.23	0.316200199551321	0.751850556292426	maxtemp	X1_Gabon_1	popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
-0.28	0.22	-1.28890556044637	0.197430920724434	mintemp	X1_Gabon_1	popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	0.0176367173147596	0.985928665045453	precipitation	X1_Gabon_1	popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
-0.014	0.02	-0.695316956092813	0.486856690339539	precseason	X1_Gabon_1	popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
-0.013	0.009	-1.44223136079546	0.149237116292874	tempseason	X1_Gabon_1	popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
2.7	4.6	0.58666907141015	0.557425983608504	(Intercept)	X1_Gabon_1	popdens + maxtemp + mintemp + precseason + tempseason	TRUE
0	0	0.356514484673686	0.721455306582691	popdens	X1_Gabon_1	popdens + maxtemp + mintemp + precseason + tempseason	TRUE
0.07	0.23	0.291564724244109	0.770619449999489	maxtemp	X1_Gabon_1	popdens + maxtemp + mintemp + precseason + tempseason	TRUE
-0.31	0.22	-1.40122387668011	0.161147136454596	mintemp	X1_Gabon_1	popdens + maxtemp + mintemp + precseason + tempseason	TRUE
-0.015	0.019	-0.781190459106995	0.434690484358151	precseason	X1_Gabon_1	popdens + maxtemp + mintemp + precseason + tempseason	TRUE
-0.014	0.01	-1.43106011346586	0.152412987426043	tempseason	X1_Gabon_1	popdens + maxtemp + mintemp + precseason + tempseason	TRUE
3.6	3.2	1.10678101804323	0.268388617031947	(Intercept)	X1_Gabon_1	popdens + mintemp + precseason + tempseason	TRUE
0	0	0.237212806481126	0.812491701684622	popdens	X1_Gabon_1	popdens + mintemp + precseason + tempseason	TRUE
-0.25	0.15	-1.66099246890256	0.0967149592583834	mintemp	X1_Gabon_1	popdens + mintemp + precseason + tempseason	TRUE
-0.012	0.017	-0.709270723121461	0.478156492835243	precseason	X1_Gabon_1	popdens + mintemp + precseason + tempseason	TRUE
-0.012	0.0064	-1.88117313183174	0.0599483713661808	tempseason	X1_Gabon_1	popdens + mintemp + precseason + tempseason	TRUE
3.4	3.2	1.06011872001127	0.289090592331566	(Intercept)	X1_Gabon_1	mintemp + precseason + tempseason	TRUE
-0.22	0.15	-1.46494935254379	0.142934736447589	mintemp	X1_Gabon_1	mintemp + precseason + tempseason	TRUE
-0.008	0.016	-0.507673618704562	0.611682252511236	precseason	X1_Gabon_1	mintemp + precseason + tempseason	TRUE
-0.012	0.0063	-1.90894683602808	0.0562689502423748	tempseason	X1_Gabon_1	mintemp + precseason + tempseason	TRUE
2.87	2.79	1.02679106339257	0.304518858327791	(Intercept)	X1_Gabon_1	mintemp + tempseason	TRUE
-0.214	0.137	-1.56340464048068	0.117957449362192	mintemp	X1_Gabon_1	mintemp + tempseason	TRUE
-0.0132	0.0059	-2.24443898262608	0.0248041707025236	tempseason	X1_Gabon_1	mintemp + tempseason	TRUE
-1.3	1.2	-1.13195679786548	0.257652597859689	(Intercept)	X1_Gabon_1	tempseason	TRUE
-0.0106	0.0063	-1.68922573289426	0.0911761794054621	tempseason	X1_Gabon_1	tempseason	TRUE
-1.5287	3.8534	-0.39671871375502	0.691574898666148	(Intercept)	X1_global_1	popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	-0.428310271835466	0.668425241483959	popdens	X1_global_1	popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	0.402464622424322	0.687342119432518	maxtemp	X1_global_1	popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	-0.464176030442781	0.642521632830216	mintemp	X1_global_1	popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
