Estimate	Std. Error	z value	Pr(>|z|)	var	inv	vars	converged
-0.9416	9.4561	-0.0995714709906128	0.920684544089043	(Intercept)	X1_Gabon_1	abslat + popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	-0.0641210997555492	0.948873801240713	abslat	X1_Gabon_1	abslat + popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	1.16074328627482	0.245746312918198	popdens	X1_Gabon_1	abslat + popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	0.857776919766621	0.39101565662504	maxtemp	X1_Gabon_1	abslat + popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	-1.42678745814692	0.153641167348336	mintemp	X1_Gabon_1	abslat + popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	0.943305634722386	0.345524594566708	precipitation	X1_Gabon_1	abslat + popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	0.156127949291374	0.875932168152932	precseason	X1_Gabon_1	abslat + popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	-1.70954805316571	0.0873494785727276	tempseason	X1_Gabon_1	abslat + popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
-0.7099	8.3489	-0.0850319059466558	0.932236025281356	(Intercept)	X1_Gabon_1	popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	1.16831624161087	0.242679226366286	popdens	X1_Gabon_1	popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	0.969471626154723	0.332309930364249	maxtemp	X1_Gabon_1	popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	-1.45106118967707	0.146762822275743	mintemp	X1_Gabon_1	popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	1.09321850315901	0.274297874885773	precipitation	X1_Gabon_1	popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	0.143528238933845	0.885873010681171	precseason	X1_Gabon_1	popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
