Estimate	Std. Error	z value	Pr(>|z|)	var	inv	vars	converged
-0.7099	8.3489	-0.0850319140297252	0.932236018855274	(Intercept)	X1_Gabon_1	popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	1.16831640961172	0.242679158624975	popdens	X1_Gabon_1	popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	0.969471723482191	0.332309881825995	maxtemp	X1_Gabon_1	popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	-1.45106114920853	0.14676283354349	mintemp	X1_Gabon_1	popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	1.09321848962796	0.274297880825316	precipitation	X1_Gabon_1	popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	0.143528229923775	0.885873017796499	precseason	X1_Gabon_1	popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	-1.76293452547838	0.0779115331745804	tempseason	X1_Gabon_1	popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
-0.9	8.128	-0.110687082471733	0.911864489726093	(Intercept)	X1_Gabon_1	popdens + maxtemp + mintemp + precipitation + tempseason	TRUE
0	0	1.2705908971308	0.203874227024165	popdens	X1_Gabon_1	popdens + maxtemp + mintemp + precipitation + tempseason	TRUE
0	0	1.23801266257497	0.215711365678786	maxtemp	X1_Gabon_1	popdens + maxtemp + mintemp + precipitation + tempseason	TRUE
0	0	-1.58469106423965	0.11303654311574	mintemp	X1_Gabon_1	popdens + maxtemp + mintemp + precipitation + tempseason	TRUE
0	0	1.09092986911505	0.275303742862919	precipitation	X1_Gabon_1	popdens + maxtemp + mintemp + precipitation + tempseason	TRUE
0	0	-1.81033232548976	0.0702442670296357	tempseason	X1_Gabon_1	popdens + maxtemp + mintemp + precipitation + tempseason	TRUE
-0.747	8.604	-0.0868153086439416	0.930818319029735	(Intercept)	X1_Gabon_1	popdens + maxtemp + mintemp + tempseason	TRUE
0	0	1.075807149921	0.282013513942554	popdens	X1_Gabon_1	popdens + maxtemp + mintemp + tempseason	TRUE
0	0	1.05595501524927	0.290988767472958	maxtemp	X1_Gabon_1	popdens + maxtemp + mintemp + tempseason	TRUE
0	0	-1.3637116203966	0.172658345306231	mintemp	X1_Gabon_1	popdens + maxtemp + mintemp + tempseason	TRUE
0	0	-1.81089574395659	0.0701569915351762	tempseason	X1_Gabon_1	popdens + maxtemp + mintemp + tempseason	TRUE
7.7	4.6	1.676355895907	0.0936685023422024	(Intercept)	X1_Gabon_1	popdens + mintemp + tempseason	TRUE
0	0	0.560300445381281	0.575274523675954	popdens	X1_Gabon_1	popdens + mintemp + tempseason	TRUE
-0.3	0.22	-1.37174396645697	0.17014315623856	mintemp	X1_Gabon_1	popdens + mintemp + tempseason	TRUE
-0.021	0.0089	-2.36112203289825	0.0182197340021532	tempseason	X1_Gabon_1	popdens + mintemp + tempseason	TRUE
10	10	1.34100634449688	0.179918392710921	(Intercept)	X1_Gabon_1	mintemp + tempseason	TRUE
-0.32	0.27	-1.21195365663804	0.225530121003688	mintemp	X1_Gabon_1	mintemp + tempseason	TRUE
-0.021	0.011	-1.95767794441392	0.0502678148482078	tempseason	X1_Gabon_1	mintemp + tempseason	TRUE
1.55	1.07	1.4515146469017	0.146636606709504	(Intercept)	X1_Gabon_1	tempseason	TRUE
0	0	-1.95345720564203	0.0507654434053883	tempseason	X1_Gabon_1	tempseason	TRUE
-2.051	5.126	-0.400054151504228	0.689116632447213	(Intercept)	X1_global_1	popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	0.112401467305094	0.910505091960433	popdens	X1_global_1	popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	0.504391200819443	0.613986500162174	maxtemp	X1_global_1	popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	-0.631702244579424	0.527581461066477	mintemp	X1_global_1	popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	0.271435259399368	0.786056286501053	precipitation	X1_global_1	popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	-0.226631795075558	0.820710066604472	precseason	X1_global_1	popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	-0.800524871223364	0.423406759498079	tempseason	X1_global_1	popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
-1.91	4.956	-0.385305113833383	0.700011373190025	(Intercept)	X1_global_1	maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
