Estimate	Std. Error	z value	Pr(>|z|)	var	inv	vars	converged
0.9931	3.9597	0.250791552847358	0.801975272763694	(Intercept)	X1_Gabon_1	abslat + popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	-2.00959323254214	0.0444742581015009	abslat	X1_Gabon_1	abslat + popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	-0.0229956498087711	0.981653742982711	popdens	X1_Gabon_1	abslat + popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	0.67860267817649	0.497389645452594	maxtemp	X1_Gabon_1	abslat + popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	-1.39907043423839	0.161791862687003	mintemp	X1_Gabon_1	abslat + popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	-0.450317084546915	0.652481821833554	precipitation	X1_Gabon_1	abslat + popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	0.118202637411002	0.905907100258027	precseason	X1_Gabon_1	abslat + popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	-0.377916235970195	0.705492820799247	tempseason	X1_Gabon_1	abslat + popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
2.2	4.2	0.513433473163962	0.607648135801455	(Intercept)	X1_Gabon_1	abslat + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
-0.26	0.14	-1.87648310350254	0.0605889727004549	abslat	X1_Gabon_1	abslat + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0.136	0.215	0.631139352359709	0.527949412405177	maxtemp	X1_Gabon_1	abslat + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
-0.31	0.2	-1.58079533795107	0.113924840861991	mintemp	X1_Gabon_1	abslat + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
-4e-04	0.001	-0.413661557915661	0.679121984084427	precipitation	X1_Gabon_1	abslat + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
-0.003	0.02	-0.163931470651972	0.869785092228456	precseason	X1_Gabon_1	abslat + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
-0.0037	0.0078	-0.477916989932591	0.632709288342642	tempseason	X1_Gabon_1	abslat + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
1.06	3.57	0.297585918186137	0.76601922356678	(Intercept)	X1_Gabon_1	abslat + maxtemp + mintemp + precipitation + tempseason	TRUE
-0.274	0.137	-1.99471797336085	0.0460736479815712	abslat	X1_Gabon_1	abslat + maxtemp + mintemp + precipitation + tempseason	TRUE
0.159	0.179	0.887287994925452	0.374923867285842	maxtemp	X1_Gabon_1	abslat + maxtemp + mintemp + precipitation + tempseason	TRUE
-0.276	0.187	-1.47377818510188	0.140541323732123	mintemp	X1_Gabon_1	abslat + maxtemp + mintemp + precipitation + tempseason	TRUE
0	0	-0.549944492018669	0.582357446400044	precipitation	X1_Gabon_1	abslat + maxtemp + mintemp + precipitation + tempseason	TRUE
-0.0031	0.0068	-0.461802161397006	0.644223200771233	tempseason	X1_Gabon_1	abslat + maxtemp + mintemp + precipitation + tempseason	TRUE
4.5	3.9	1.15666603084838	0.247408833235217	(Intercept)	X1_Gabon_1	abslat + maxtemp + mintemp + precipitation	TRUE
-0.33	0.13	-2.42370827993624	0.0153629408335009	abslat	X1_Gabon_1	abslat + maxtemp + mintemp + precipitation	TRUE
0.09	0.16	0.548313582246962	0.58347660283842	maxtemp	X1_Gabon_1	abslat + maxtemp + mintemp + precipitation	TRUE
-0.3	0.16	-1.80745134741163	0.070691934060351	mintemp	X1_Gabon_1	abslat + maxtemp + mintemp + precipitation	TRUE
-5e-04	9e-04	-0.547343926713908	0.584142470760503	precipitation	X1_Gabon_1	abslat + maxtemp + mintemp + precipitation	TRUE
2	3.3	0.600475349485276	0.548189484397534	(Intercept)	X1_Gabon_1	abslat + maxtemp + mintemp	TRUE
-0.28	0.125	-2.23633963189678	0.0253295322513158	abslat	X1_Gabon_1	abslat + maxtemp + mintemp	TRUE
0.099	0.153	0.650374964244788	0.515450044957208	maxtemp	X1_Gabon_1	abslat + maxtemp + mintemp	TRUE
-0.28	0.16	-1.72021051733205	0.085394181941391	mintemp	X1_Gabon_1	abslat + maxtemp + mintemp	TRUE
3.6	2.6	1.40035314807547	0.161407592675027	(Intercept)	X1_Gabon_1	abslat + mintemp	TRUE
-0.23	0.08	-3.09363495709526	0.00197720602886664	abslat	X1_Gabon_1	abslat + mintemp	TRUE
-0.24	0.13	-1.87708378681584	0.060506611167242	mintemp	X1_Gabon_1	abslat + mintemp	TRUE
-1.6	0.7	-2.40718611285296	0.0160759749524909	(Intercept)	X1_Gabon_1	abslat	TRUE
-0.14	0.08	-1.77407327043816	0.0760510314511465	abslat	X1_Gabon_1	abslat	TRUE
-1.076	4.025	-0.267268737906073	0.78926225503801	(Intercept)	X1_global_1	abslat + popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	-1.66209417106657	0.0964938941383498	abslat	X1_global_1	abslat + popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	-0.328203670794532	0.742757672544719	popdens	X1_global_1	abslat + popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	0.532577708082302	0.594325936671202	maxtemp	X1_global_1	abslat + popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	-0.904103914042062	0.365940303152483	mintemp	X1_global_1	abslat + popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	-0.399158333708866	0.689776542197445	precipitation	X1_global_1	abslat + popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	0.174779020258055	0.861253273986887	precseason	X1_global_1	abslat + popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	0.175760401157095	0.860482180567142	tempseason	X1_global_1	abslat + popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
-1.304	3.831	-0.340431022958233	0.733531959398222	(Intercept)	X1_global_1	abslat + popdens + maxtemp + mintemp + precipitation + tempseason	TRUE
0	0	-1.66274102012907	0.0963642873027891	abslat	X1_global_1	abslat + popdens + maxtemp + mintemp + precipitation + tempseason	TRUE
0	0	-0.292058682467201	0.770241756677846	popdens	X1_global_1	abslat + popdens + maxtemp + mintemp + precipitation + tempseason	TRUE
0	0	0.802325592718833	0.422364641881026	maxtemp	X1_global_1	abslat + popdens + maxtemp + mintemp + precipitation + tempseason	TRUE
0	0	-0.960745741625894	0.336680025965462	mintemp	X1_global_1	abslat + popdens + maxtemp + mintemp + precipitation + tempseason	TRUE
0	0	-0.482333644725578	0.62956895034357	precipitation	X1_global_1	abslat + popdens + maxtemp + mintemp + precipitation + tempseason	TRUE
0	0	0.104327028557608	0.916909829258396	tempseason	X1_global_1	abslat + popdens + maxtemp + mintemp + precipitation + tempseason	TRUE
-1.317	3.81	-0.345584831347831	0.729654747213485	(Intercept)	X1_global_1	abslat + popdens + maxtemp + mintemp + precipitation	TRUE
0	0	-1.75092718617549	0.0799584532039819	abslat	X1_global_1	abslat + popdens + maxtemp + mintemp + precipitation	TRUE
0	0	-0.284881723778939	0.775734758373274	popdens	X1_global_1	abslat + popdens + maxtemp + mintemp + precipitation	TRUE
0	0	1.00192285111043	0.3163808551617	maxtemp	X1_global_1	abslat + popdens + maxtemp + mintemp + precipitation	TRUE
0	0	-1.33269201106129	0.182632896032276	mintemp	X1_global_1	abslat + popdens + maxtemp + mintemp + precipitation	TRUE
0	0	-0.489631334883707	0.624394798950862	precipitation	X1_global_1	abslat + popdens + maxtemp + mintemp + precipitation	TRUE
-1.4507	3.7847	-0.383304513041515	0.701493993410672	(Intercept)	X1_global_1	abslat + maxtemp + mintemp + precipitation	TRUE
0	0	-1.81368795648668	0.0697257802907395	abslat	X1_global_1	abslat + maxtemp + mintemp + precipitation	TRUE
0	0	1.06391091053825	0.287369059943243	maxtemp	X1_global_1	abslat + maxtemp + mintemp + precipitation	TRUE
0	0	-1.44068021441749	0.149675047088407	mintemp	X1_global_1	abslat + maxtemp + mintemp + precipitation	TRUE
0	0	-0.461850600132598	0.644188461643222	precipitation	X1_global_1	abslat + maxtemp + mintemp + precipitation	TRUE
-2.429	3.181	-0.763752600144262	0.445014688453699	(Intercept)	X1_global_1	abslat + maxtemp + mintemp	TRUE
0	0	-1.84017004346866	0.0657432765254492	abslat	X1_global_1	abslat + maxtemp + mintemp	TRUE
0	0	1.34637562744741	0.178181407013965	maxtemp	X1_global_1	abslat + maxtemp + mintemp	TRUE
0	0	-1.67821222332707	0.0933056763682005	mintemp	X1_global_1	abslat + maxtemp + mintemp	TRUE
0.793	1.992	0.398312869417884	0.690399575215317	(Intercept)	X1_global_1	abslat + mintemp	TRUE
0	0	-1.59136574958122	0.11152728770295	abslat	X1_global_1	abslat + mintemp	TRUE
-0.1121	0.0925	-1.21114380244766	0.225840296333518	mintemp	X1_global_1	abslat + mintemp	TRUE
-1.5522	0.589	-2.6355025348044	0.00840127982964797	(Intercept)	X1_global_1	abslat	TRUE
0	0	-1.01257028836193	0.311265457608143	abslat	X1_global_1	abslat	TRUE
-4.523	8.761	-0.516225892006801	0.605696648507849	(Intercept)	X1_PuertoRico_1	abslat + popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	0.955840000690753	0.339153075678656	abslat	X1_PuertoRico_1	abslat + popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	-0.587655032837335	0.556763864000458	popdens	X1_PuertoRico_1	abslat + popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	0.13196083022766	0.895015273692333	maxtemp	X1_PuertoRico_1	abslat + popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	-0.185795971186794	0.852604764052569	mintemp	X1_PuertoRico_1	abslat + popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	0.531522410894545	0.595056815497701	precipitation	X1_PuertoRico_1	abslat + popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	-0.254888935802606	0.798808882046234	precseason	X1_PuertoRico_1	abslat + popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	-0.750285010309929	0.453083068555257	tempseason	X1_PuertoRico_1	abslat + popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
-3.787	6.5172	-0.581078085994865	0.56118782723864	(Intercept)	X1_PuertoRico_1	abslat + popdens + mintemp + precipitation + precseason + tempseason	TRUE
0	0	0.97651444357854	0.328809593864581	abslat	X1_PuertoRico_1	abslat + popdens + mintemp + precipitation + precseason + tempseason	TRUE
0	0	-0.581093617084568	0.561177360295001	popdens	X1_PuertoRico_1	abslat + popdens + mintemp + precipitation + precseason + tempseason	TRUE
0	0	-0.132861699473189	0.894302757692226	mintemp	X1_PuertoRico_1	abslat + popdens + mintemp + precipitation + precseason + tempseason	TRUE
0	0	0.550416866772286	0.582033482564469	precipitation	X1_PuertoRico_1	abslat + popdens + mintemp + precipitation + precseason + tempseason	TRUE
0	0	-0.223209778839232	0.823372241514496	precseason	X1_PuertoRico_1	abslat + popdens + mintemp + precipitation + precseason + tempseason	TRUE
0	0	-0.735550287248984	0.462004425856756	tempseason	X1_PuertoRico_1	abslat + popdens + mintemp + precipitation + precseason + tempseason	TRUE
0	0	-1.15466473155657	0.248227747471867	(Intercept)	X1_PuertoRico_1	abslat + popdens + precipitation + precseason + tempseason	TRUE
0	0	0.988674177924941	0.322822580556561	abslat	X1_PuertoRico_1	abslat + popdens + precipitation + precseason + tempseason	TRUE
0	0	-0.588774244252357	0.556012725538197	popdens	X1_PuertoRico_1	abslat + popdens + precipitation + precseason + tempseason	TRUE
0	0	0.584598382224125	0.558817795741606	precipitation	X1_PuertoRico_1	abslat + popdens + precipitation + precseason + tempseason	TRUE
0	0	-0.220363230116906	0.825588279666612	precseason	X1_PuertoRico_1	abslat + popdens + precipitation + precseason + tempseason	TRUE
0	0	-0.82089288119325	0.411707286323995	tempseason	X1_PuertoRico_1	abslat + popdens + precipitation + precseason + tempseason	TRUE
-5.079	2.9674	-1.71163399645487	0.0869641391288453	(Intercept)	X1_PuertoRico_1	abslat + popdens + precipitation + tempseason	TRUE
0	0	1.09446791167165	0.273749813275928	abslat	X1_PuertoRico_1	abslat + popdens + precipitation + tempseason	TRUE
0	0	-0.608961419969204	0.542550011324974	popdens	X1_PuertoRico_1	abslat + popdens + precipitation + tempseason	TRUE
0	0	0.719840975288384	0.471622913079487	precipitation	X1_PuertoRico_1	abslat + popdens + precipitation + tempseason	TRUE
0	0	-0.902564665671705	0.366756986724138	tempseason	X1_PuertoRico_1	abslat + popdens + precipitation + tempseason	TRUE
-5.8477	3.0185	-1.93727818989338	0.0527113468293496	(Intercept)	X1_PuertoRico_1	abslat + precipitation + tempseason	TRUE
0	0	1.16056594090657	0.24581846298032	abslat	X1_PuertoRico_1	abslat + precipitation + tempseason	TRUE
0	0	0.800910982301596	0.423183181767478	precipitation	X1_PuertoRico_1	abslat + precipitation + tempseason	TRUE
0	0	-0.878287238176729	0.379787859633666	tempseason	X1_PuertoRico_1	abslat + precipitation + tempseason	TRUE
-3.8797	1.5191	-2.55390077216829	0.0106523609102064	(Intercept)	X1_PuertoRico_1	abslat + tempseason	TRUE
0	0	1.24961790513802	0.21143915922242	abslat	X1_PuertoRico_1	abslat + tempseason	TRUE
0	0	-1.08298579173857	0.278814729632565	tempseason	X1_PuertoRico_1	abslat + tempseason	TRUE
-3.78	1.22	-3.09451022873013	0.00197138136906879	(Intercept)	X1_PuertoRico_1	abslat	TRUE
-0.011	0.062	-0.174426673547711	0.861530153164372	abslat	X1_PuertoRico_1	abslat	TRUE
