"lon"	"lat"	"sites"	"operator"
-119.7871247	36.7377981	"fresno, california"	"debug"
-66.590149	18.220833	"puerto rico"	"debug"
103.819836	1.352083	"singapore"	"debug"
145.7709529	-16.9203476	"cairns, australia"	"WMP"
109.1981337	12.3372157	"vinh luong, vietnam"	"WMP"
-75.5658153	6.2476376	"medellin"	"WMP"
-43.1728965	-22.9068467	"rio de janeiro"	"WMP"
-110.3127531	24.1426408	"la paz, mexico"	"WMP"
-149.4260421	-17.6509195	"tahiti"	"WMP"
178.065032	-17.713371	"fiji"	"WMP"
-157.3768317	1.8368976	"kiribati"	"WMP"
165.618042	-20.904305	"new caledonia"	"WMP"
110.3694896	-7.7955798	"yogyakarta"	"WMP"
32.290275	1.373333	"uganda"	"TM"
-1.561593	12.238333	"burkina faso"	"TM"
