"lon"	"lat"	"country"
100.992541	15.870032	"Thailand"
121.774017	12.879721	"Philippines"
108.277199	14.058324	"Vietnam"
80.771797	7.873054	"Sri Lanka"
69.345116	30.375321	"Pakistan"
35.243322	38.963745	"Turkey"
113.921327	-0.789275	"Indonesia"
120.960515	23.69781	"Taiwan"
-61.370976	15.414999	"Dominica"
-66.590149	18.220833	"Puerto Rico"
-64.896335	18.335765	"USVI"
-61.222503	10.691803	"Trinidad"
45.079162	23.885942	"Saudi Arabia"
-95.712891	37.09024	"USA"
133.775136	-25.274398	"Australia"
-149.406843	-17.679742	"French Polynesia"
-102.552784	23.634501	"Mexico"
-74.297333	4.570868	"Colombia"
-51.92528	-14.235004	"Brazil"
-63.616672	-38.416097	"Argentina"
-14.452362	14.497401	"Senegal"
-1.023194	7.946527	"Ghana"
11.609444	-0.803689	"Gabon"
8.675277	9.081999	"Nigeria"
-1.561593	12.238333	"Burkina Faso"
12.354722	7.369722	"Cameroon"
17.873887	-11.202692	"Angola"
32.290275	1.373333	"Uganda"
37.906193	-0.023559	"Kenya"
22.937506	-30.559482	"South Africa"
