Hap	freq	resisthap	count	cumfreq
H001	0.309	FALSE	657	0
H002	0.186	TRUE	396	0.186
H003	0.119	TRUE	253	0.305
H004	0.083	TRUE	176	0.388
H005	0.05	TRUE	106	0.438
H006	0.047	TRUE	100	0.485
H007	0.046	TRUE	98	0.531
H008	0.035	TRUE	74	0.566
H009	0.017	TRUE	36	0.583
H010	0.016	FALSE	33	0.599
H011	0.013	FALSE	28	0.612
H012	0.012	FALSE	25	0.624
H013	0.008	TRUE	16	0.632
H014	0.007	TRUE	15	0.639
H015	0.007	TRUE	15	0.646
H016	0.006	TRUE	13	0.652
H017	0.004	FALSE	8	0.656
H018	0.004	TRUE	8	0.66
H019	0.004	TRUE	8	0.664
H020	0.003	TRUE	7	0.667
H021	0.003	TRUE	7	0.67
H022	0.002	TRUE	4	0.672
H023	0.002	TRUE	4	0.674
H024	0.001	TRUE	3	0.675
H025	0.001	TRUE	3	0.676
H026	0.001	TRUE	2	0.677
H027	0.001	TRUE	2	0.678
H028	0.001	TRUE	2	0.679
H029	0.001	TRUE	2	0.68
H030	0.001	TRUE	2	0.681
H031	0.001	TRUE	2	0.682
H032	0.001	TRUE	2	0.683
H033	0.001	TRUE	2	0.684
H034	0	FALSE	1	0.684
H035	0	TRUE	1	0.684
H036	0	TRUE	1	0.684
H037	0	TRUE	1	0.684
H038	0	TRUE	1	0.684
H039	0	TRUE	1	0.684
H040	0	TRUE	1	0.684
H041	0	TRUE	1	0.684
H042	0	TRUE	1	0.684
H043	0	TRUE	1	0.684
H044	0	TRUE	1	0.684
H045	0	TRUE	1	0.684
H046	0	TRUE	1	0.684
H047	0	TRUE	1	0.684
H048	0	TRUE	1	0.684
