country	risk
Burkina Faso	Frequent/Continuous
Djibouti	Frequent/Continuous
Eritrea	Frequent/Continuous
Ethiopia	Frequent/Continuous
Kenya	Frequent/Continuous
Somalia	Frequent/Continuous
Sudan	Frequent/Continuous
United Republic of Tanzania	Frequent/Continuous
Bangladesh	Frequent/Continuous
Bhutan	Frequent/Continuous
Brunei Darussalam	Frequent/Continuous
Cambodia	Frequent/Continuous
Indonesia	Frequent/Continuous
Lao People’s Democratic Republic	Frequent/Continuous
Malaysia	Frequent/Continuous
Myanmar	Frequent/Continuous
Nepal	Frequent/Continuous
Philippines	Frequent/Continuous
Sri Lanka	Frequent/Continuous
Taiwan	Frequent/Continuous
Thailand	Frequent/Continuous
Timor-Leste	Frequent/Continuous
Vietnam	Frequent/Continuous
Yemen	Frequent/Continuous
Antigua and Barbuda	Frequent/Continuous
Aruba	Frequent/Continuous
Bahamas	Frequent/Continuous
Barbados	Frequent/Continuous
Belize	Frequent/Continuous
Bolivia	Frequent/Continuous
Brazil	Frequent/Continuous
British Virgin Islands	Frequent/Continuous
Cayman Islands	Frequent/Continuous
Chile	Frequent/Continuous
Colombia	Frequent/Continuous
Costa Rica	Frequent/Continuous
Cuba	Frequent/Continuous
Dominica	Frequent/Continuous
Dominican Republic	Frequent/Continuous
El Salvador	Frequent/Continuous
French Guiana	Frequent/Continuous
Grenada	Frequent/Continuous
Guadeloupe	Frequent/Continuous
Guatemala	Frequent/Continuous
Guyana	Frequent/Continuous
Haiti	Frequent/Continuous
Honduras	Frequent/Continuous
Jamaica	Frequent/Continuous
Martinique	Frequent/Continuous
Netherlands Antilles	Frequent/Continuous
Nicaragua	Frequent/Continuous
Panama	Frequent/Continuous
Paraguay	Frequent/Continuous
Puerto Rico	Frequent/Continuous
Saint Kitts and Nevis	Frequent/Continuous
Saint Lucia	Frequent/Continuous
Saint Vincent and the Grenadines	Frequent/Continuous
Suriname	Frequent/Continuous
Trinidad and Tobago	Frequent/Continuous
Turks and Caicos	Frequent/Continuous
United States Virgin Islands	Frequent/Continuous
Venezuela	Frequent/Continuous
American Samoa	Frequent/Continuous
Australia	Frequent/Continuous
Cook Islands	Frequent/Continuous
Fiji	Frequent/Continuous
French Polynesia	Frequent/Continuous
Maldives	Frequent/Continuous
Marshall Islands	Frequent/Continuous
Micronesia (Federated States of)	Frequent/Continuous
New Caledonia	Frequent/Continuous
Palau	Frequent/Continuous
Papua New Guinea	Frequent/Continuous
Solomon Islands	Frequent/Continuous
Tonga	Frequent/Continuous
China	Risk varies based on region. See map.
India	Risk varies based on region. See map.
Pakistan	Risk varies based on region. See map.
Saudi Arabia	Risk varies based on region. See map.
Argentina	Risk varies based on region. See map.
Mexico	Risk varies based on region. See map.
Peru	Risk varies based on region. See map.
Angola	Sporadic/Uncertain
Benin	Sporadic/Uncertain
Burundi	Sporadic/Uncertain
Cameroon	Sporadic/Uncertain
Cape Verde	Sporadic/Uncertain
Central African Republic	Sporadic/Uncertain
Chad	Sporadic/Uncertain
Comoros	Sporadic/Uncertain
Congo	Sporadic/Uncertain
Congo (Democratic republic of)	Sporadic/Uncertain
Cote d’Ivoire	Sporadic/Uncertain
Egypt	Sporadic/Uncertain
Equatorial Guinea	Sporadic/Uncertain
Gabon	Sporadic/Uncertain
Gambia	Sporadic/Uncertain
Ghana	Sporadic/Uncertain
Guinea	Sporadic/Uncertain
Guinea-Bissau	Sporadic/Uncertain
Liberia	Sporadic/Uncertain
Madagascar	Sporadic/Uncertain
Malawi	Sporadic/Uncertain
Mali	Sporadic/Uncertain
Mauritius	Sporadic/Uncertain
Mayotte	Sporadic/Uncertain
Mozambique	Sporadic/Uncertain
Namibia	Sporadic/Uncertain
Niger	Sporadic/Uncertain
Nigeria	Sporadic/Uncertain
Reunion	Sporadic/Uncertain
Rwanda	Sporadic/Uncertain
Sao Tome and Principe	Sporadic/Uncertain
Senegal	Sporadic/Uncertain
Seychelles	Sporadic/Uncertain
Sierra Leone	Sporadic/Uncertain
South Sudan	Sporadic/Uncertain
Togo	Sporadic/Uncertain
Uganda	Sporadic/Uncertain
Zambia	Sporadic/Uncertain
Zimbabwe	Sporadic/Uncertain
Afghanistan	Sporadic/Uncertain
Aksai Chin	Sporadic/Uncertain
Hong Kong	Sporadic/Uncertain
Iran (Islamic Republic of)	Sporadic/Uncertain
Jammu and Kashmir	Sporadic/Uncertain
Japan	Sporadic/Uncertain
Macau	Sporadic/Uncertain
Oman	Sporadic/Uncertain
Republic of Korea	Sporadic/Uncertain
Singapore	Sporadic/Uncertain
Croatia	Sporadic/Uncertain
France	Sporadic/Uncertain
Madeira Islands	Sporadic/Uncertain
Anguilla	Sporadic/Uncertain
Bermuda	Sporadic/Uncertain
Ecuador	Sporadic/Uncertain
Montserrat	Sporadic/Uncertain
Uruguay	Sporadic/Uncertain
Kiribati	Sporadic/Uncertain
Nauru	Sporadic/Uncertain
Niue	Sporadic/Uncertain
Northern Mariana Islands	Sporadic/Uncertain
Samoa	Sporadic/Uncertain
Tokelau	Sporadic/Uncertain
Tuvalu	Sporadic/Uncertain
Vanuatu	Sporadic/Uncertain
Wallis and Futuna	Sporadic/Uncertain
