region	label	country	N	V1016G	V1016I	F1534C	all
East Africa	KayaBomu	Kenya	19	0	0	0	0.428571428571429
East Africa	Rabai 2009	Kenya	16	0	0	0.1	0.4
East Africa	Ganda	Kenya	9	0	0	0	0.357142857142857
East Africa	Rabai 2017	Kenya	18	0	0	0	0.294117647058823
East Africa	Kwale	Kenya	19	0	0	0	0.289473684210526
East Africa	Arabuko	Kenya	19	0	0	0	0.176470588235294
East Africa	Virembe	Kenya	20	0	0	0	0.166666666666667
East Africa	Kakamega	Kenya	19	0	0	0	0.0769230769230769
East Africa	Shimba Hills	Kenya	8	0	0	0	0
East Africa	Skukusa	South Africa	15	0	0	0	0.166666666666667
East Africa	Bundibugyo	Uganda	14	0	0	0	0.25
East Africa	Kichwamba	Uganda	11	0	0	0	0.25
East Africa	Entebbe	Uganda	12	0	0	0	0.166666666666667
West Africa	Luanda	Angola	17	0	0.944444444444444	0.444444444444444	1
West Africa	Ouagadougou	Burkina Faso	20	0	0.65	0.325	1
West Africa	Ouahigouya	Burkina Faso	16	0	0	0	0.321428571428571
West Africa	Yaounde	Cameroon	19	0	0	0	0.0555555555555556
West Africa	Franceville	Gabon	13	0	0	0	0.0833333333333333
West Africa	Libreville	Gabon	15	0	0	0	0.0769230769230769
West Africa	Lope Village	Gabon	15	0	0	0	0.0714285714285714
West Africa	La_Lope	Gabon	22	0	0	0	0.0526315789473684
West Africa	Kumasi	Ghana	20	0	0	0	0.675
West Africa	Kintampo	Ghana	19	0	0	0	0.382352941176471
West Africa	Boabeng Fiema	Ghana	2	0	0	0	0.25
West Africa	Awka	Nigeria	19	0.0263157894736842	0.0263157894736842	0.0263157894736842	0.236842105263158
West Africa	Ngoye	Senegal	20	0	0	0	0.25
West Africa	Bantata	Senegal	11	0	0	0	0.227272727272727
West Africa	Kedougou	Senegal	20	0	0	0	0.138888888888889
West Africa	Mindin	Senegal	20	0	0	0	0.131578947368421
West Africa	Dakar_Thies	Senegal	20	0	0	0	0.125
West Africa	PK10	Senegal	20	0	0	0	0.117647058823529
South America	El Dorado	Argentina	16	0	0.375	0.0833333333333333	0.75
South America	Paqueta	Brazil	17	0	0.733333333333333	0.966666666666667	1
South America	Lagarto	Brazil	20	0	0.525	0.6	0.95
South America	Palmas	Brazil	20	0	0.526315789473684	0.736842105263158	0.921052631578947
South America	Porto Velho	Brazil	19	0	0.157894736842105	0.842105263157895	0.921052631578947
South America	Maringa	Brazil	20	0	0.777777777777778	0.694444444444444	0.916666666666667
South America	Sao Luiz	Brazil	20	0	0.0833333333333333	0.722222222222222	0.861111111111111
South America	Patos de Minas	Brazil	20	0	0.611111111111111	0.638888888888889	0.805555555555556
South America	Manaus	Brazil	20	0	0.236842105263158	0.763157894736842	0.763157894736842
South America	Cuiaba	Brazil	20	0	0.525	0.625	0.725
South America	Santarem	Brazil	18	0.03125	0	0.65625	0.6875
South America	Passo Fundo	Brazil	20	0	0.394736842105263	0.421052631578947	0.68421052631579
South America	Jacobina	Brazil	20	0	0	0	0.59375
South America	Cali	Colombia	17	0	0.416666666666667	0.833333333333333	1
South America	Amacuzac	Mexico	23	0	0.705882352941177	0.970588235294118	0.970588235294118
Caribbean	Dominica_North	Dominica	5	0	1	1	1
Caribbean	Roseau	Dominica	20	0	1	0.85	1
Caribbean	Playa	Puerto Rico	16	0.03125	0.9375	0.9375	1
Caribbean	Ponce	Puerto Rico	16	0	0.961538461538462	1	1
Caribbean	Trinidad	Trinidad	20	0	1	0.95	1
Caribbean	St. Croix	USVI	20	0	1	0.805555555555556	1
North America	Clovis	USA	18	0	1	1	1
North America	Los Angeles	USA	20	0	0.625	1	1
North America	Miami	USA	19	0	0.933333333333333	0.966666666666667	1
North America	Roswell	USA	19	0	0.973684210526316	1	1
North America	New Orleans	USA	17	0	0.766666666666667	0.533333333333333	0.9
North America	Coachella Valley	USA	20	0.0263157894736842	0.789473684210526	0.789473684210526	0.894736842105263
North America	Las Cruces	USA	18	0	0.583333333333333	0.5	0.888888888888889
North America	Maricopa_County	USA	23	0	0.369565217391304	0.391304347826087	0.717391304347826
Middle East	Mecca	Saudi Arabia	20	0.366666666666667	0	0.766666666666667	1
Middle East	Jeddah	Saudi Arabia	25	0.428571428571429	0	0.547619047619048	0.976190476190476
Asia	Sulawesi Urban	Indonesia	18	0.944444444444444	0.0277777777777778	0.0277777777777778	1
Asia	Sulawesi Forest	Indonesia	16	0.84375	0	0.125	0.96875
Asia	Karachi	Pakistan	16	0	0.0357142857142857	0.142857142857143	0.785714285714286
Asia	Cebu_City	Philippines	24	0.552631578947368	0	0	0.947368421052632
Asia	Jaffna	Sri Lanka	16	0.208333333333333	0	0.166666666666667	0.75
Asia	Taiwan	Taiwan	19	0.214285714285714	0.0714285714285714	0.25	0.535714285714286
Asia	Bangkok	Thailand	20	0.138888888888889	0	0.888888888888889	0.944444444444444
Asia	Pazar	Turkey	20	0	0	0	0.833333333333333
Asia	HoChiMin	Vietnam	20	0	0	0.05	0.075
Pacific	Cairns	Australia	19	0	0	0	0.409090909090909
Pacific	Tahiti	French Polynesia	20	0	0.333333333333333	0.222222222222222	0.722222222222222
