sample	search	pop	label	region
Debug016_aegypti_New_Orleans_USA_U_10	New_Orleans	New_Orleans	New Orleans	North America
Debug016_aegypti_New_Orleans_USA_U_12	New_Orleans	New_Orleans	New Orleans	North America
Debug016_aegypti_New_Orleans_USA_U_14	New_Orleans	New_Orleans	New Orleans	North America
Debug016_aegypti_New_Orleans_USA_U_16	New_Orleans	New_Orleans	New Orleans	North America
Debug016_aegypti_New_Orleans_USA_U_17	New_Orleans	New_Orleans	New Orleans	North America
Debug016_aegypti_New_Orleans_USA_U_19	New_Orleans	New_Orleans	New Orleans	North America
Debug016_aegypti_New_Orleans_USA_U_20	New_Orleans	New_Orleans	New Orleans	North America
Debug016_aegypti_New_Orleans_USA_U_2	New_Orleans	New_Orleans	New Orleans	North America
Debug016_aegypti_New_Orleans_USA_U_3	New_Orleans	New_Orleans	New Orleans	North America
Debug016_aegypti_New_Orleans_USA_U_4	New_Orleans	New_Orleans	New Orleans	North America
Debug016_aegypti_New_Orleans_USA_U_5	New_Orleans	New_Orleans	New Orleans	North America
Debug016_aegypti_New_Orleans_USA_U_6	New_Orleans	New_Orleans	New Orleans	North America
Debug016_aegypti_New_Orleans_USA_U_7	New_Orleans	New_Orleans	New Orleans	North America
Debug016_aegypti_New_Orleans_USA_U_8	New_Orleans	New_Orleans	New Orleans	North America
Debug016_aegypti_New_Orleans_USA_U_9	New_Orleans	New_Orleans	New Orleans	North America
Debug015_aegypti_Santarem_Brazil_L_10	Santarem	Santarem	Santarem	North America
Debug015_aegypti_Santarem_Brazil_L_11	Santarem	Santarem	Santarem	North America
Debug015_aegypti_Santarem_Brazil_L_12	Santarem	Santarem	Santarem	North America
Debug015_aegypti_Santarem_Brazil_L_13	Santarem	Santarem	Santarem	North America
Debug015_aegypti_Santarem_Brazil_L_15	Santarem	Santarem	Santarem	North America
Debug015_aegypti_Santarem_Brazil_L_17	Santarem	Santarem	Santarem	North America
Debug015_aegypti_Santarem_Brazil_L_18	Santarem	Santarem	Santarem	North America
