country	n	contgroup	region
Brazil	217	Americas	South America
USA	145	Americas	North America
Kenya	132	Eafrica	East Africa
Senegal	101	Wafrica	West Africa
Gabon	64	Wafrica	West Africa
Philippines	53	Asia	Asia
Ghana	40	Wafrica	West Africa
BurkinaFaso	36	Wafrica	West Africa
SaudiArabia	36	Asia	Middle East
PuertoRico	29	Americas	Caribean
Uganda	26	Eafrica	East Africa
Trinidad	20	Americas	Caribean
Vietnam	20	Asia	Asia
Nigeria	19	Wafrica	West Africa
Thailand	18	Asia	Asia
USVirginIslands	18	Americas	Caribean
Mexico	17	Americas	South America
Dominica	15	Americas	Caribean
Pakistan	14	Asia	Asia
Taiwan	14	Asia	Asia
Angola	13	Wafrica	West Africa
Cameroon	13	Wafrica	West Africa
Argentina	12	Americas	South America
SriLanka	12	Asia	Asia
Turkey	12	Asia	Asia
Australia	11	Asia	Pacific
SouthAfrica	11	Safrica	East Africa
Tahiti	9	Asia	Pacific
Colombia	6	Americas	South America
