pop1	pop2	pop3
Kedougou	ElDorado	Bangkok
Kedougou	ElDorado	CebuCity
Kedougou	ElDorado	HoChiMin
Kedougou	ElDorado	Jaffna
Kedougou	ElDorado	Pakistan
Kedougou	ElDorado	Pazar
Kedougou	ElDorado	RuralSulawesi
Kedougou	ElDorado	UrbanSulawesi
Kedougou	ElDorado	Taiwan
Kedougou	ElDorado	NorthDominica
Kedougou	ElDorado	Roseau
Kedougou	ElDorado	Playa
Kedougou	ElDorado	Ponce
Kedougou	ElDorado	Croix
Kedougou	ElDorado	Trinidad
Kedougou	ElDorado	Jeddah
Kedougou	ElDorado	Mecca
Kedougou	ElDorado	Clovis
Kedougou	ElDorado	Coachella
Kedougou	ElDorado	LasCruces
Kedougou	ElDorado	LosAngeles
Kedougou	ElDorado	MaricopaCounty
Kedougou	ElDorado	Miami
Kedougou	ElDorado	NewOrleans
Kedougou	ElDorado	Roswell
Kedougou	ElDorado	Cairns
Kedougou	ElDorado	Tahiti
Kedougou	ElDorado	Amacuzac
Kedougou	ElDorado	Cali
Kedougou	ElDorado	Cuiaba
Kedougou	ElDorado	Franceville
Kedougou	ElDorado	Jacobina
Kedougou	ElDorado	Lagarto
Kedougou	ElDorado	Manaus
Kedougou	ElDorado	Maringa
Kedougou	ElDorado	Palmas
Kedougou	ElDorado	Paqueta
Kedougou	ElDorado	PassoFundo
Kedougou	ElDorado	PatosdeMinas
Kedougou	ElDorado	PortoVelho
Kedougou	ElDorado	Santarem
Kedougou	ElDorado	SaoLuiz
Kedougou	ElDorado	Thies
Kedougou	ElDorado	Bantata
Kedougou	ElDorado	Kedougou
Kedougou	ElDorado	Mindin
Kedougou	ElDorado	Ngoye
Kedougou	ElDorado	PK10
Kedougou	ElDorado	Kintampo
Kedougou	ElDorado	Kumasi
Kedougou	ElDorado	Boabeng
Kedougou	ElDorado	ElDorado
Kedougou	ElDorado	Awka
Kedougou	ElDorado	Ouaga
Kedougou	ElDorado	Ouahigouya
Kedougou	ElDorado	LaLope
Kedougou	ElDorado	Libreville
Kedougou	ElDorado	LopeVillage
Kedougou	ElDorado	YAOMO
Kedougou	ElDorado	Cuanda
Kedougou	ElDorado	Bundibugyo
Kedougou	ElDorado	Entebbe
Kedougou	ElDorado	Kichwamba
Kedougou	ElDorado	Kakamega
Kedougou	ElDorado	Virhembe
Kedougou	ElDorado	Arabuko
Kedougou	ElDorado	Ganda
Kedougou	ElDorado	KayaBomu
Kedougou	ElDorado	Kwale
Kedougou	ElDorado	Rabai2009
Kedougou	ElDorado	Rabai2017
Kedougou	ElDorado	ShimbaHills
Kedougou	ElDorado	Skukusa
