pop1	pop2	pop3
Kedougou	NewOrleans	Bangkok
Kedougou	NewOrleans	CebuCity
Kedougou	NewOrleans	Bantata
Kedougou	NewOrleans	Jaffna
Kedougou	NewOrleans	Pakistan
Kedougou	NewOrleans	Pazar
Kedougou	NewOrleans	RuralSulawesi
Kedougou	NewOrleans	UrbanSulawesi
Kedougou	NewOrleans	Taiwan
Kedougou	NewOrleans	NorthDominica
Kedougou	NewOrleans	Roseau
Kedougou	NewOrleans	Playa
Kedougou	NewOrleans	Ponce
Kedougou	NewOrleans	Croix
Kedougou	NewOrleans	Trinidad
Kedougou	NewOrleans	Jeddah
Kedougou	NewOrleans	Mecca
Kedougou	NewOrleans	Clovis
Kedougou	NewOrleans	Coachella
Kedougou	NewOrleans	LasCruces
Kedougou	NewOrleans	LosAngeles
Kedougou	NewOrleans	MaricopaCounty
Kedougou	NewOrleans	Miami
Kedougou	NewOrleans	NewOrleans
Kedougou	NewOrleans	Roswell
Kedougou	NewOrleans	Cairns
Kedougou	NewOrleans	Tahiti
Kedougou	NewOrleans	Amacuzac
Kedougou	NewOrleans	Cali
Kedougou	NewOrleans	Cuiaba
Kedougou	NewOrleans	ElDorado
Kedougou	NewOrleans	Jacobina
Kedougou	NewOrleans	Lagarto
Kedougou	NewOrleans	Manaus
Kedougou	NewOrleans	Maringa
Kedougou	NewOrleans	Palmas
Kedougou	NewOrleans	Paqueta
Kedougou	NewOrleans	PassoFundo
Kedougou	NewOrleans	PatosdeMinas
Kedougou	NewOrleans	PortoVelho
Kedougou	NewOrleans	Santarem
Kedougou	NewOrleans	SaoLuiz
Kedougou	NewOrleans	Thies
Kedougou	NewOrleans	Kedougou
Kedougou	NewOrleans	HoChiMin
Kedougou	NewOrleans	Mindin
Kedougou	NewOrleans	Ngoye
Kedougou	NewOrleans	PK10
Kedougou	NewOrleans	Kintampo
Kedougou	NewOrleans	Kumasi
Kedougou	NewOrleans	Boabeng
Kedougou	NewOrleans	Franceville
Kedougou	NewOrleans	Awka
Kedougou	NewOrleans	Ouaga
Kedougou	NewOrleans	Ouahigouya
Kedougou	NewOrleans	LaLope
Kedougou	NewOrleans	Libreville
Kedougou	NewOrleans	LopeVillage
Kedougou	NewOrleans	YAOMO
Kedougou	NewOrleans	Cuanda
Kedougou	NewOrleans	Bundibugyo
Kedougou	NewOrleans	Entebbe
Kedougou	NewOrleans	Kichwamba
Kedougou	NewOrleans	Kakamega
Kedougou	NewOrleans	Virhembe
Kedougou	NewOrleans	Arabuko
Kedougou	NewOrleans	Ganda
Kedougou	NewOrleans	KayaBomu
Kedougou	NewOrleans	Kwale
Kedougou	NewOrleans	Rabai2009
Kedougou	NewOrleans	Rabai2017
Kedougou	NewOrleans	ShimbaHills
Kedougou	NewOrleans	Skukusa
