 217 Americas	Brazil
 145 Americas	USA
 101 Wafrica	Senegal
  97 Eafrica	Kenya
  53 Asia	Philippines
  42 	Gabon
  40 Wafrica	Ghana
  36 Asia	Saudi Arabia
  36 Wafrica	Burkina Faso
  35 	Kenya
  29 Americas	Puerto Rico
  26 Eafrica	Uganda
  22 Wafrica	Gabon
  20 Americas	Trinidad
  20 Asia	Vietnam
  19 Wafrica	Nigeria
  18 Americas	US Virgin Islands
  18 Asia	Thailand
  17 Americas	Mexico
  15 Americas	Dominica
  14 Asia	Pakistan
  14 Asia	Taiwan
  13 Wafrica	Angola
  13 Wafrica	Cameroon
  12 Americas	Argentina
  12 Asia	Sri Lanka
  12 Asia	Turkey
  11 Asia	Australia
  11 Safrica	South Africa
   8 Asia	Tahiti
   6 Americas	Colombia
   1 Asia	Tahiti
   1 contgroup	country
