inv	block	chrom	pos
1_BurkinaFaso_1_3	1:1.57e+08	1	1.57e+08
1_BurkinaFaso_1_3	1:151500000	1	151500000
1_BurkinaFaso_1_3	1:150500000	1	150500000
1_BurkinaFaso_1_3	1:157500000	1	157500000
1_BurkinaFaso_1_3	1:158500000	1	158500000
1_BurkinaFaso_1_3	1:1.6e+08	1	1.6e+08
1_BurkinaFaso_1_3	1:1.48e+08	1	1.48e+08
1_BurkinaFaso_1_3	1:148500000	1	148500000
1_BurkinaFaso_1_3	1:154500000	1	154500000
1_BurkinaFaso_1_3	1:1.58e+08	1	1.58e+08
1_BurkinaFaso_1_3	1:1.55e+08	1	1.55e+08
1_BurkinaFaso_1_3	1:1.54e+08	1	1.54e+08
1_BurkinaFaso_1_3	1:1.56e+08	1	1.56e+08
1_BurkinaFaso_1_3	1:149500000	1	149500000
1_BurkinaFaso_1_3	1:1.49e+08	1	1.49e+08
1_BurkinaFaso_1_3	1:1.5e+08	1	1.5e+08
1_BurkinaFaso_1_3	1:155500000	1	155500000
1_BurkinaFaso_1_3	1:156500000	1	156500000
1_BurkinaFaso_1_3	1:153500000	1	153500000
1_BurkinaFaso_1_3	1:1.51e+08	1	1.51e+08
1_BurkinaFaso_1_3	1:1.59e+08	1	1.59e+08
1_BurkinaFaso_1_3	1:1.52e+08	1	1.52e+08
1_BurkinaFaso_2_1	1:1.52e+08	1	1.52e+08
1_BurkinaFaso_2_1	1:1.49e+08	1	1.49e+08
1_BurkinaFaso_2_1	1:148500000	1	148500000
1_BurkinaFaso_2_1	1:1.48e+08	1	1.48e+08
1_BurkinaFaso_2_1	1:1.51e+08	1	1.51e+08
1_BurkinaFaso_2_1	1:151500000	1	151500000
1_BurkinaFaso_2_1	1:1.5e+08	1	1.5e+08
1_BurkinaFaso_2_1	1:149500000	1	149500000
1_BurkinaFaso_2_1	1:150500000	1	150500000
