inv	block	chrom	pos
1_Gabon_1_1	1:6e+06	1	6e+06
1_Gabon_1_1	1:1.1e+07	1	1.1e+07
1_Gabon_1_1	1:6500000	1	6500000
1_Gabon_1_1	1:10500000	1	10500000
1_Gabon_1_1	1:7500000	1	7500000
1_Gabon_1_1	1:1.6e+07	1	1.6e+07
1_Gabon_1_1	1:8500000	1	8500000
1_Gabon_1_1	1:8e+06	1	8e+06
1_Gabon_1_1	1:2e+06	1	2e+06
1_Gabon_1_1	1:1.5e+07	1	1.5e+07
1_Gabon_1_1	1:1e+07	1	1e+07
1_Gabon_1_1	1:1.4e+07	1	1.4e+07
1_Gabon_1_1	1:4500000	1	4500000
1_Gabon_1_1	1:1.2e+07	1	1.2e+07
1_Gabon_1_1	1:1.3e+07	1	1.3e+07
1_Gabon_1_1	1:11500000	1	11500000
1_Gabon_1_1	1:12500000	1	12500000
1_Gabon_1_1	1:13500000	1	13500000
1_Gabon_1_1	1:14500000	1	14500000
1_Gabon_1_1	1:9500000	1	9500000
1_Gabon_1_1	1:2500000	1	2500000
1_Gabon_1_1	1:5e+06	1	5e+06
1_Gabon_1_1	1:4e+06	1	4e+06
1_Gabon_1_1	1:5500000	1	5500000
1_Gabon_1_1	1:3e+06	1	3e+06
1_Gabon_1_1	1:16500000	1	16500000
1_Gabon_1_1	1:9e+06	1	9e+06
1_Gabon_1_1	1:1500000	1	1500000
1_Gabon_1_1	1:3500000	1	3500000
1_Gabon_1_1	1:7e+06	1	7e+06
1_Gabon_1_1	1:15500000	1	15500000
1_Gabon_2_2	1:166500000	1	166500000
1_Gabon_2_2	1:163500000	1	163500000
1_Gabon_2_2	1:1.66e+08	1	1.66e+08
1_Gabon_2_2	1:165500000	1	165500000
1_Gabon_2_2	1:1.64e+08	1	1.64e+08
1_Gabon_2_2	1:164500000	1	164500000
1_Gabon_2_2	1:1.67e+08	1	1.67e+08
1_Gabon_2_2	1:1.63e+08	1	1.63e+08
1_Gabon_2_2	1:162500000	1	162500000
1_Gabon_2_2	1:1.68e+08	1	1.68e+08
1_Gabon_2_2	1:167500000	1	167500000
1_Gabon_2_2	1:168500000	1	168500000
1_Gabon_2_2	1:1.62e+08	1	1.62e+08
1_Gabon_2_2	1:1.65e+08	1	1.65e+08
