# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_stop_gained
AAEL008354	AAEL008354	AAEL008354-RA	protein_coding	0	2	991	6	985	2	0	0
AAEL008354	AAEL008354	AAEL008354-RB	protein_coding	0	3	990	6	984	3	1	0
AAEL008354	AAEL008354	AAEL008354-RC	protein_coding	0	3	990	6	984	3	1	0
AAEL008354	AAEL008354	AAEL008354-RD	protein_coding	0	2	991	6	985	2	0	0
AAEL008354	AAEL008354	AAEL008354-RE	protein_coding	0	3	990	6	984	3	1	0
AAEL008354	AAEL008354	AAEL008354-RF	protein_coding	0	3	990	6	984	3	1	0
AAEL008354	AAEL008354	AAEL008354-RG	protein_coding	0	3	990	6	984	3	1	0
AAEL008354	AAEL008354	AAEL008354-RH	protein_coding	0	3	990	6	984	3	1	0
AAEL008354	AAEL008354	AAEL008354-RI	protein_coding	0	3	990	6	984	3	1	0
AAEL008354	AAEL008354	AAEL008354-RJ	protein_coding	0	2	991	6	985	2	0	0
AAEL008354	AAEL008354	AAEL008354-RK	protein_coding	0	3	990	6	984	3	1	0
AAEL008354	AAEL008354	AAEL008354-RL	protein_coding	3	6	984	0	984	6	1	3
