inv	block	chrom	pos
1_PuertoRico_1_1	1:1.73e+08	1	1.73e+08
1_PuertoRico_1_1	1:1.74e+08	1	1.74e+08
1_PuertoRico_1_1	1:1.63e+08	1	1.63e+08
1_PuertoRico_1_1	1:1.65e+08	1	1.65e+08
1_PuertoRico_1_1	1:171500000	1	171500000
1_PuertoRico_1_1	1:172500000	1	172500000
1_PuertoRico_1_1	1:1.75e+08	1	1.75e+08
1_PuertoRico_1_1	1:170500000	1	170500000
1_PuertoRico_1_1	1:1.72e+08	1	1.72e+08
1_PuertoRico_1_1	1:162500000	1	162500000
1_PuertoRico_1_1	1:173500000	1	173500000
1_PuertoRico_1_1	1:174500000	1	174500000
1_PuertoRico_2_1	1:2.51e+08	1	2.51e+08
1_PuertoRico_2_1	1:2.5e+08	1	2.5e+08
1_PuertoRico_2_1	1:2.49e+08	1	2.49e+08
1_PuertoRico_2_1	1:248500000	1	248500000
1_PuertoRico_2_1	1:249500000	1	249500000
1_PuertoRico_2_1	1:250500000	1	250500000
1_PuertoRico_2_1	1:251500000	1	251500000
1_PuertoRico_3_1	1:1.07e+08	1	1.07e+08
1_PuertoRico_3_1	1:1.08e+08	1	1.08e+08
1_PuertoRico_3_1	1:1.09e+08	1	1.09e+08
1_PuertoRico_3_1	1:107500000	1	107500000
1_PuertoRico_3_1	1:108500000	1	108500000
