country	chrom	start	end	r2samp
USA	1	0	99999	0.0069724200293421745
USA	1	100000	199999	0.012178046628832817
USA	1	200000	299999	0.0037538688629865646
USA	1	300000	399999	0.004125058185309172
USA	1	400000	499999	0.003481445834040642
USA	1	500000	599999	0.003259246237576008
USA	1	600000	699999	0.0041145149152725935
USA	1	700000	799999	0.001377410371787846
USA	1	800000	899999	0.003986065741628408
USA	1	900000	999999	0.0029052388854324818
USA	1	1000000	1099999	0.0053172369953244925
USA	1	1100000	1199999	0.00385579327121377
USA	1	1200000	1299999	0.0038095859345048666
USA	1	1300000	1399999	0.002560636028647423
USA	1	1400000	1499999	0.002328781643882394
USA	1	1500000	1599999	0.003232615999877453
USA	1	1600000	1699999	0.00422440399415791
USA	1	1700000	1799999	0.0032223414164036512
USA	1	1800000	1899999	0.002620373386889696
USA	1	1900000	1999999	0.0031317174434661865
USA	1	2000000	2099999	0.003436426166445017
USA	1	2100000	2199999	0.0024752661120146513
USA	1	2200000	2299999	0.002755102002993226
USA	1	2300000	2399999	0.0025644791312515736
USA	1	2400000	2499999	0.0018219297635369003
USA	1	2500000	2599999	0.002181940944865346
USA	1	2600000	2699999	0.002880530431866646
USA	1	2700000	2799999	0.0034130015410482883
USA	1	2800000	2899999	0.0031905430369079113
USA	1	2900000	2999999	0.004539006855338812
USA	1	3000000	3099999	0.003999344073235989
USA	1	3100000	3199999	0.0028985620010644197
USA	1	3200000	3299999	0.003031779546290636
USA	1	3300000	3399999	0.0032950807362794876
USA	1	3400000	3499999	0.0040597375482320786
USA	1	3500000	3599999	0.0048034279607236385
USA	1	3600000	3699999	0.0037645642878487706
USA	1	3700000	3799999	0.005548411048948765
USA	1	3800000	3899999	0.0038643209263682365
USA	1	3900000	3999999	0.00340580428019166
USA	1	4000000	4099999	0.002361895516514778
USA	1	4100000	4199999	0.0023721493780612946
USA	1	4200000	4299999	0.002856538165360689
USA	1	4300000	4399999	0.0024746349081397057
USA	1	4400000	4499999	0.004074060823768377
USA	1	4500000	4599999	0.003894628258422017
USA	1	4600000	4699999	0.003704088507220149
USA	1	4700000	4799999	0.002921652514487505
USA	1	4800000	4899999	0.002856538165360689
USA	1	4900000	4999999	0.0028929284308105707
USA	1	5000000	5099999	0.004474512301385403
USA	1	5100000	5199999	0.0030178981833159924
