cluster	au	bp	meandist	lowdist	size	valid	d	mean_wss	mean_bss	prop_bss	angle	admixed	f3	f3se
118	0.993763102269881	0.0703483093654002	0.612764961793514	TRUE	5e+06	FALSE	0.61	0.68	3.046	0.785	0	NA	NA	NA
120	0.98961437332066	0.168443619461161	0.675122577080439	TRUE	4500000	FALSE	0.05	1.7	8.157	0.742	0	NA	NA	NA
128	0.98260098103249	0.032508668055848	0.574255488316572	TRUE	6e+06	TRUE	0.14	0.14	4.978	0.965	-20	FALSE	0.0543257764108243	0.00269771621412368
131	0.995227897680747	0.0226687226362723	0.714900448339304	TRUE	4e+06	FALSE	0.46	1.15	5.898	0.717	0	NA	NA	NA
137	0.999347116287951	0.0359666061438567	0.585868559605844	TRUE	6500000	TRUE	0.14	0.15	5.397	0.966	-20	FALSE	0.0536401869852844	0.00263548262519661
142	0.998518858194226	0.000997936995839362	0.610338858313652	TRUE	4e+06	FALSE	1.69	1.05	3.412	0.759	0	NA	NA	NA
143	0.960839711317767	0.0861291411372293	0.642084811548696	TRUE	8e+06	FALSE	0.81	0.62	5.973	0.859	0	NA	NA	NA
150	0.980420299053791	0.232663316639995	0.720583787472342	TRUE	5500000	FALSE	0.37	1.98	9.559	0.732	0	NA	NA	NA
157	0.97249595052787	0.0201062435259877	0.738865893501258	TRUE	4500000	FALSE	0.75	1.22	5.929	0.725	0	NA	NA	NA
163	0.954005078343775	0.065835245884864	0.665997653649475	TRUE	9500000	TRUE	0.17	0.16	3.925	0.95	-40	FALSE	0.0173578697585734	0.00174774825364769
186	0.989713027534891	0.0841391317415258	0.634967416752075	TRUE	3500000	FALSE	1.85	0.91	2.005	0.781	0	NA	NA	NA
217	0.962575547433839	0.00903973731134639	0.665577248737839	TRUE	3500000	FALSE	0.8	0.87	7.086	0.711	0	NA	NA	NA
219	0.992984106723876	0.0370874567696915	0.577872096493851	TRUE	2500000	TRUE	0.15	0.13	2.243	0.951	-10	FALSE	0.000308888427299088	0.00134500898720175
22	0.997221449492711	0.786646100584985	0.380892454151054	TRUE	2500000	FALSE	0.96	0.15	1.498	0.91	0	NA	NA	NA
221	0.982955852568436	0.00747720784219733	0.605317970768605	TRUE	7e+06	TRUE	0.14	0.17	5.594	0.962	-20	FALSE	0.0522473845479159	0.00261269346838009
226	0.991016969185108	0.0539478075055916	0.737331817978188	TRUE	4500000	FALSE	0.84	0.89	6.215	0.751	0	NA	NA	NA
231	0.996654675092586	0.0331418612734062	0.773179840872641	TRUE	5e+06	FALSE	1.97	1.4	3.822	0.726	0	NA	NA	NA
232	0.973813854991094	0.00185778652462338	0.63184508894448	TRUE	7500000	TRUE	0.13	0.17	5.683	0.962	-20	FALSE	0.0520172930448654	0.00253532001813853
256	0.999971887925119	0.0162572240166863	0.78268064690934	TRUE	6500000	FALSE	0.68	1.63	8.295	0.729	0	NA	NA	NA
257	0.978145889781869	0.112018824308199	0.695823648408017	TRUE	3e+06	FALSE	0.56	0.65	6.88	0.74	0	NA	NA	NA
307	0.997870399826604	0.099822992845648	0.745180454126371	TRUE	6e+06	FALSE	0.63	2.03	10.15	0.73	0	NA	NA	NA
311	0.990983876763871	0.0256163015039685	0.651929545459073	TRUE	4e+06	FALSE	1.97	0.47	4.951	0.781	0	NA	NA	NA
331	0.99163557271658	0.0270987807444976	0.754487323270376	TRUE	5e+06	FALSE	0.84	1.76	5.649	0.723	0	NA	NA	NA
49	0.958128972332574	0.111015077288685	0.574287217278297	TRUE	2500000	FALSE	0.79	1.37	4.236	0.737	0	NA	NA	NA
55	0.969936748397301	0.0368263229987482	0.51089443957434	TRUE	4e+06	FALSE	0.63	0.52	9.199	0.838	0	NA	NA	NA
58	0.996587403843011	0.769356278199953	0.566668103108914	TRUE	5e+06	TRUE	0.03	0.25	8.723	0.952	-5	TRUE	-0.0076265518809062	0.00142787096540499
75	0.989674512705129	0.0814667817951021	0.58573640686953	TRUE	2500000	FALSE	0.07	0.67	4.555	0.734	0	NA	NA	NA
90	0.97051714813989	0.317343915735084	0.464381904143066	TRUE	2500000	FALSE	1.27	0.27	2.156	0.844	0	NA	NA	NA
93	0.970551292199431	0.374489780998012	0.491142242281458	TRUE	2500000	FALSE	0.6	0.22	1.62	0.883	0	NA	NA	NA
95	0.997632224810282	0.169537573059483	0.531905386788983	TRUE	2500000	TRUE	0.05	0.02	0.412	0.962	-30	FALSE	0.00447154589270415	0.000719727004168042
