1_Gabon_1_1	1_PuertoRico_3_1	1_BurkinaFaso_2_1	1_BurkinaFaso_1_3	1_Uganda_3_1	1_Gabon_2_2	1_Uganda_1_2	1_Ghana_1_1	1_PuertoRico_1_1	1_PuertoRico_2_1	1_Senegal_1_2	1_Uganda_2_2
1_Gabon_1_1	NA	0.00843	0.0202	0.0684	0.0697	0.00257	0.0137	0.00464	NA	0.00971	0.0111	0.0545
1_PuertoRico_3_1	0.00843	NA	0.00521	0.0154	0.00689	0.00299	0.0107	0.00684	NA	0.0047	0.00428	0.0119
1_BurkinaFaso_2_1	0.0202	0.00521	NA	0.466	0.38	0.035	0.0381	0.0497	NA	0.00348	0.000652	0.0183
1_BurkinaFaso_1_3	0.0684	0.0154	0.466	NA	0.717	0.0923	0.0096	0.122	NA	0.00634	0.00693	0.0314
1_Uganda_3_1	0.0697	0.00689	0.38	0.717	NA	0.037	0.00291	0.067	NA	0.00595	0.00238	0.0292
1_Gabon_2_2	0.00257	0.00299	0.035	0.0923	0.037	NA	0.0602	0.627	NA	0.00112	0.0102	0.00376
1_Uganda_1_2	0.0137	0.0107	0.0381	0.0096	0.00291	0.0602	NA	0.0631	NA	0.00595	0.0128	0.00191
1_Ghana_1_1	0.00464	0.00684	0.0497	0.122	0.067	0.627	0.0631	NA	NA	0.00251	0.00946	0.00252
1_PuertoRico_1_1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1_PuertoRico_2_1	0.00971	0.0047	0.00348	0.00634	0.00595	0.00112	0.00595	0.00251	NA	NA	0.00364	0.00477
1_Senegal_1_2	0.0111	0.00428	0.000652	0.00693	0.00238	0.0102	0.0128	0.00946	NA	0.00364	NA	0.00605
1_Uganda_2_2	0.0545	0.0119	0.0183	0.0314	0.0292	0.00376	0.00191	0.00252	NA	0.00477	0.00605	NA
