inv	block	chrom	pos
2_Senegal_1_1	2:3.15e+08	2	3.15e+08
2_Senegal_1_1	2:3.08e+08	2	3.08e+08
2_Senegal_1_1	2:3.09e+08	2	3.09e+08
2_Senegal_1_1	2:309500000	2	309500000
2_Senegal_1_1	2:3.14e+08	2	3.14e+08
2_Senegal_1_1	2:3.11e+08	2	3.11e+08
2_Senegal_1_1	2:313500000	2	313500000
2_Senegal_1_1	2:311500000	2	311500000
2_Senegal_1_1	2:3.1e+08	2	3.1e+08
2_Senegal_1_1	2:308500000	2	308500000
2_Senegal_1_1	2:306500000	2	306500000
2_Senegal_1_1	2:316500000	2	316500000
2_Senegal_1_1	2:3.16e+08	2	3.16e+08
2_Senegal_1_1	2:3.07e+08	2	3.07e+08
2_Senegal_1_1	2:315500000	2	315500000
2_Senegal_1_1	2:3.12e+08	2	3.12e+08
2_Senegal_1_1	2:3.13e+08	2	3.13e+08
2_Senegal_1_1	2:314500000	2	314500000
2_Senegal_1_1	2:307500000	2	307500000
2_Senegal_1_1	2:310500000	2	310500000
2_Senegal_1_1	2:312500000	2	312500000
2_Senegal_2_1	2:3.09e+08	2	3.09e+08
2_Senegal_2_1	2:313500000	2	313500000
2_Senegal_2_1	2:3.12e+08	2	3.12e+08
2_Senegal_2_1	2:3.11e+08	2	3.11e+08
2_Senegal_2_1	2:315500000	2	315500000
2_Senegal_2_1	2:3.16e+08	2	3.16e+08
2_Senegal_2_1	2:3.14e+08	2	3.14e+08
2_Senegal_2_1	2:3.07e+08	2	3.07e+08
2_Senegal_2_1	2:3.13e+08	2	3.13e+08
2_Senegal_2_1	2:310500000	2	310500000
2_Senegal_2_1	2:3.15e+08	2	3.15e+08
2_Senegal_2_1	2:308500000	2	308500000
2_Senegal_2_1	2:307500000	2	307500000
2_Senegal_2_1	2:311500000	2	311500000
2_Senegal_2_1	2:3.1e+08	2	3.1e+08
2_Senegal_2_1	2:312500000	2	312500000
2_Senegal_2_1	2:3.08e+08	2	3.08e+08
2_Senegal_2_1	2:309500000	2	309500000
2_Senegal_2_1	2:314500000	2	314500000
2_Senegal_2_1	2:316500000	2	316500000
2_Senegal_3_1	2:3.07e+08	2	3.07e+08
2_Senegal_3_1	2:311500000	2	311500000
2_Senegal_3_1	2:3.12e+08	2	3.12e+08
2_Senegal_3_1	2:315500000	2	315500000
2_Senegal_3_1	2:3.13e+08	2	3.13e+08
2_Senegal_3_1	2:309500000	2	309500000
2_Senegal_3_1	2:3.09e+08	2	3.09e+08
2_Senegal_3_1	2:313500000	2	313500000
2_Senegal_3_1	2:316500000	2	316500000
2_Senegal_3_1	2:3.11e+08	2	3.11e+08
2_Senegal_3_1	2:3.14e+08	2	3.14e+08
2_Senegal_3_1	2:3.1e+08	2	3.1e+08
2_Senegal_3_1	2:310500000	2	310500000
2_Senegal_3_1	2:3.15e+08	2	3.15e+08
2_Senegal_3_1	2:314500000	2	314500000
2_Senegal_3_1	2:3.16e+08	2	3.16e+08
2_Senegal_3_1	2:312500000	2	312500000
2_Senegal_3_1	2:307500000	2	307500000
2_Senegal_4_1	2:3.11e+08	2	3.11e+08
2_Senegal_4_1	2:3.09e+08	2	3.09e+08
2_Senegal_4_1	2:3.13e+08	2	3.13e+08
2_Senegal_4_1	2:309500000	2	309500000
2_Senegal_4_1	2:3.14e+08	2	3.14e+08
2_Senegal_4_1	2:314500000	2	314500000
2_Senegal_4_1	2:3.12e+08	2	3.12e+08
2_Senegal_4_1	2:311500000	2	311500000
2_Senegal_4_1	2:315500000	2	315500000
2_Senegal_4_1	2:310500000	2	310500000
2_Senegal_4_1	2:312500000	2	312500000
2_Senegal_4_1	2:3.16e+08	2	3.16e+08
2_Senegal_4_1	2:316500000	2	316500000
2_Senegal_4_1	2:3.15e+08	2	3.15e+08
2_Senegal_4_1	2:3.1e+08	2	3.1e+08
2_Senegal_4_1	2:313500000	2	313500000
