inv	block	chrom	pos	region	id	cluster
144/88	1:1.3e+07	1	1.3e+07	BurkinaFaso	1_BurkinaFaso_144/88	1
144/88	1:1.6e+07	1	1.6e+07	BurkinaFaso	1_BurkinaFaso_144/88	1
144/88	1:8e+06	1	8e+06	BurkinaFaso	1_BurkinaFaso_144/88	1
144/88	1:7e+06	1	7e+06	BurkinaFaso	1_BurkinaFaso_144/88	1
144/88	1:2500000	1	2500000	BurkinaFaso	1_BurkinaFaso_144/88	1
144/88	1:14500000	1	14500000	BurkinaFaso	1_BurkinaFaso_144/88	1
144/88	1:11500000	1	11500000	BurkinaFaso	1_BurkinaFaso_144/88	1
144/88	1:5500000	1	5500000	BurkinaFaso	1_BurkinaFaso_144/88	1
144/88	1:7500000	1	7500000	BurkinaFaso	1_BurkinaFaso_144/88	1
144/88	1:8500000	1	8500000	BurkinaFaso	1_BurkinaFaso_144/88	1
144/88	1:9e+06	1	9e+06	BurkinaFaso	1_BurkinaFaso_144/88	1
144/88	1:2e+06	1	2e+06	BurkinaFaso	1_BurkinaFaso_144/88	1
144/88	1:1.2e+07	1	1.2e+07	BurkinaFaso	1_BurkinaFaso_144/88	1
144/88	1:3500000	1	3500000	BurkinaFaso	1_BurkinaFaso_144/88	1
144/88	1:16500000	1	16500000	BurkinaFaso	1_BurkinaFaso_144/88	1
144/88	1:4500000	1	4500000	BurkinaFaso	1_BurkinaFaso_144/88	1
144/88	1:5e+06	1	5e+06	BurkinaFaso	1_BurkinaFaso_144/88	1
144/88	1:4e+06	1	4e+06	BurkinaFaso	1_BurkinaFaso_144/88	1
144/88	1:12500000	1	12500000	BurkinaFaso	1_BurkinaFaso_144/88	1
144/88	1:15500000	1	15500000	BurkinaFaso	1_BurkinaFaso_144/88	1
144/88	1:1.1e+07	1	1.1e+07	BurkinaFaso	1_BurkinaFaso_144/88	1
144/88	1:10500000	1	10500000	BurkinaFaso	1_BurkinaFaso_144/88	1
144/88	1:3e+06	1	3e+06	BurkinaFaso	1_BurkinaFaso_144/88	1
144/88	1:6e+06	1	6e+06	BurkinaFaso	1_BurkinaFaso_144/88	1
144/88	1:1e+07	1	1e+07	BurkinaFaso	1_BurkinaFaso_144/88	1
144/88	1:13500000	1	13500000	BurkinaFaso	1_BurkinaFaso_144/88	1
144/88	1:6500000	1	6500000	BurkinaFaso	1_BurkinaFaso_144/88	1
144/88	1:1.5e+07	1	1.5e+07	BurkinaFaso	1_BurkinaFaso_144/88	1
144/88	1:1500000	1	1500000	BurkinaFaso	1_BurkinaFaso_144/88	1
144/88	1:1.4e+07	1	1.4e+07	BurkinaFaso	1_BurkinaFaso_144/88	1
144/88	1:9500000	1	9500000	BurkinaFaso	1_BurkinaFaso_144/88	1
85	1:1.1e+07	1	1.1e+07	BurkinaFaso	1_BurkinaFaso_85	1
85	1:9500000	1	9500000	BurkinaFaso	1_BurkinaFaso_85	1
85	1:1.4e+07	1	1.4e+07	BurkinaFaso	1_BurkinaFaso_85	1
85	1:1500000	1	1500000	BurkinaFaso	1_BurkinaFaso_85	1
85	1:16500000	1	16500000	BurkinaFaso	1_BurkinaFaso_85	1
85	1:1.2e+07	1	1.2e+07	BurkinaFaso	1_BurkinaFaso_85	1
85	1:14500000	1	14500000	BurkinaFaso	1_BurkinaFaso_85	1
85	1:15500000	1	15500000	BurkinaFaso	1_BurkinaFaso_85	1
85	1:5500000	1	5500000	BurkinaFaso	1_BurkinaFaso_85	1
85	1:10500000	1	10500000	BurkinaFaso	1_BurkinaFaso_85	1
85	1:1.6e+07	1	1.6e+07	BurkinaFaso	1_BurkinaFaso_85	1
85	1:7e+06	1	7e+06	BurkinaFaso	1_BurkinaFaso_85	1
85	1:5e+06	1	5e+06	BurkinaFaso	1_BurkinaFaso_85	1
85	1:11500000	1	11500000	BurkinaFaso	1_BurkinaFaso_85	1
85	1:1.5e+07	1	1.5e+07	BurkinaFaso	1_BurkinaFaso_85	1
85	1:6500000	1	6500000	BurkinaFaso	1_BurkinaFaso_85	1
85	1:6e+06	1	6e+06	BurkinaFaso	1_BurkinaFaso_85	1
85	1:13500000	1	13500000	BurkinaFaso	1_BurkinaFaso_85	1
85	1:2e+06	1	2e+06	BurkinaFaso	1_BurkinaFaso_85	1
85	1:7500000	1	7500000	BurkinaFaso	1_BurkinaFaso_85	1
85	1:1e+07	1	1e+07	BurkinaFaso	1_BurkinaFaso_85	1
94/55/42	1:1.67e+08	1	1.67e+08	BurkinaFaso	1_BurkinaFaso_94/55/42	11
94/55/42	1:164500000	1	164500000	BurkinaFaso	1_BurkinaFaso_94/55/42	11
94/55/42	1:168500000	1	168500000	BurkinaFaso	1_BurkinaFaso_94/55/42	11
94/55/42	1:1.69e+08	1	1.69e+08	BurkinaFaso	1_BurkinaFaso_94/55/42	11
94/55/42	1:1.68e+08	1	1.68e+08	BurkinaFaso	1_BurkinaFaso_94/55/42	11
94/55/42	1:169500000	1	169500000	BurkinaFaso	1_BurkinaFaso_94/55/42	11
94/55/42	1:163500000	1	163500000	BurkinaFaso	1_BurkinaFaso_94/55/42	11
94/55/42	1:1.66e+08	1	1.66e+08	BurkinaFaso	1_BurkinaFaso_94/55/42	11
94/55/42	1:1.64e+08	1	1.64e+08	BurkinaFaso	1_BurkinaFaso_94/55/42	11
94/55/42	1:1.63e+08	1	1.63e+08	BurkinaFaso	1_BurkinaFaso_94/55/42	11
94/55/42	1:1.65e+08	1	1.65e+08	BurkinaFaso	1_BurkinaFaso_94/55/42	11
94/55/42	1:165500000	1	165500000	BurkinaFaso	1_BurkinaFaso_94/55/42	11
94/55/42	1:167500000	1	167500000	BurkinaFaso	1_BurkinaFaso_94/55/42	11
94/55/42	1:1.62e+08	1	1.62e+08	BurkinaFaso	1_BurkinaFaso_94/55/42	11
94/55/42	1:166500000	1	166500000	BurkinaFaso	1_BurkinaFaso_94/55/42	11
94/55/42	1:1.7e+08	1	1.7e+08	BurkinaFaso	1_BurkinaFaso_94/55/42	11
116/109	1:1.57e+08	1	1.57e+08	BurkinaFaso	1_BurkinaFaso_116/109	10
116/109	1:1.56e+08	1	1.56e+08	BurkinaFaso	1_BurkinaFaso_116/109	10
116/109	1:155500000	1	155500000	BurkinaFaso	1_BurkinaFaso_116/109	10
116/109	1:1.54e+08	1	1.54e+08	BurkinaFaso	1_BurkinaFaso_116/109	10
116/109	1:156500000	1	156500000	BurkinaFaso	1_BurkinaFaso_116/109	10
116/109	1:154500000	1	154500000	BurkinaFaso	1_BurkinaFaso_116/109	10
116/109	1:153500000	1	153500000	BurkinaFaso	1_BurkinaFaso_116/109	10
116/109	1:1.58e+08	1	1.58e+08	BurkinaFaso	1_BurkinaFaso_116/109	10
116/109	1:1.6e+08	1	1.6e+08	BurkinaFaso	1_BurkinaFaso_116/109	10
116/109	1:1.59e+08	1	1.59e+08	BurkinaFaso	1_BurkinaFaso_116/109	10
116/109	1:157500000	1	157500000	BurkinaFaso	1_BurkinaFaso_116/109	10
116/109	1:1.55e+08	1	1.55e+08	BurkinaFaso	1_BurkinaFaso_116/109	10
116/109	1:158500000	1	158500000	BurkinaFaso	1_BurkinaFaso_116/109	10
38	1:306500000	1	306500000	BurkinaFaso	1_BurkinaFaso_38	20
38	1:305500000	1	305500000	BurkinaFaso	1_BurkinaFaso_38	20
38	1:303500000	1	303500000	BurkinaFaso	1_BurkinaFaso_38	20
38	1:301500000	1	301500000	BurkinaFaso	1_BurkinaFaso_38	20
