3_Senegal_11	3_Senegal_25	3_Senegal_20	3_Kenya_317	3_Gabon_61	3_Kenya_96	3_Brazil_38	3_Brazil_27	3_Kenya_335	3_Senegal_275	3_Senegal_28	3_BurkinaFaso_123	3_Ghana_97
3_Senegal_11	NA	0.6614967685849	0.624779176579213	0.0115460266950713	0.00282325031632041	0.00237383518864133	0.00258993895275492	0.00280381328586058	0.0498010064683131	0.0536439311549337	0.0417993946048576	0.039327272842395	0.0399598962169823
3_Senegal_25	0.6614967685849	NA	0.725644112616218	0.0107957272933216	0.0023997216904479	0.00226955434275777	0.00251475175440378	0.00270466444371065	0.0463141759792729	0.0488516888958249	0.0431144540358169	0.0406959199309807	0.0412996499631812
3_Senegal_20	0.624779176579213	0.725644112616218	NA	0.010866095577028	0.00247008775280731	0.00226905071715017	0.00253456952395048	0.0027178441388313	0.0470553150334503	0.049913050145999	0.04143635284893	0.0391161348987833	0.0397089818979804
3_Kenya_317	0.0115460266950713	0.0107957272933216	0.010866095577028	NA	0.180212919350811	0.175349212721464	0.176429943480712	0.174756851678406	0.0913994964512621	0.0952948324808716	0.0201854727234796	0.0192106215631347	0.0199955145916731
3_Gabon_61	0.00282325031632041	0.0023997216904479	0.00247008775280731	0.180212919350811	NA	0.790036617293069	0.749028582758272	0.726011860323942	0.0692431521140209	0.0528761984856766	0.0056781196922441	0.00591393826839666	0.00604257211947782
3_Kenya_96	0.00237383518864133	0.00226955434275777	0.00226905071715017	0.175349212721464	0.790036617293069	NA	0.869444794311895	0.849798012050867	0.0614997714963096	0.0437983414310303	0.00592695598006561	0.00651451627868498	0.00665022567898708
3_Brazil_38	0.00258993895275492	0.00251475175440378	0.00253456952395048	0.176429943480712	0.749028582758272	0.869444794311895	NA	0.807525465581026	0.0663666517476974	0.0485271708906313	0.00604613447920532	0.00649420946875891	0.00664638798507101
3_Brazil_27	0.00280381328586058	0.00270466444371065	0.0027178441388313	0.174756851678406	0.726011860323942	0.849798012050867	0.807525465581026	NA	0.069459001408017	0.0512547502213039	0.0061151118237648	0.00652415895697899	0.00665632221479807
3_Kenya_335	0.0498010064683131	0.0463141759792729	0.0470553150334503	0.0913994964512621	0.0692431521140209	0.0614997714963096	0.0663666517476974	0.069459001408017	NA	0.356569146365876	0.0766372614272126	0.0728476674719655	0.0745912457124741
3_Senegal_275	0.0536439311549337	0.0488516888958249	0.049913050145999	0.0952948324808716	0.0528761984856766	0.0437983414310303	0.0485271708906313	0.0512547502213039	0.356569146365876	NA	0.100018083607561	0.0947731779035647	0.0979050928329659
3_Senegal_28	0.0417993946048576	0.0431144540358169	0.04143635284893	0.0201854727234796	0.0056781196922441	0.00592695598006561	0.00604613447920532	0.0061151118237648	0.0766372614272126	0.100018083607561	NA	0.525081681150325	0.570464117089391
3_BurkinaFaso_123	0.039327272842395	0.0406959199309807	0.0391161348987833	0.0192106215631347	0.00591393826839666	0.00651451627868498	0.00649420946875891	0.00652415895697899	0.0728476674719655	0.0947731779035647	0.525081681150325	NA	0.556918717341286
3_Ghana_97	0.0399598962169823	0.0412996499631812	0.0397089818979804	0.0199955145916731	0.00604257211947782	0.00665022567898708	0.00664638798507101	0.00665632221479807	0.0745912457124741	0.0979050928329659	0.570464117089391	0.556918717341286	NA
