1_BurkinaFaso_144/88	1_Gabon_124	1_Ghana_147	1_Senegal_226/191/172	1_BurkinaFaso_85	1_Senegal_387	1_Gabon_174/129	1_Kenya_57	1_PuertoRico_15	1_Kenya_136/127	1_USA_122	1_Ghana_103	1_Kenya_186/82	1_USA_64	1_SaudiArabia_9	1_SaudiArabia_5	1_BurkinaFaso_98	1_Gabon_32	1_Senegal_308/291/217/193	1_Ghana_33/28	1_Uganda_205	1_Gabon_34	1_Senegal_152/15	1_BurkinaFaso_116/109	1_BurkinaFaso_6	1_Senegal_9/4	1_Uganda_24/13	1_Gabon_5	1_Ghana_86	1_Gabon_266	1_Uganda_261	1_BurkinaFaso_94/55/42	1_Uganda_48	1_Ghana_89	1_SaudiArabia_55/48	1_PuertoRico_13	1_Kenya_162	1_Kenya_239/215	1_PuertoRico_34	1_BurkinaFaso_28	1_BurkinaFaso_22/16/15	1_BurkinaFaso_38	1_Ghana_65/38	1_Senegal_46/29	1_Kenya_436/31	1_Uganda_81	1_Uganda_43	1_Kenya_17
1_BurkinaFaso_144/88	NA	0.619169604552282	0.671875350729908	0.584438886652072	0.691150758424167	0.00566435168523204	0.0206355971718878	0.00263117092959364	0.00316991012961385	0.00203138078518406	0.135623888181187	0.0935739320738106	0.0073762487401135	0.0187575514405705	0.0153510911331326	0.0154970547757431	0.0227772999559868	0.0406984288335801	0.0639220317808748	0.0153550179629967	0.0646056434735812	0.0794530549540873	0.0750128469406501	0.0768676873753873	0.0702812140202405	0.0649500217277945	0.0782008838108186	0.0787774733032566	0.0070789816495111	0.00437167976694879	NA	0.00484418263234767	NA	0.00347413420958397	0.0205122287780832	0.0134314994507591	0.0161684054408398	0.00875842205598564	0.00728694023982903	0.0618343390073038	0.0658631078915009	0.0660847744098485	0.0654674298546018	0.000961485191221637	0.0614644067147881	0.0622941196888585	0.0627626911498667	0.0648493706887285
1_Gabon_124	0.619169604552282	NA	0.613736834183762	0.533522561943464	0.617907839660018	0.00705643185582387	0.0221200986204748	0.00450130004444755	0.00355635100440025	0.00415017142822902	0.145089648616916	0.10015694303332	0.0116641921343967	0.0181638363418309	0.0145746604689181	0.0147191350108186	0.0225645312513973	0.0404981573559624	0.0647526156218395	0.0147079138120472	0.0648023779053504	0.0798978339850162	0.0755556417123059	0.0779230092280053	0.0707992527193372	0.0652157914828668	0.078697131936736	0.0790119974581928	0.00720111490336128	0.00455371612788624	NA	0.00481020783986304	NA	0.0032661412736809	0.0217426884291747	0.0144905581578537	0.0204889685397715	0.0120537025893547	0.00836485998425673	0.0456542768897869	0.0528093609463566	0.0528491859748954	0.0518869873505166	0.00266670366003131	0.0578891458455755	0.0596442092936479	0.0597953550543404	0.0611045605347275
1_Ghana_147	0.671875350729908	0.613736834183762	NA	0.580515756641165	0.670707370155786	0.00649327064275166	0.0201345269329967	0.00546470440294129	0.00372900809316694	0.00507440917340523	0.141046066844406	0.0961306174515278	0.0122809686308239	0.0189541458358726	0.0154828060997704	0.01563553243052	0.0229058990867803	0.0414205641881353	0.0644626513573326	0.0156336319372178	0.0660566461899645	0.0813140942078185	0.0748448465735014	0.0774516961015579	0.0703165674914505	0.0645692459109243	0.0797754539298787	0.0805450928800142	0.00666646541736467	0.00402879356545274	NA	0.00403858499021962	NA	0.00282723529800073	0.0217683920379517	0.014416119683559	0.0205783336332785	0.012459471527493	0.008161565211476	0.0526783418092107	0.0565383993264627	0.05665177396232	0.0559113288522446	0.000903928724705505	0.0654152647982326	0.0678478302334171	0.0680057803968021	0.0685166011165791
1_Senegal_226/191/172	0.584438886652072	0.533522561943464	0.580515756641165	NA	0.583810247016798	0.00542044654592929	0.018704065399097	0.00486976557443676	0.00344627709796968	0.00454879330982828	0.120829355341793	0.0835341266235726	0.0104390660849215	0.0147915935757791	0.0119536598588166	0.0120784630110931	0.0182639092426475	0.0330316853394574	0.0529038756854497	0.0120821629422615	0.0530651464045869	0.0650321579378405	0.0615565019083511	0.0638913415153044	0.0579052946252129	0.0530141311362342	0.0643228414455813	0.0643490804617335	0.00565083588819007	0.00336542029415894	NA	0.00355325203095912	NA	0.00256510716630808	0.0193322844534181	0.0130102805136165	0.0171920483998976	0.0108331425100609	0.00684293822160978	0.0468439784645935	0.0558686738238924	0.0560331126381758	0.055249336664937	0.000842981592449191	0.0565054826893586	0.0586413417747842	0.0584441684731948	0.0592536291004354
1_BurkinaFaso_85	0.691150758424167	0.617907839660018	0.670707370155786	0.583810247016798	NA	0.00573940547821679	0.0205243260206127	0.00264869828369621	0.00316056555379137	0.00204776828625871	0.134710392715824	0.0928989213288694	0.00735733907315193	0.0186186485619218	0.0152596211089749	0.0154046508951521	0.0226075048636939	0.0403141664787043	0.0635125560496063	0.0152574774504737	0.0640251887224395	0.0789404849796847	0.0746647515021154	0.0763181389257252	0.0698555086266714	0.0646296929101183	0.0776144708162238	0.0783019864158295	0.00710343661631072	0.00438198326576511	NA	0.00481222773885054	NA	0.00351141546692321	0.0204628697335517	0.0134188690179698	0.0160980918066297	0.00873803456467261	0.0071743706582553	0.0623684088592635	0.0662188099105269	0.0664457667856624	0.0658569562836686	0.000971658637035557	0.0611951668702336	0.0619998322419347	0.0624870494736737	0.0645764646365652
1_Senegal_387	0.00566435168523204	0.00705643185582387	0.00649327064275166	0.00542044654592929	0.00573940547821679	NA	0.00211812622635884	0.00168403392794488	0.00294741784424304	0.00164674564741061	0.0191224244650155	0.0139594546520051	0.00153750006703589	0.000458126514278912	0.0004874199731466	0.00048809740567581	0.000452410961177654	0.00155740431953755	0.00135242051675607	0.000515885838627614	0.00280079213089741	0.0038373295240337	0.00158355451758495	0.0016037855274441	0.00137149301960839	0.00125317401395044	0.00331454996088808	0.00388651281286424	0.000683236559317055	0.000897248435652164	NA	0.00195388465650588	NA	0.0021390387175356	0.00392621349695658	0.00406766481550363	0.00257144901363546	0.00217260504121281	0.000445721447486193	0.000681814660776876	0.00464889796257795	0.00460026988254948	0.00425695004729687	0.0157802114802992	0.00447371305718664	0.00327211823376846	0.00321324020169488	0.0047725268537687
1_Gabon_174/129	0.0206355971718878	0.0221200986204748	0.0201345269329967	0.018704065399097	0.0205243260206127	0.00211812622635884	NA	0.00325587766568356	0.00177516718438097	0.00333592337534536	0.0250948976062053	0.0187603247933241	0.0038946778382711	0.00257777663025001	0.00196078505156629	0.00200012867598048	0.00204296694855803	0.00452018597199099	0.00694635367129023	0.00178035846195846	0.00751220225342424	0.00920059735189466	0.00859475759906753	0.00826749004193718	0.0078953104302332	0.00737240306473491	0.00898616755602568	0.0097612568185271	0.0012564253358323	0.000697845256248038	NA	0.00071755416159904	NA	0.00107542203335858	0.00339439347305733	0.00274019583618182	0.00496327846494974	0.00400365812363074	0.0018728649219707	0.00445221913006358	0.0061948696509423	0.00619107057519601	0.00576400235915628	0.00604456190196321	0.00270052236526498	0.00164591761520203	0.0017356244094832	0.00306886488144804
1_Kenya_57	0.00263117092959364	0.00450130004444755	0.00546470440294129	0.00486976557443676	0.00264869828369621	0.00168403392794488	0.00325587766568356	NA	0.303403847157374	0.632354664519323	0.0965241291488447	0.049297320584737	0.470896109284067	0.00470949063223147	0.00351174194634131	0.00373422359782231	0.0174801104881388	0.01476766769948	0.0328146364115075	0.00670552585843762	0.0173933224454779	0.0152494010300267	0.0151120302854724	0.0304052447811907	0.0177719769019688	0.0114237294029535	0.0194315302400656	0.0135508157491347	0.00623731005784424	0.00362905858289019	NA	0.00507610494308387	NA	0.006500413045193	0.0270799625170839	0.0256722768114005	0.233576930480359	0.31210100833834	0.00372600228732804	0.00295953218969222	0.0069620651002646	0.00674796546066847	0.00616667761633316	0.00379714024230728	0.03112372644761	0.034514514300177	0.035763714528907	0.0294148687965476
1_PuertoRico_15	0.00316991012961385	0.00355635100440025	0.00372900809316694	0.00344627709796968	0.00316056555379137	0.00294741784424304	0.00177516718438097	0.303403847157374	NA	0.26120896423387	0.0345201215945756	0.017302753900259	0.151607644247221	0.00249280994155401	0.00174907192188824	0.00181052204323063	0.0049892544949426	0.00463689727384713	0.00962808932361285	0.00261580566297763	0.00554474015589746	0.00493482646345946	0.00519300153941609	0.00883946547158568	0.00587780130825618	0.00438499128583934	0.00597758407595423	0.00453741503959344	0.00216517866486009	0.00175848100981479	NA	0.00328410092336097	NA	0.00380383464400494	0.00872370587735891	0.00877177037309791	0.0725393997006013	0.0979064555694995	0.00173715534150896	0.00150995565875691	0.003884582423225	0.00382059808041266	0.00347942561791732	0.00215977105483279	0.00989997234657839	0.0108391682295568	0.0111778436865836	0.0093896246316537
1_Kenya_136/127	0.00203138078518406	0.00415017142822902	0.00507440917340523	0.00454879330982828	0.00204776828625871	0.00164674564741061	0.00333592337534536	0.632354664519323	0.26120896423387	NA	0.102828021188744	0.0554917494405137	0.544462487626795	0.00421344903451246	0.00279584816920764	0.00303117536782405	0.0202351436845027	0.0156405320413364	0.0356352242473146	0.00623282167004915	0.0174094856519055	0.0147946674927426	0.0152248785033212	0.0327698703436902	0.0185695053589253	0.0115369266047346	0.0196086641762214	0.012962164910878	0.00902407161192132	0.00527132489579349	NA	0.00418324416666668	NA	0.00621868262568159	0.0300693201594982	0.0274491400662669	0.263574032346831	0.353024530954978	0.00404179666583831	0.00270885380305081	0.00632144032572173	0.00605016594938727	0.00555477317020267	0.00328925889584468	0.0343589107218681	0.0374462525762642	0.0386392142773626	0.0323702862187941
