inv	block	chrom	pos
1_Uganda_1_2	1:1.68e+08	1	1.68e+08
1_Uganda_1_2	1:1.7e+08	1	1.7e+08
1_Uganda_1_2	1:168500000	1	168500000
1_Uganda_1_2	1:163500000	1	163500000
1_Uganda_1_2	1:1.65e+08	1	1.65e+08
1_Uganda_1_2	1:173500000	1	173500000
1_Uganda_1_2	1:1.73e+08	1	1.73e+08
1_Uganda_1_2	1:1.66e+08	1	1.66e+08
1_Uganda_1_2	1:1.69e+08	1	1.69e+08
1_Uganda_1_2	1:162500000	1	162500000
1_Uganda_1_2	1:1.62e+08	1	1.62e+08
1_Uganda_1_2	1:1.64e+08	1	1.64e+08
1_Uganda_1_2	1:165500000	1	165500000
1_Uganda_1_2	1:164500000	1	164500000
1_Uganda_1_2	1:167500000	1	167500000
1_Uganda_1_2	1:1.67e+08	1	1.67e+08
1_Uganda_1_2	1:166500000	1	166500000
1_Uganda_1_2	1:169500000	1	169500000
1_Uganda_1_2	1:1.63e+08	1	1.63e+08
1_Uganda_2_2	1:3.05e+08	1	3.05e+08
1_Uganda_2_2	1:305500000	1	305500000
1_Uganda_2_2	1:3.06e+08	1	3.06e+08
1_Uganda_2_2	1:304500000	1	304500000
1_Uganda_2_2	1:3.07e+08	1	3.07e+08
1_Uganda_2_2	1:3.04e+08	1	3.04e+08
1_Uganda_2_2	1:306500000	1	306500000
1_Uganda_2_2	1:3.03e+08	1	3.03e+08
1_Uganda_2_2	1:307500000	1	307500000
1_Uganda_2_2	1:303500000	1	303500000
1_Uganda_2_2	1:302500000	1	302500000
1_Uganda_3_1	1:1.57e+08	1	1.57e+08
1_Uganda_3_1	1:1.6e+08	1	1.6e+08
1_Uganda_3_1	1:158500000	1	158500000
1_Uganda_3_1	1:155500000	1	155500000
1_Uganda_3_1	1:157500000	1	157500000
1_Uganda_3_1	1:1.59e+08	1	1.59e+08
1_Uganda_3_1	1:1.58e+08	1	1.58e+08
1_Uganda_3_1	1:1.56e+08	1	1.56e+08
