#			(1=plausible,2=OK,3=Good)
chr	country	inversion	quality
1	Brazil	58	1
1	BurkinaFaso	107	2
1	BurkinaFaso	117	2
1	BurkinaFaso	123	2
1	BurkinaFaso	144	1
1	BurkinaFaso	149	2
1	BurkinaFaso	15	1
1	BurkinaFaso	158	2
1	BurkinaFaso	16	2
1	BurkinaFaso	172	1
1	BurkinaFaso	22	1
1	BurkinaFaso	248	2
1	BurkinaFaso	28	1
1	BurkinaFaso	38	1
1	BurkinaFaso	85	1
1	BurkinaFaso	88	1
1	Gabon	103	1
1	Gabon	124	1
1	Gabon	129	2
1	Gabon	201	1
1	Gabon	241	1
1	Gabon	416	1
1	Gabon	82	1
1	Ghana	103	1
1	Ghana	147	1
1	Ghana	28	2
1	Ghana	33	2
1	Ghana	38	1
1	Ghana	64	1
1	Ghana	65	1
1	Ghana	84	1
1	Ghana	86	2
1	Ghana	89	1
1	Kenya	17	1
1	Kenya	31	1
1	PuertoRico	15	2
1	PuertoRico	34	3
1	SaudiArabia	109	2
1	SaudiArabia	121	1
1	SaudiArabia	126	1
1	SaudiArabia	5	2
1	SaudiArabia	9	2
1	Senegal	117	3
1	Senegal	118	3
1	Senegal	120	3
1	Senegal	129	3
1	Senegal	161	3
1	Senegal	181	3
1	Senegal	194	3
1	Senegal	226	2
1	Senegal	29	2
1	Senegal	411	2
1	Senegal	46	2
1	Senegal	81	2
1	Trinidad	15	1
1	Uganda	13	3
1	Uganda	205	2
1	Uganda	24	2
1	Uganda	43	1
1	Uganda	81	1
1	USA	122	1
1	USA	191	1
1	USA	64	2
1	Vietnam	72	1
2	Brazil	140	1
2	Brazil	187	1
2	Brazil	64	2
2	Brazil	74	1
2	Brazil	92	1
2	Ghana	212	2
2	Philippines	40	2
2	Philippines	18	1
2	PuertoRico	57	1
2	SaudiArabia	17	1
2	SaudiArabia	7	1
2	SaudiArabia	85	1
2	SaudiArabia	98	1
2	Senegal	218	1
2	Senegal	231	1
2	Senegal	272	1
2	Senegal	305	1
2	Trinidad	152	2
2	Trinidad	231	1
2	Trinidad	278	2
2	Trinidad	353	2
2	Trinidad	307	1
2	Trinidad	292	2
2	Trinidad	282	2
2	Trinidad	386	1
2	Trinidad	370	1
2	Trinidad	498	1
2	Trinidad	507	2
2	Vietnam	17	1
3	Brazil	27	2
3	Brazil	38	2
3	BurkinaFaso	123	1
3	Gabon	61	1
3	Ghana	97	2
3	SaudiArabia	19	2
3	Senegal	11	1
3	Senegal	20	2
3	Senegal	25	1
3	Senegal	28	2
3	Trinidad	166	1
3	Trinidad	323	1
3	USA	140	1
3	USA	157	1
3	USA	82	1
3	Vietnam	11	2
3	Vietnam	23	2
3	Vietnam	29	1
3	Vietnam	35	2
3	Vietnam	36	2
3	Vietnam	64	2
