sample	101	104	127	13	15	204	251	275	34	43	79	94	97
Debug034_aegypti_Playa_Puerto_Rico_F_1	NA	NA	aa	NA	aa	NA	NA	NA	aa	NA	NA	NA	NA
Debug034_aegypti_Playa_Puerto_Rico_F_2	NA	NA	aa	NA	aa	NA	NA	NA	ab	NA	NA	NA	NA
Debug034_aegypti_Playa_Puerto_Rico_F_3	NA	NA	aa	NA	aa	NA	NA	NA	ab	NA	NA	NA	NA
Debug034_aegypti_Playa_Puerto_Rico_F_4	NA	NA	aa	NA	aa	NA	NA	NA	bb	NA	NA	NA	NA
Debug034_aegypti_Playa_Puerto_Rico_F_5	NA	NA	aa	NA	bb	NA	NA	NA	aa	NA	NA	NA	NA
Debug034_aegypti_Playa_Puerto_Rico_F_6	NA	NA	aa	NA	aa	NA	NA	NA	ab	NA	NA	NA	NA
Debug034_aegypti_Playa_Puerto_Rico_F_7	NA	NA	aa	NA	ab	NA	NA	NA	aa	NA	NA	NA	NA
Debug034_aegypti_Playa_Puerto_Rico_F_8	NA	NA	aa	NA	ab	NA	NA	NA	aa	NA	NA	NA	NA
Debug034_aegypti_Playa_Puerto_Rico_M_10	NA	NA	bb	NA	aa	NA	NA	NA	aa	NA	NA	NA	NA
Debug034_aegypti_Playa_Puerto_Rico_M_11	NA	NA	bb	NA	aa	NA	NA	NA	ab	NA	NA	NA	NA
Debug034_aegypti_Playa_Puerto_Rico_M_12	NA	NA	bb	NA	ab	NA	NA	NA	aa	NA	NA	NA	NA
Debug034_aegypti_Playa_Puerto_Rico_M_13	NA	NA	bb	NA	aa	NA	NA	NA	aa	NA	NA	NA	NA
Debug034_aegypti_Playa_Puerto_Rico_M_14	NA	NA	bb	NA	ab	NA	NA	NA	ab	NA	NA	NA	NA
Debug034_aegypti_Playa_Puerto_Rico_M_15	NA	NA	aa	NA	aa	NA	NA	NA	ab	NA	NA	NA	NA
Debug034_aegypti_Playa_Puerto_Rico_M_16	NA	NA	bb	NA	aa	NA	NA	NA	aa	NA	NA	NA	NA
Debug034_aegypti_Playa_Puerto_Rico_M_9	NA	NA	ab	NA	aa	NA	NA	NA	aa	NA	NA	NA	NA
Debug034_aegypti_Ponce_Puerto_Rico_F_1	NA	NA	aa	NA	aa	NA	NA	NA	aa	NA	NA	NA	NA
Debug034_aegypti_Ponce_Puerto_Rico_F_2	NA	NA	aa	NA	aa	NA	NA	NA	aa	NA	NA	NA	NA
Debug034_aegypti_Ponce_Puerto_Rico_F_3	NA	NA	aa	NA	aa	NA	NA	NA	aa	NA	NA	NA	NA
Debug034_aegypti_Ponce_Puerto_Rico_F_4	NA	NA	aa	NA	ab	NA	NA	NA	aa	NA	NA	NA	NA
Debug034_aegypti_Ponce_Puerto_Rico_F_5	NA	NA	aa	NA	aa	NA	NA	NA	aa	NA	NA	NA	NA
Debug034_aegypti_Ponce_Puerto_Rico_F_6	NA	NA	aa	NA	ab	NA	NA	NA	aa	NA	NA	NA	NA
Debug034_aegypti_Ponce_Puerto_Rico_F_7	NA	NA	aa	NA	ab	NA	NA	NA	ab	NA	NA	NA	NA
Debug034_aegypti_Ponce_Puerto_Rico_M_10	NA	NA	ab	NA	aa	NA	NA	NA	aa	NA	NA	NA	NA
Debug034_aegypti_Ponce_Puerto_Rico_M_11	NA	NA	bb	NA	bb	NA	NA	NA	aa	NA	NA	NA	NA
Debug034_aegypti_Ponce_Puerto_Rico_M_12	NA	NA	bb	NA	aa	NA	NA	NA	aa	NA	NA	NA	NA
Debug034_aegypti_Ponce_Puerto_Rico_M_14	NA	NA	bb	NA	ab	NA	NA	NA	ab	NA	NA	NA	NA
Debug034_aegypti_Ponce_Puerto_Rico_M_16	NA	NA	bb	NA	ab	NA	NA	NA	ab	NA	NA	NA	NA
Debug034_aegypti_Ponce_Puerto_Rico_M_9	NA	NA	bb	NA	bb	NA	NA	NA	aa	NA	NA	NA	NA
