inv	block	chrom	pos	region	id	cluster
2_BurkinaFaso_1_1	2:4.65e+08	2	4.65e+08	BurkinaFaso	2_BurkinaFaso_1_1	2_BurkinaFaso_1
2_BurkinaFaso_1_1	2:4.67e+08	2	4.67e+08	BurkinaFaso	2_BurkinaFaso_1_1	2_BurkinaFaso_1
2_BurkinaFaso_1_1	2:470500000	2	470500000	BurkinaFaso	2_BurkinaFaso_1_1	2_BurkinaFaso_1
2_BurkinaFaso_1_1	2:4.68e+08	2	4.68e+08	BurkinaFaso	2_BurkinaFaso_1_1	2_BurkinaFaso_1
2_BurkinaFaso_1_1	2:465500000	2	465500000	BurkinaFaso	2_BurkinaFaso_1_1	2_BurkinaFaso_1
2_BurkinaFaso_1_1	2:464500000	2	464500000	BurkinaFaso	2_BurkinaFaso_1_1	2_BurkinaFaso_1
2_BurkinaFaso_1_1	2:4.69e+08	2	4.69e+08	BurkinaFaso	2_BurkinaFaso_1_1	2_BurkinaFaso_1
2_BurkinaFaso_1_1	2:4.66e+08	2	4.66e+08	BurkinaFaso	2_BurkinaFaso_1_1	2_BurkinaFaso_1
2_BurkinaFaso_1_1	2:4.72e+08	2	4.72e+08	BurkinaFaso	2_BurkinaFaso_1_1	2_BurkinaFaso_1
2_BurkinaFaso_1_1	2:467500000	2	467500000	BurkinaFaso	2_BurkinaFaso_1_1	2_BurkinaFaso_1
2_BurkinaFaso_1_1	2:4.71e+08	2	4.71e+08	BurkinaFaso	2_BurkinaFaso_1_1	2_BurkinaFaso_1
2_BurkinaFaso_1_1	2:466500000	2	466500000	BurkinaFaso	2_BurkinaFaso_1_1	2_BurkinaFaso_1
2_BurkinaFaso_1_1	2:468500000	2	468500000	BurkinaFaso	2_BurkinaFaso_1_1	2_BurkinaFaso_1
2_BurkinaFaso_1_1	2:472500000	2	472500000	BurkinaFaso	2_BurkinaFaso_1_1	2_BurkinaFaso_1
2_BurkinaFaso_1_1	2:471500000	2	471500000	BurkinaFaso	2_BurkinaFaso_1_1	2_BurkinaFaso_1
2_BurkinaFaso_1_1	2:4.7e+08	2	4.7e+08	BurkinaFaso	2_BurkinaFaso_1_1	2_BurkinaFaso_1
2_BurkinaFaso_1_1	2:469500000	2	469500000	BurkinaFaso	2_BurkinaFaso_1_1	2_BurkinaFaso_1
2_SaudiArabia_1_3	2:2.27e+08	2	2.27e+08	SaudiArabia	2_SaudiArabia_1_3	2_SaudiArabia_1
2_SaudiArabia_1_3	2:2.28e+08	2	2.28e+08	SaudiArabia	2_SaudiArabia_1_3	2_SaudiArabia_1
2_SaudiArabia_1_3	2:2.29e+08	2	2.29e+08	SaudiArabia	2_SaudiArabia_1_3	2_SaudiArabia_1
2_SaudiArabia_1_3	2:227500000	2	227500000	SaudiArabia	2_SaudiArabia_1_3	2_SaudiArabia_1
2_SaudiArabia_1_3	2:228500000	2	228500000	SaudiArabia	2_SaudiArabia_1_3	2_SaudiArabia_1
2_SaudiArabia_1_3	2:2.31e+08	2	2.31e+08	SaudiArabia	2_SaudiArabia_1_3	2_SaudiArabia_1
2_SaudiArabia_1_3	2:229500000	2	229500000	SaudiArabia	2_SaudiArabia_1_3	2_SaudiArabia_1
2_SaudiArabia_1_3	2:2.32e+08	2	2.32e+08	SaudiArabia	2_SaudiArabia_1_3	2_SaudiArabia_1
2_SaudiArabia_1_3	2:230500000	2	230500000	SaudiArabia	2_SaudiArabia_1_3	2_SaudiArabia_1
2_SaudiArabia_1_3	2:231500000	2	231500000	SaudiArabia	2_SaudiArabia_1_3	2_SaudiArabia_1
2_SaudiArabia_1_3	2:2.3e+08	2	2.3e+08	SaudiArabia	2_SaudiArabia_1_3	2_SaudiArabia_1
2_SaudiArabia_2_1	2:2.35e+08	2	2.35e+08	SaudiArabia	2_SaudiArabia_2_1	2_SaudiArabia_1
2_SaudiArabia_2_1	2:2.36e+08	2	2.36e+08	SaudiArabia	2_SaudiArabia_2_1	2_SaudiArabia_1
2_SaudiArabia_2_1	2:2.37e+08	2	2.37e+08	SaudiArabia	2_SaudiArabia_2_1	2_SaudiArabia_1
2_SaudiArabia_2_1	2:2.38e+08	2	2.38e+08	SaudiArabia	2_SaudiArabia_2_1	2_SaudiArabia_1
2_SaudiArabia_2_1	2:234500000	2	234500000	SaudiArabia	2_SaudiArabia_2_1	2_SaudiArabia_1
2_SaudiArabia_2_1	2:235500000	2	235500000	SaudiArabia	2_SaudiArabia_2_1	2_SaudiArabia_1
2_SaudiArabia_2_1	2:236500000	2	236500000	SaudiArabia	2_SaudiArabia_2_1	2_SaudiArabia_1
2_SaudiArabia_2_1	2:237500000	2	237500000	SaudiArabia	2_SaudiArabia_2_1	2_SaudiArabia_1
2_SaudiArabia_2_1	2:238500000	2	238500000	SaudiArabia	2_SaudiArabia_2_1	2_SaudiArabia_1
2_Senegal_1_1	2:3.15e+08	2	3.15e+08	Senegal	2_Senegal_1_1	2_Senegal_1
2_Senegal_1_1	2:3.08e+08	2	3.08e+08	Senegal	2_Senegal_1_1	2_Senegal_1
2_Senegal_1_1	2:3.09e+08	2	3.09e+08	Senegal	2_Senegal_1_1	2_Senegal_1
2_Senegal_1_1	2:309500000	2	309500000	Senegal	2_Senegal_1_1	2_Senegal_1
2_Senegal_1_1	2:3.14e+08	2	3.14e+08	Senegal	2_Senegal_1_1	2_Senegal_1
2_Senegal_1_1	2:3.11e+08	2	3.11e+08	Senegal	2_Senegal_1_1	2_Senegal_1
2_Senegal_1_1	2:313500000	2	313500000	Senegal	2_Senegal_1_1	2_Senegal_1
2_Senegal_1_1	2:311500000	2	311500000	Senegal	2_Senegal_1_1	2_Senegal_1
2_Senegal_1_1	2:3.1e+08	2	3.1e+08	Senegal	2_Senegal_1_1	2_Senegal_1
2_Senegal_1_1	2:308500000	2	308500000	Senegal	2_Senegal_1_1	2_Senegal_1
2_Senegal_1_1	2:306500000	2	306500000	Senegal	2_Senegal_1_1	2_Senegal_1
2_Senegal_1_1	2:316500000	2	316500000	Senegal	2_Senegal_1_1	2_Senegal_1
2_Senegal_1_1	2:3.16e+08	2	3.16e+08	Senegal	2_Senegal_1_1	2_Senegal_1
2_Senegal_1_1	2:3.07e+08	2	3.07e+08	Senegal	2_Senegal_1_1	2_Senegal_1
2_Senegal_1_1	2:315500000	2	315500000	Senegal	2_Senegal_1_1	2_Senegal_1
2_Senegal_1_1	2:3.12e+08	2	3.12e+08	Senegal	2_Senegal_1_1	2_Senegal_1
2_Senegal_1_1	2:3.13e+08	2	3.13e+08	Senegal	2_Senegal_1_1	2_Senegal_1
2_Senegal_1_1	2:314500000	2	314500000	Senegal	2_Senegal_1_1	2_Senegal_1
2_Senegal_1_1	2:307500000	2	307500000	Senegal	2_Senegal_1_1	2_Senegal_1
2_Senegal_1_1	2:310500000	2	310500000	Senegal	2_Senegal_1_1	2_Senegal_1
2_Senegal_1_1	2:312500000	2	312500000	Senegal	2_Senegal_1_1	2_Senegal_1
2_Senegal_2_1	2:3.09e+08	2	3.09e+08	Senegal	2_Senegal_2_1	2_Senegal_1
2_Senegal_2_1	2:313500000	2	313500000	Senegal	2_Senegal_2_1	2_Senegal_1
2_Senegal_2_1	2:3.12e+08	2	3.12e+08	Senegal	2_Senegal_2_1	2_Senegal_1
2_Senegal_2_1	2:3.11e+08	2	3.11e+08	Senegal	2_Senegal_2_1	2_Senegal_1
2_Senegal_2_1	2:315500000	2	315500000	Senegal	2_Senegal_2_1	2_Senegal_1
2_Senegal_2_1	2:3.16e+08	2	3.16e+08	Senegal	2_Senegal_2_1	2_Senegal_1
2_Senegal_2_1	2:3.14e+08	2	3.14e+08	Senegal	2_Senegal_2_1	2_Senegal_1
2_Senegal_2_1	2:3.07e+08	2	3.07e+08	Senegal	2_Senegal_2_1	2_Senegal_1
2_Senegal_2_1	2:3.13e+08	2	3.13e+08	Senegal	2_Senegal_2_1	2_Senegal_1
2_Senegal_2_1	2:310500000	2	310500000	Senegal	2_Senegal_2_1	2_Senegal_1
2_Senegal_2_1	2:3.15e+08	2	3.15e+08	Senegal	2_Senegal_2_1	2_Senegal_1
2_Senegal_2_1	2:308500000	2	308500000	Senegal	2_Senegal_2_1	2_Senegal_1
2_Senegal_2_1	2:307500000	2	307500000	Senegal	2_Senegal_2_1	2_Senegal_1
2_Senegal_2_1	2:311500000	2	311500000	Senegal	2_Senegal_2_1	2_Senegal_1
2_Senegal_2_1	2:3.1e+08	2	3.1e+08	Senegal	2_Senegal_2_1	2_Senegal_1
2_Senegal_2_1	2:312500000	2	312500000	Senegal	2_Senegal_2_1	2_Senegal_1
2_Senegal_2_1	2:3.08e+08	2	3.08e+08	Senegal	2_Senegal_2_1	2_Senegal_1
2_Senegal_2_1	2:309500000	2	309500000	Senegal	2_Senegal_2_1	2_Senegal_1
2_Senegal_2_1	2:314500000	2	314500000	Senegal	2_Senegal_2_1	2_Senegal_1
2_Senegal_2_1	2:316500000	2	316500000	Senegal	2_Senegal_2_1	2_Senegal_1
2_Senegal_3_1	2:3.07e+08	2	3.07e+08	Senegal	2_Senegal_3_1	2_Senegal_1
2_Senegal_3_1	2:311500000	2	311500000	Senegal	2_Senegal_3_1	2_Senegal_1
2_Senegal_3_1	2:3.12e+08	2	3.12e+08	Senegal	2_Senegal_3_1	2_Senegal_1
2_Senegal_3_1	2:315500000	2	315500000	Senegal	2_Senegal_3_1	2_Senegal_1
2_Senegal_3_1	2:3.13e+08	2	3.13e+08	Senegal	2_Senegal_3_1	2_Senegal_1
2_Senegal_3_1	2:309500000	2	309500000	Senegal	2_Senegal_3_1	2_Senegal_1
2_Senegal_3_1	2:3.09e+08	2	3.09e+08	Senegal	2_Senegal_3_1	2_Senegal_1
2_Senegal_3_1	2:313500000	2	313500000	Senegal	2_Senegal_3_1	2_Senegal_1
2_Senegal_3_1	2:316500000	2	316500000	Senegal	2_Senegal_3_1	2_Senegal_1
2_Senegal_3_1	2:3.11e+08	2	3.11e+08	Senegal	2_Senegal_3_1	2_Senegal_1
2_Senegal_3_1	2:3.14e+08	2	3.14e+08	Senegal	2_Senegal_3_1	2_Senegal_1
2_Senegal_3_1	2:3.1e+08	2	3.1e+08	Senegal	2_Senegal_3_1	2_Senegal_1
