annotation	blastp	geneid	group
cytochrome P450 307a1	CYP307A1_AAEL009762-PA (supercont1.427) [93.81%]	AAEL009762	p450
probable cytochrome P450 6d5	CYP6F3_AAEL014684-PA (supercont1.1219) [98.02%]	AAEL014684	p450
probable cytochrome P450 6d5	CYP6F2_AAEL014678-PA (supercont1.1219) [100%]	AAEL014678	p450
probable cytochrome P450 6d5	CYP6F2_AAEL014678-PA (supercont1.1219) [100%]	AAEL014678	p450
probable cytochrome P450 6a14	CYP6CB1_AAEL002046-PA (supercont1.48) [98.61%] / AAEL009018-PA (supercont1.362) [98.41%]	AAEL009018	p450
probable cytochrome P450 6d5	CYP6AL3_AAEL009656-PA (supercont1.415) [99.61%]	AAEL009656	p450
cytochrome P450 4c3	CYP4C50_AAEL008017-PA (supercont1.295) [100%]	AAEL008017	p450
cytochrome P450 4c3	CYP4C51_AAEL008018-PA (supercont1.295) [97.98%]	AAEL008018	p450
cytochrome P450 4c3	CYP4C52_AAEL008023-PA (supercont1.295) [97.84%]	AAEL008023	p450
cytochrome P450 4g15	AAEL006824-PA (supercont1.222) [100%] / CYP4G35_AAEL008345-PA (supercont1.318) [99.82%]	AAEL008345	p450
cytochrome P450 CYP12A2 isoform X1	CYP12F8_AAEL006827-PA (supercont1.222) [99.41%]	AAEL006827	p450
cytochrome P450 CYP12A2 isoform X2	CYP12F8_AAEL006827-PA (supercont1.222) [99.77%]	AAEL006827	p450
cytochrome P450 4d1 isoform X1	CYP4H29_AAEL007830-PA (supercont1.285) [98.05%]	AAEL007830	p450
probable cytochrome P450 4d14 isoform X2	CYP4H29_AAEL007830-PA (supercont1.285) [98.24%]	AAEL007830	p450
cytochrome P450 4g15	CYP4G36_AAEL004054-PA (supercont1.106) [100%]	AAEL004054	p450
"cytochrome P450 315a1, mitochondrial"	CYP315A1_AAEL011850-PA (supercont1.622) [99.79%]	AAEL011850	p450
