inversion	region	size	f	f_Afr	f_Row
X1_Gabon_1	1:1500000-17000000	15.5	0.157	0.378	0.009
X1_global_1	1:148000000-160500000	12.5	0.117	0.237	0.037
X1_PuertoRico_1	1:107000000-109500000	2.5	0.024	0.015	0.03
X1_PuertoRico_3	1:248500000-252000000	3.5	0.056	0.021	0.08
X1_Senegal_1	1:264500000-309000000	44.5	0.025	0.062	0
X1_Uganda_2	1:302500000-308000000	5.5	0.06	0.123	0.018
X1_Wafrica_1	1:162000000-170500000	8.5	0.076	0.096	0.063
X2_BurkinaFaso_1	2:464500000-473000000	8.5	0.002	0.004	0
X2_SaudiArabia_1	2:227000000-239000000	12	0.177	0.036	0.271
X2_Senegal_1	2:306500000-317000000	10.5	0.566	0.205	0.808
